"UniProt_Entry","log2FC_CARe_vs_PARe","adj_p_value_CARe_vs_PARe","log2FC_OBEe_vs_PARe","adj_p_value_OBEe_vs_PARe","log2FC_CARn_vs_PARn","adj_p_value_CARn_vs_PARn","log2FC_OBEn_vs_PARn","adj_p_value_OBEn_vs_PARn"
"Q6C0U9",-0.103025155619061,0.70286974338631,0.0290096701923818,0.894902032184355,0.101785334606474,0.915486346715158,0.384034819145663,0.192914351355125
"Q6C0V2",0.295086437878524,0.267268245926332,0.0785897743941244,0.607064962373998,0.10439413124037,0.915486346715158,0.213670651460956,0.297843664937282
"F2Z694",-0.76744847173251,0.0737640012765417,0.0985829871044304,0.511918689366555,-0.325490999437091,0.867199910654737,-0.292704297471875,0.604152027947637
"F2Z5Z3",-0.0670405692228592,0.50312523481732,-0.215067804563004,0.242986997227873,-0.155950520767608,0.868002834263117,-0.661701548727495,0.147478370696652
"Q6CC11",0.0454066937342239,0.775250237576573,0.00951400467402402,0.958915475444802,-0.019564805799654,0.974568617461057,-0.0793146066622677,0.558543849304205
"Q6C3Z9",0.0489449575931008,0.867720463671554,-0.517211735240776,0.0439912820869995,-0.0692861999106687,0.925820656058346,-0.0843342389915531,0.673656890626996
"F2Z630",0.27284536534974,0.770622273129146,0.465836164774125,0.232135260941746,0.156268937096275,0.925820656058346,NA,NA
"Q9UVF3",-0.186300551309433,0.309125747714673,-0.515962985096881,0.0482394384931631,-0.149805154970611,0.864702168666884,-0.691305481880138,0.102697206547164
"Q99148",0.174934340524124,0.317908205023214,0.344720810384139,0.0568786933173039,-0.0610188171298973,0.876989619196969,-0.0593092964891044,0.634850788713495
"F2Z678",0.495079571643945,0.252211080411008,0.994707730995614,0.01805059119723,0.235984693982532,0.688598688505331,0.560889864712751,0.121221140252093
"Q6CH03",0.218724536511934,0.478867043968801,0.822693974167106,0.287331130590794,NA,NA,NA,NA
"Q6CG57",0.342553131961705,0.463739615273307,2.11451268417045,0.243937567615386,-0.0578013108805536,0.981541862385284,0.334097212023658,0.567425954476144
