Entry;log2FC;adj_p_value
r_1;NaN;NaN
r_2;NaN;NaN
r_4;NaN;NaN
r_5;-0.0518814174521903;0
r_6;NaN;NaN
r_7;-0.0518814174522042;0
r_10;0.335455199112683;0.668675617398203
r_11;-0.7729160313836;0.290693855953141
r_12;9.51733010049099;3.69108471998673e-92
r_13;NaN;NaN
r_14;NaN;NaN
r_15;NaN;NaN
r_16;-0.0518814174522106;0
r_17;NaN;NaN
r_18;-0.0576008188065864;0
r_19;NaN;NaN
r_20;NaN;NaN
r_21;NaN;NaN
r_22;NaN;NaN
r_23;-0.0590113298885943;0
r_24;NaN;NaN
r_25;-0.100178280603033;0
r_26;NaN;NaN
r_27;-0.0786548589116791;0
r_28;NaN;NaN
r_29;NaN;NaN
r_30;-0.0590113298885943;0
r_32;-0.0518814174522406;0
r_33;0.361758876356607;0.603815935099052
r_34;NaN;NaN
r_35;NaN;NaN
r_36;-0.650690737269197;0.1068758986241
r_37;NaN;NaN
r_38;NaN;NaN
r_39;-0.0518814174521845;0
r_40;-0.0518814174521845;0
r_41;NaN;NaN
r_42;-0.0518814174521845;0
r_43;NaN;NaN
r_44;NaN;NaN
r_45;NaN;NaN
r_57;0.184051056905451;0.322450751003863
r_58;NaN;NaN
r_60;-0.0590113298885943;0
r_61;-0.0590113298885943;0
r_63;NaN;NaN
r_65;-0.0518814174521845;0
r_66;NaN;NaN
r_67;NaN;NaN
r_68;-1.8185657072065;0
r_69;NaN;NaN
r_70;NaN;NaN
r_73;0.187044214704961;0.829545146167069
r_74;0.187044214704961;0.829545146167069
r_75;NaN;NaN
r_76;-0.020796980770727;0.967583783173187
r_77;-0.600537142911702;0.180893907692909
r_78;0.574114420785281;0.00475659682679387
r_79;-0.0577243290015482;0
r_80;-0.0518814174522114;0
r_81;NaN;NaN
r_82;0.549890385373175;0.192146503213885
r_83;1.22224671717068;0.0256179189256541
r_84;NaN;NaN
r_85;NaN;NaN
r_86;NaN;NaN
r_87;NaN;0.844535469436166
r_88;0.187044214704961;0.829545146167069
r_89;-1.29462153840416;0.446254405762056
r_90;-1.28568444660918;0.00184824161494713
r_91;-0.983398793065045;0
r_92;0.443825462432334;0.564332690604667
r_93;0.443825462432334;0.564332690604667
r_94;NaN;NaN
r_95;NaN;NaN
r_96;-0.0779806330072349;0
r_97;-0.0779806330072349;0
r_99;NaN;0.860078201341086
r_100;-0.368604146450802;0.0228638002009521
r_101;-0.457752838975907;0.239679977799185
r_102;-0.180557654063579;0.267214684620053
r_103;-3.99389104951604;0
r_104;0.549265538403909;0
r_105;0.184051056905449;0.322450751003863
r_106;-0.498320575513363;2.81278690710764e-08
r_107;-0.751300182142804;2.56520108170128e-12
r_108;NaN;NaN
r_109;-0.0526434981789007;0
r_111;0.17423100926553;0.899510417849673
r_112;-0.134381633415629;0.0089854836002388
r_113;NaN;NaN
r_114;NaN;NaN
r_115;-0.26028049241266;0
r_116;NaN;NaN
r_117;NaN;NaN
r_118;-0.26028049241266;0
r_120;-0.751300182142804;2.56520108170128e-12
r_121;0.286239381886809;0.134225435723866
r_122;-0.457752838975907;0.239679977799185
r_123;-0.180557654063581;0.267214684620053
r_124;-0.368604146450802;0.0228638002009521
r_125;0.184051056905451;0.322450751003863
r_126;-0.127438991649835;0.866212071475397
r_127;-0.14035432273097;2.03229930848782e-11
r_128;-1.64302726215959;0.0533219624483393
r_129;-1.24633129913827;0.0620653692902179
r_130;-0.449349872890592;0.310966229738207
r_131;-0.134718403360588;0.860078201341086
r_132;-0.299471311079345;1.20145270351622e-06
r_133;0.18842235726134;0.840640649363005
r_134;-1.02409859915;0.0533219624483393
r_135;-0.282880194794646;0.547867666671078
r_137;NaN;NaN
r_139;1.06136469637296;0.000403113349966748
r_142;-0.0314652989772577;0.0262019542618313
r_143;-0.676000412005035;0.157969326990864
r_144;-0.0519028878157232;0
r_145;NaN;NaN
r_146;NaN;0.00293084262491356
r_147;0.361758876356607;0.603815935099052
r_148;-0.0556985356822216;3.36606710070757e-19
r_149;0.327013163040404;0.660847101065971
r_150;0.327013163040382;0.660847101065971
r_151;-0.0577243290015482;0
r_152;-0.052316328684036;0
r_153;-0.052316328684036;0
r_154;-0.00971440096594295;0.876292517091703
r_156;-0.904554016614339;0
r_157;NaN;NaN
r_163;4.43064536883525;1.57680440793443e-280
r_164;NaN;NaN
r_165;-0.513674514207733;0.233894709398997
r_172;NaN;NaN
r_173;NaN;NaN
r_174;-0.690803950965481;1.81411088653155e-14
r_175;NaN;NaN
r_188;NaN;NaN
r_189;-1.80214782074665;3.03660095211582e-99
r_190;-1.80214782074665;3.03660095211582e-99
r_191;1.28064486029952;0.0100138927332658
r_192;NaN;NaN
r_194;-0.758656642543653;0.0323696959354085
r_195;-0.0686391050394521;3.01155590603396e-18
r_199;NaN;NaN
r_200;NaN;NaN
r_201;NaN;NaN
r_202;0.700534392626147;1.25061421446815e-237
r_203;-0.0518814174522208;0
r_204;-0.176770497195364;0.798562124909572
r_205;NaN;NaN
r_206;2.04032086160598;9.71071300639847e-07
r_207;-0.048630293554212;0
r_208;-0.048630293554212;0
r_209;NaN;NaN
r_210;NaN;NaN
r_211;0.992143706412199;0.202206329650091
r_212;NaN;NaN
r_213;NaN;NaN
r_214;-0.0518814174521906;0
r_215;-0.055973135457482;7.77924548254351e-238
r_216;-0.105031075726122;8.42845795311331e-305
r_217;-0.0977822019061082;0
r_218;-1.00768901745648;2.05921551679951e-18
r_219;-0.055973135457482;7.77924548254351e-238
r_220;NaN;NaN
r_221;NaN;NaN
r_222;-0.176770497195365;0.798562124909572
r_223;NaN;NaN
r_224;NaN;NaN
r_225;-0.0518814174522042;0
r_226;0.0794943753664609;0
r_227;-2.20410208805159;0.00509598142047013
r_228;NaN;NaN
r_229;NaN;NaN
r_230;NaN;NaN
r_231;-0.0518814174522406;0
r_233;-0.0518814174522406;0
r_234;-0.0518814174522406;0
r_235;-0.0518814174522406;0
r_236;-0.0518814174522406;0
r_237;-0.0518814174522406;0
r_238;-0.0518814174522406;0
r_239;-0.0518814174522406;0
r_240;-0.0518814174522406;0
r_241;-0.0518814174522406;0
r_242;-0.0518814174522406;0
r_243;-0.0518814174522406;0
r_244;-0.0518814174522406;0
r_249;NaN;NaN
r_250;-0.050327348586099;0
r_252;1.14473133347793;0.0646414905917251
r_253;0.267401552899263;0.0880151468298713
r_254;-0.395618779702708;0.332786896019675
r_255;-1.93279656060922;5.73254727368356e-93
r_256;-0.510348909706939;3.77807912682565e-09
r_257;-0.0518814174522115;0
r_258;-1.19245313756756;0
r_259;NaN;NaN
r_260;NaN;NaN
r_261;NaN;NaN
r_262;NaN;NaN
r_263;-1.38590998588676;0.0869912299419785
r_264;-0.978054147181223;0.144601874671618
r_265;-0.570025046375125;0.337422127706283
r_266;-1.38542172688105;0.0460992393251604
r_267;NaN;NaN
r_268;NaN;NaN
r_269;NaN;NaN
r_270;NaN;NaN
r_271;NaN;NaN
r_272;-0.0518814174522084;0
r_273;-1.45344841039291;7.39877204357044e-15
r_274;-1.45344841039291;7.39877204357044e-15
r_278;-0.0518814174522172;0
r_279;-0.0518814174521845;0
r_280;0.0892976598145378;0
r_281;NaN;NaN
r_282;NaN;NaN
r_283;NaN;NaN
r_284;NaN;NaN
r_285;NaN;NaN
r_286;NaN;NaN
r_287;NaN;NaN
r_288;NaN;NaN
r_289;NaN;NaN
r_290;NaN;NaN
r_291;NaN;NaN
r_292;NaN;NaN
r_293;NaN;NaN
r_294;NaN;0.0938895096595924
r_295;NaN;0.38501617737397
r_296;NaN;NaN
r_297;NaN;NaN
r_298;NaN;NaN
r_299;NaN;NaN
r_300;0.722056630500013;0
r_301;-1.30188424649831;0.0485733197948451
r_302;0.0892976598145372;0
r_303;NaN;NaN
r_304;NaN;NaN
r_306;1.55051633369509;1.13358331308258e-05
r_307;-0.0756639858311793;7.70121832076522e-107
r_308;-0.582925717316005;0.239679977799185
r_309;0.621972974414371;1.9360883358977e-06
r_310;0.786116664644485;1.2408255926035e-173
r_311;-0.47507513785443;0.0183286568045643
r_312;-1.61365804477352;2.34548774612496e-106
r_313;NaN;NaN
r_314;-0.0182998192439065;0.980555851245121
r_315;0.873346962938621;0.252365996990156
r_317;-0.0518814174522406;0
r_318;-0.323864654665829;0.332786896019675
r_319;NaN;NaN
r_320;NaN;NaN
r_321;NaN;NaN
r_322;NaN;0.381018755713741
r_323;NaN;NaN
r_326;-0.0620647552929253;7.99000412564042e-06
r_327;-0.664329932270707;0.0646414905917251
r_329;0.827219219448696;0.149556216716677
r_330;-2.36079797442744;0.182930469317662
r_331;NaN;NaN
r_332;NaN;NaN
r_333;0.491789240702703;0.0051267321410927
r_334;NaN;NaN
r_335;NaN;NaN
r_340;-1.38590998588676;0.0869912299419785
r_341;-0.978054147181223;0.144601874671618
r_342;-0.271295788983442;0.683005385264803
r_343;-0.644735591121762;0.282282823414805
r_344;-0.0518814174522267;0
r_345;NaN;NaN
r_346;NaN;NaN
r_347;NaN;NaN
r_348;NaN;NaN
r_349;-0.0518814174521906;0
r_350;NaN;NaN
r_351;NaN;NaN
r_352;-0.0779806330072349;0
r_353;-0.0518814174522106;0
r_354;NaN;NaN
r_355;-0.0513827072456659;0
r_356;NaN;NaN
r_357;2.19997353477333;0.00150552463798054
r_358;NaN;7.76945765732025e-05
r_359;NaN;NaN
r_360;NaN;NaN
r_361;-0.0518814174521994;0
r_362;-0.0518814174521994;0
r_363;NaN;0.230493609607914
r_364;-1.59198745949243;0
r_366;0.358342569756554;0
r_368;NaN;NaN
r_370;NaN;NaN
