Entry;log2FC;adj_p_value
r_1;NaN;NaN
r_10;-1.71613641622637;0.0308235258759948
r_100;0.564680581170198;0.0118815605376222
r_1001;NaN;NaN
r_1002;Inf;0
r_1003;NaN;NaN
r_1004;3.9986788764838;1.21253353137927e-05
r_1005;3.15658192363266;0.016935978949936
r_1006;3.9986788764838;1.21253353137927e-05
r_1007;3.15658192363265;0.016935978949936
r_1008;NaN;NaN
r_1009;NaN;NaN
r_101;1.31482128270514;0.00233262127270685
r_1010;NaN;NaN
r_1011;-1.39710712156501;0
r_1012;-1.39710712156501;0
r_102;1.53224032507956;8.96933318010999e-20
r_1021;-0.262211217149392;0
r_1022;1.56638275384817;0
r_1023;-4.2243701820065;0
r_1024;NaN;NaN
r_1025;-1.83434527028806;2.4606366559691e-06
r_1026;-1.35116656542954;0
r_1027;-1.35525632044941;0
r_1028;NaN;NaN
r_1029;NaN;NaN
r_103;-4.49924988670466;2.36377620361698e-49
r_1030;-0.582823790338711;0.201780530471378
r_1031;NaN;0.733848573153529
r_1032;NaN;NaN
r_1033;NaN;NaN
r_1034;NaN;NaN
r_1035;NaN;NaN
r_1036;2.35374831123842;6.68133819170073e-05
r_1038;-1.36569836388165;0
r_1039;NaN;NaN
r_104;-1.31508745271966;0
r_1040;0.14738501366012;0.712202898679449
r_1041;-1.40916636662409;0
r_1042;NaN;NaN
r_1043;NaN;NaN
r_1044;NaN;NaN
r_1045;-1.39710708567803;0
r_1047;NaN;NaN
r_1048;1.16485560567613;0
r_1049;0.891614052190241;0
r_105;1.94822144468866;1.26781411261043e-26
r_1050;-0.752283599671767;0
r_1051;-1.37810884497623;0
r_1053u;-0.213109248397755;0.310650122844933
r_1054;0.0473458433430315;0
r_1055;-0.482330903138711;2.61723358811524e-132
r_1056;NaN;NaN
r_1057;NaN;NaN
r_1058;NaN;NaN
r_1059u;NaN;NaN
r_106;1.08060408205871;6.64177703521143e-18
r_1063;-3.09511104090656;0
r_1065;NaN;NaN
r_1066;NaN;NaN
r_1067;NaN;NaN
r_1068;NaN;NaN
r_1069;-1.39710708567807;0
r_107;1.33199488726767;6.00233713934329e-20
r_1070;NaN;NaN
r_1071;-5.71175598820569;0
r_1072;-1.3928811564823;0
r_1073;NaN;0.00919683784957443
r_1074;-0.912799937808563;0.0292229252631306
r_1075;0.940621104876957;0.0540248834383703
r_1076;-0.244165529975366;0.266704293939166
r_1077;2.88267114831738;0.0139163464054344
r_1078;Inf;0.530793450025763
r_1079;-1.48462020844058;0.0118815605376222
r_108;NaN;NaN
r_1080;-1.24613023907617;4.41407659979184e-280
r_1081;NaN;NaN
r_1082;NaN;NaN
r_1083;NaN;NaN
r_1084;-1.07055747268409;0
r_1085;-3.63141884341524;6.08810574039755e-10
r_1086;NaN;NaN
r_1087;NaN;NaN
r_1088;-1.39710708567806;0
r_1089;NaN;NaN
r_109;-1.35843265332577;0
r_1090;NaN;NaN
r_1091;0.954888119223471;0.0258843448440687
r_1092;NaN;NaN
r_1093;NaN;NaN
r_1094;NaN;NaN
r_1095;NaN;0.00028653807204092
r_1096;-0.086955413437281;0.420593345653599
r_1097;NaN;NaN
r_1099;-1.39724531374842;0
r_11;2.97840227364823;0.00548381860127997
r_1100;NaN;NaN
r_1101;NaN;NaN
r_1102;NaN;NaN
r_1103;NaN;NaN
r_1104;NaN;NaN
r_1106;NaN;NaN
r_1108;NaN;NaN
r_1109;NaN;NaN
r_111;0.375189935319274;0.712202898679449
r_1110;0.165498271899107;0
r_1111;NaN;NaN
r_1112;0.704586908503393;0
r_1113;NaN;NaN
r_1114;NaN;NaN
r_1115;-0.770462692090191;0
r_1116;1.66048732717253;9.8318650412415e-07
r_1117;1.27585793847392;2.59823487836173e-25
r_1118;0.686719432600891;0
r_1119;NaN;NaN
r_112;-1.4213815049318;9.26361580203487e-214
r_1120;-0.0155475080330328;0.987705717448904
r_1121;NaN;NaN
r_1122;NaN;NaN
r_1123;NaN;NaN
r_1124;NaN;NaN
r_1125;NaN;NaN
r_1126;0.0940229250461454;6.2527727052063e-29
r_1127;NaN;NaN
r_1128;-4.73196756192857;0
r_1129;-1.3260276826694;0
r_113;NaN;NaN
r_1130;-1.42303583335932;9.72063425287981e-77
r_1131;0.190790006582085;0.857309188690666
r_1132;NaN;NaN
r_1133;NaN;NaN
r_1134;NaN;NaN
r_1135;NaN;NaN
r_1136;NaN;NaN
r_1137;-3.180121261877;0
r_1138;-3.180121261877;0
r_1139;NaN;NaN
r_114;NaN;NaN
r_1146;NaN;NaN
r_1147;NaN;NaN
r_1149;NaN;NaN
r_115;-1.40064398617443;0
r_1151;NaN;NaN
r_116;NaN;NaN
r_1161;NaN;NaN
r_1164;NaN;NaN
r_1165;NaN;NaN
r_1166;NaN;NaN
r_1167;NaN;NaN
r_1168;NaN;NaN
r_1169;NaN;NaN
r_117;NaN;NaN
r_1170;NaN;NaN
r_1171;0.0456511591217674;1.56957770994378e-35
r_1172;Inf;1.56957770994378e-35
r_1173;-0.700760273108367;0.0220649172743389
r_1174;NaN;NaN
r_1175;-0.149172794901505;0.864924418275796
r_1176;NaN;NaN
r_1177;NaN;NaN
r_1179;NaN;NaN
r_118;-1.40064398617443;0
r_1180;NaN;NaN
r_1182;NaN;NaN
r_1183;2.79910971298081;0
r_1184;NaN;NaN
r_1186;4.28191274100509;1.41020849750121e-20
r_1187;NaN;NaN
r_1188;NaN;NaN
r_1189;NaN;NaN
r_1190;8.7655039469871;0
r_1191;NaN;NaN
r_1192;NaN;NaN
r_1194;0.25715703672621;0.0505896510086681
r_1195;NaN;NaN
r_1196;-1.23995648361318;0.287367981625988
r_1197;NaN;NaN
r_1198;NaN;NaN
r_1199;NaN;NaN
r_12;-1.9516134129157;5.30260997769724e-44
r_120;1.33199488726766;6.00233713934329e-20
r_1201;NaN;NaN
