Entry;log2FC;adj_p_value
r_1;NaN;NaN
r_10;-1.63922596523115;0.162452771076468
r_100;-3.21543978465423;1.64855948699985e-53
r_1001;NaN;NaN
r_1002;1.60803644770731;1.08331501711663e-270
r_1003;NaN;NaN
r_1004;-0.917789703152596;0.129248855503421
r_1005;-2.20124394187742;0.015580482926221
r_1006;-0.917789703152596;0.129248855503421
r_1007;-2.20124394187742;0.015580482926221
r_1008;NaN;NaN
r_1009;NaN;NaN
r_101;-2.11283803238125;0.000133338460294664
r_1010;NaN;NaN
r_1011;-1.34826595056296;0
r_1012;-1.34826595056296;0
r_102;-1.58666397396508;2.07698089779958e-30
r_1021;-0.218679520886517;0
r_1022;-0.137009005281285;0
r_1023;-1.20710036931848;6.48175058217645e-07
r_1024;NaN;NaN
r_1025;-0.998925201646047;0.0183038556319884
r_1026;-1.31382617817363;0
r_1027;-1.31180597872278;0
r_1028;NaN;NaN
r_1029;NaN;NaN
r_103;-2.37183217563755;0.00043134550262684
r_1030;-2.69939615155426;0.00540008206670725
r_1031;NaN;0.857134886493136
r_1032;NaN;NaN
r_1033;NaN;NaN
r_1034;NaN;NaN
r_1035;NaN;NaN
r_1036;-1.24281561206083;0.0148391361781221
r_1038;-1.32507520559781;0
r_1039;NaN;NaN
r_104;-1.28223153145458;0
r_1040;-1.86649989706993;0.000112099990314854
r_1041;-1.37482342597003;0
r_1042;NaN;NaN
r_1043;NaN;NaN
r_1044;NaN;NaN
r_1045;-1.34826597563891;0
r_1047;NaN;NaN
r_1048;-0.233656157639065;0
r_1049;0.331760819748794;0
r_105;-1.03188359087346;3.69585703592961e-13
r_1050;-1.90339668792645;0
r_1051;-1.36110107645871;0
r_1053u;-2.35109763295801;4.52079802958002e-32
r_1054;0.0748312289851011;0
r_1055;-1.43686414689425;0
r_1056;NaN;NaN
r_1057;NaN;NaN
r_1058;NaN;NaN
r_1059u;NaN;NaN
r_106;-1.30182265778772;8.13532998657444e-33
r_1063;-3.48707881304092;0
r_1065;NaN;NaN
r_1066;NaN;NaN
r_1067;NaN;NaN
r_1068;NaN;NaN
r_1069;-1.34826597563894;0
r_107;-1.14795140715188;1.99633233810112e-19
r_1070;NaN;NaN
r_1071;-0.184149934860718;0.662357905294081
r_1072;-1.47855642462602;7.3167583684946e-276
r_1073;NaN;NaN
r_1074;-3.90279835501727;3.47254683325454e-12
r_1075;-2.71193783659628;2.96419335842338e-06
r_1076;-1.7217047167852;1.06330206820976e-09
r_1077;-1.65308123408429;0.0940606202197909
r_1078;-2.8346936928063;0.113256876149051
r_1079;-3.08304797498404;1.91256714575744e-05
r_108;NaN;NaN
r_1080;2.93942327134291;1.11780905567131e-19
r_1081;NaN;NaN
r_1082;NaN;NaN
r_1083;NaN;NaN
r_1084;-1.35729417205207;0
r_1085;-7.96604396264466;2.57430645139922e-203
r_1086;NaN;NaN
r_1087;NaN;NaN
r_1088;-1.34826597563895;0
r_1089;NaN;NaN
r_109;-1.41986664899336;0
r_1090;NaN;NaN
r_1091;-1.38486468167339;0.00704876321503908
r_1092;NaN;NaN
r_1093;NaN;NaN
r_1094;NaN;NaN
r_1095;NaN;0.0237929332466241
r_1096;4.49608430366676;3.9139218681328e-52
r_1097;NaN;NaN
r_1099;-1.34835152393419;0
r_11;-1.60328163810705;0.0395503758185598
r_1100;NaN;NaN
r_1101;NaN;NaN
r_1102;NaN;NaN
r_1103;NaN;NaN
r_1104;NaN;NaN
r_1106;NaN;NaN
r_1108;NaN;NaN
r_1109;NaN;NaN
r_111;-1.14689038843432;0.373277373544814
r_1110;-0.00296385735310689;1.10924566078805e-32
r_1111;NaN;NaN
r_1112;-0.0413411958027011;5.09245467067351e-06
r_1113;NaN;NaN
r_1114;NaN;NaN
r_1115;-0.714462513673682;0
r_1116;-1.39753515632462;1.19386281295869e-05
r_1117;-5.03012316044044;0
r_1118;4.52615574861949;0
r_1119;NaN;NaN
r_112;-1.42955739324334;2.57986980938627e-145
r_1120;-1.48043778987741;0.386873980908714
r_1121;NaN;NaN
r_1122;NaN;NaN
r_1123;NaN;NaN
r_1124;NaN;NaN
r_1125;NaN;NaN
r_1126;0.0600930755533239;7.99215527709151e-21
r_1127;NaN;NaN
r_1128;-1.38681533405564;0
r_1129;-1.26779419567813;0
r_113;NaN;NaN
r_1130;-3.91575768244849;0
r_1131;-1.50285361469201;0.278702629842914
r_1132;NaN;NaN
r_1133;NaN;NaN
r_1134;NaN;NaN
r_1135;NaN;NaN
r_1136;NaN;NaN
r_1137;2.96063069682091;3.20824211712454e-103
r_1138;2.96063069682091;3.20824211712454e-103
r_1139;NaN;NaN
r_114;NaN;NaN
r_1146;NaN;NaN
r_1147;NaN;NaN
r_1149;NaN;NaN
r_115;-1.34813310596566;0
r_1151;NaN;NaN
r_116;NaN;NaN
r_1161;NaN;NaN
r_1164;NaN;NaN
r_1165;NaN;NaN
r_1166;NaN;NaN
r_1167;NaN;NaN
r_1168;NaN;NaN
r_1169;NaN;NaN
r_117;NaN;NaN
r_1170;NaN;NaN
r_1171;0.0451692956374275;1.1310226281651e-34
r_1172;6.58852803375774;1.1310226281651e-34
r_1173;1.23319493461184;0.0204842974943568
r_1174;NaN;NaN
r_1175;-2.14254242943771;0.0583872935311401
r_1176;NaN;NaN
r_1177;NaN;NaN
r_1179;NaN;NaN
r_118;-1.34813310596566;0
r_1180;NaN;NaN
r_1182;NaN;NaN
r_1183;3.79346287166078;0
r_1184;NaN;NaN
r_1186;2.83784616574707;4.00195653741159e-14
r_1187;NaN;NaN
r_1188;NaN;NaN
r_1189;NaN;NaN
r_1190;4.86714850810525;0
r_1191;NaN;NaN
r_1192;NaN;NaN
r_1194;-4.35283825734507;0
r_1195;NaN;NaN
r_1196;-3.41255832830065;0.0156026031845323
r_1197;NaN;NaN
