Entry;log2FC;adj_p_value
r_1;NaN;NaN
r_2;NaN;NaN
r_4;NaN;NaN
r_5;-0.284346747032355;0
r_6;NaN;NaN
r_7;-0.284346747032333;0
r_10;0.777696631163006;0.283107894186387
r_11;-0.84724397344386;0.24333665383834
r_12;3.4001721992106;1.65841599830018e-20
r_13;NaN;NaN
r_14;NaN;NaN
r_15;NaN;NaN
r_16;-0.284346747032345;0
r_17;NaN;NaN
r_18;-0.290111930650189;0
r_19;NaN;NaN
r_20;NaN;NaN
r_21;NaN;NaN
r_22;NaN;NaN
r_23;-0.271942712435093;0
r_24;NaN;NaN
r_25;-0.166780885347171;2.51925439763403e-208
r_26;NaN;NaN
r_27;-0.28658724702503;0
r_28;NaN;NaN
r_29;NaN;NaN
r_30;-0.271942712435093;0
r_32;-0.284346747032366;0
r_33;0.26379842238597;0.731441569742644
r_34;NaN;NaN
r_35;NaN;NaN
r_36;-0.514115265694745;0.196692662081174
r_37;NaN;NaN
r_38;NaN;NaN
r_39;-0.284346747032322;0
r_40;-0.284346747032322;0
r_41;NaN;NaN
r_42;-0.284346747032322;0
r_43;NaN;NaN
r_44;NaN;NaN
r_45;NaN;NaN
r_57;4.0888341449979;7.21466087548763e-115
r_58;NaN;NaN
r_60;-0.271942712435093;0
r_61;-0.271942712435093;0
r_63;NaN;NaN
r_65;-0.284346747032322;0
r_66;NaN;NaN
r_67;NaN;NaN
r_68;-1.90701860516944;0
r_69;NaN;NaN
r_70;NaN;NaN
r_73;0.873730017424437;0.203865271383522
r_74;0.873730017424437;0.203865271383522
r_75;NaN;NaN
r_76;0.034957948136969;0.939713343753646
r_77;-0.168091522338034;0.711450893087884
r_78;0.638296520121018;0.00187645411067831
r_79;-0.286261590934901;0
r_80;-0.284346747279675;0
r_81;NaN;NaN
r_82;0.277685110098632;0.540718565216529
r_83;1.00386385206292;0.0601523666123542
r_84;NaN;NaN
r_85;NaN;NaN
r_86;NaN;NaN
r_87;NaN;0.879712684763733
r_88;0.873730017424438;0.203865271383522
r_89;-0.1883789616251;0.00583981535076847
r_90;-0.324905022528406;0.412035201470039
r_91;-1.26119369109356;0
r_92;-0.869148838146147;0.318398336711442
r_93;-0.869148838146147;0.318398336711442
r_94;NaN;NaN
r_95;NaN;NaN
r_96;-0.219141765381053;0
r_97;-0.219141765381053;0
r_99;NaN;0.725235003501436
r_100;2.58510038778786;2.39642321914532e-48
r_101;0.181348024752566;0.621958244501875
r_102;3.27439279415459;1.74322187884723e-103
r_103;0.766592555151754;0
r_104;-1.40628398291006;0
r_105;4.0888341449979;7.21466087548763e-115
r_106;2.21782668878417;2.18302049079569e-84
r_107;2.47049555737989;8.28164702158971e-90
r_108;NaN;NaN
r_109;-0.247794518337936;0
r_111;3.32423601795643;3.59539270973592e-05
r_112;0.0106430691655781;0.838211225965091
r_113;NaN;NaN
r_114;NaN;NaN
r_115;-0.486613673763607;0
r_116;NaN;NaN
r_117;NaN;NaN
r_118;-0.486613673763607;0
r_120;2.47049555737989;8.28164702158971e-90
r_121;4.27693790829987;4.01870625423609e-116
r_122;0.181348024752566;0.621958244501875
r_123;3.27439279415459;1.74322187884723e-103
r_124;2.58510038778786;2.39642321914532e-48
r_125;4.0888341449979;7.21466087548763e-115
r_126;0.117484012199191;0.865405533204566
r_127;-0.320213454822952;1.04403751702587e-35
r_128;-1.24538225701601;0.109282201373207
r_129;-0.477139244814182;0.414798338842623
r_130;-0.949070930426216;0.0385661541465978
r_131;-0.96143792717015;0.240544485728188
r_132;-0.159926998204077;0.0637963113461342
r_133;0.421003401369234;0.610438211155065
r_134;-1.13845022923626;0.0308524487305703
r_135;-0.112034885215042;0.803966862473017
r_137;NaN;NaN
r_139;0.553637183418919;0.0653881203597704
r_142;-0.226755397953946;2.60770069517037e-32
r_143;0.901781802570095;0.0109656071757984
r_144;-0.283929523158575;0
r_145;NaN;NaN
r_146;NaN;0.0106457153300169
r_147;0.263798422385969;0.731441569742644
r_148;-0.219571092257952;3.86205907597329e-204
r_149;0.283898819685301;0.716820898440785
r_150;0.2838988196853;0.716820898440785
r_151;-0.286261590934901;0
r_152;-0.283962692958372;0
r_153;-0.283962692958372;0
r_154;-0.221012458543931;0.000417066263520208
r_156;-0.147153552190334;2.22631145185135e-43
r_157;NaN;NaN
r_163;1.08979039343354;0.000569076892833918
r_164;NaN;NaN
r_165;2.28554464643732;1.44495751260131e-07
r_172;NaN;NaN
r_173;NaN;NaN
r_174;-0.801531410242746;8.68587269353031e-17
r_175;NaN;NaN
r_188;NaN;NaN
r_189;-0.662579354920513;8.24389729722309e-22
r_190;-0.662579354920511;8.24389729722309e-22
r_191;-0.435368790074849;0.285173304826541
r_192;NaN;NaN
r_194;-6.49875684705368;1.21675374692463e-12
r_195;-0.327420436877099;0
r_199;NaN;NaN
r_200;NaN;NaN
r_201;NaN;NaN
r_202;0.683067956241601;3.92723008003149e-172
r_203;-0.284346747032364;0
r_204;-0.854328508103105;0.237140898691968
r_205;NaN;NaN
r_206;0.345757627223835;0.158624370890258
r_207;-0.283800716263611;0
r_208;-0.283800716263611;0
r_209;NaN;NaN
r_210;NaN;NaN
r_211;1.97133725554132;0.00238484448713222
r_212;NaN;NaN
r_213;NaN;NaN
r_214;-0.28434674703233;0
r_215;-0.285440501569214;0
r_216;0.635898876729493;0
r_217;0.544083141910748;0
r_218;2.27497063544873;5.91184354890922e-69
r_219;-0.285440501569214;0
r_220;NaN;NaN
r_221;NaN;NaN
r_222;-0.854328508103105;0.237140898691968
r_223;NaN;NaN
r_224;NaN;NaN
r_225;-0.284346747032333;0
r_226;0.788088012086589;0
r_227;-0.879302628634482;0.151198140176404
r_228;NaN;NaN
r_229;NaN;NaN
r_230;NaN;NaN
r_231;-0.284346761612126;0
r_233;-0.284346761612126;0
r_234;-0.284346761612126;0
r_235;-0.284346761612126;0
r_236;-0.284346761612126;0
r_237;-0.284346761612126;0
r_238;-0.284346761612126;0
r_239;-0.284346761612126;0
r_240;-0.284346761612126;0
r_241;-0.284346761612126;0
r_242;-0.284346761612126;0
r_243;-0.284346761612126;0
r_244;-0.284346761612126;0
r_249;NaN;NaN
r_250;-0.284085866739325;0
r_252;2.55117733256979;8.42188926540353e-05
r_253;1.65231930801499;1.1265319869672e-13
r_254;0.961256230271591;0.00980275571442269
r_255;-1.09377347829468;1.10551624287434e-35
r_256;2.20064203593022;9.7190912248357e-86
r_257;-0.284346747092758;0
r_258;-0.0140388621608428;0.578548031792731
r_259;NaN;NaN
r_260;NaN;NaN
r_261;NaN;NaN
r_262;NaN;NaN
r_263;-0.747955599149004;0.29043966694097
r_264;-1.41953251074267;0.0444766895264734
r_265;-0.354511784713234;0.541980130673561
r_266;-0.120699858319648;0.837055306293621
r_267;NaN;NaN
r_268;NaN;NaN
r_269;NaN;NaN
r_270;NaN;NaN
r_271;NaN;NaN
r_272;-0.284346747032385;0
r_273;-1.60243240147131;5.7330328295724e-16
r_274;-1.60243240147131;5.7330328295724e-16
r_278;-0.284346747032381;0
r_279;-0.284346747032322;0
r_280;1.27489435141556;0
r_281;NaN;NaN
r_282;NaN;NaN
r_283;NaN;NaN
r_284;NaN;NaN
r_285;NaN;NaN
r_286;NaN;NaN
r_287;NaN;NaN
r_288;NaN;NaN
r_289;NaN;NaN
r_290;NaN;NaN
r_291;NaN;NaN
r_292;NaN;NaN
r_293;NaN;NaN
r_294;NaN;0.617879480331703
r_295;NaN;0.0762940283985152
r_296;NaN;NaN
r_297;NaN;NaN
r_298;NaN;NaN
r_299;NaN;NaN
r_300;1.01540196638693;0
r_301;0.923110737761578;0.259400821688073
r_302;1.27489435141556;0
r_303;NaN;NaN
r_304;NaN;NaN
r_306;1.92009492500914;3.19722532340528e-10
r_307;-0.322114539288937;0
r_308;-1.71865407814528;0.000741171966277145
r_309;-0.806637873228866;6.23508096458434e-07
r_310;3.08319980706597;0
r_311;4.42756755222891;0
r_312;-0.275367884303645;7.25734621963443e-09
r_313;NaN;NaN
r_314;0.168729712505702;0.798735571202583
r_315;0.690216150322218;0.244455844550135
r_317;-0.284346761612126;0
r_318;-0.238429753424613;0.472249546538176
r_319;NaN;NaN
r_320;NaN;NaN
r_321;NaN;NaN
r_322;NaN;NaN
r_323;NaN;NaN
r_326;-0.252691562330098;1.99471509356574e-55
r_327;-0.248128866351333;0.50179318283596
r_329;1.3857638363651;0.019155765538026
r_330;-0.691288444778888;0.589247371647122
r_331;NaN;NaN
r_332;NaN;NaN
r_333;0.418074344157723;0.013013676593905
r_334;NaN;NaN
r_335;NaN;NaN
r_340;-0.747955599149004;0.29043966694097
r_341;-1.41953251074267;0.0444766895264734
r_342;0.0665291729959714;0.91445874594598
r_343;0.24459345647745;0.649018769598265
r_344;-0.284346747032394;0
r_345;NaN;NaN
r_346;NaN;NaN
r_347;NaN;NaN
r_348;NaN;NaN
r_349;-0.28434674703233;0
r_350;NaN;NaN
r_351;NaN;NaN
r_352;-0.219141765381053;0
r_353;-0.284346747032345;0
r_354;NaN;NaN
r_355;-0.284346761612126;0
r_356;NaN;NaN
r_357;2.46961068914047;0.00205878645342031
r_358;NaN;0.00346257364343335
r_359;NaN;NaN
r_360;NaN;NaN
r_361;-0.284346747032369;0
r_362;-0.284346747032369;0
r_363;Inf;0.357323775516745
r_364;-0.352057494165415;1.6447711173045e-36
r_366;0.462716056117768;0
r_368;NaN;NaN
r_370;NaN;NaN
r_373;NaN;NaN
r_381;NaN;NaN
r_399;1.26277593838034;0.0665609604535911
r_400;-0.38581308916753;0.595130664598202
