Entry;log2FC;adj_p_value
r_1;NaN;NaN
r_10;-0.633787280452825;0.588178151482227
r_100;-0.595780533360012;8.56264931134386e-06
r_1001;NaN;NaN
r_1002;-2.38856813748044;8.32413699606629e-141
r_1003;NaN;NaN
r_1004;-1.5551833114991;0.0458477987875661
r_1005;-0.667999149389324;0.353109031975766
r_1006;-1.5551833114991;0.0458477987875661
r_1007;-0.667999149389324;0.353109031975766
r_1008;NaN;NaN
r_1009;NaN;NaN
r_101;-0.463684890442207;0.327419560948683
r_1010;NaN;NaN
r_1011;-0.317164932671432;0
r_1012;-0.317164932671432;0
r_102;-0.411995428681999;0.00213437607476102
r_1021;1.25509061564774;0
r_1022;1.34921152273719;0
r_1023;-0.224892249133719;0.366782659687057
r_1024;NaN;NaN
r_1025;0.158221079241627;0.71895710413037
r_1026;-0.320499456130963;0
r_1027;-0.317241823309722;0
r_1028;NaN;NaN
r_1029;NaN;NaN
r_103;0.176797010009883;0.744620587241212
r_1030;1.32497347813149;0.00471836411457577
r_1031;NaN;0.599248301268989
r_1032;NaN;NaN
r_1033;NaN;NaN
r_1034;NaN;NaN
r_1035;NaN;NaN
r_1036;-0.901904571743491;0.0759676220755005
r_1038;-0.300291586731619;0
r_1039;NaN;NaN
r_104;-0.300792315140674;0
r_1040;0.220900036253123;0.609953021821666
r_1041;-0.32075670342352;0
r_1042;NaN;NaN
r_1043;NaN;NaN
r_1044;NaN;NaN
r_1045;-0.31716494515713;0
r_1047;NaN;NaN
r_1048;-0.307925692043053;0
r_1049;-0.317416381996077;0
r_105;0.172225301032136;0.258127649304453
r_1050;-0.317133543506429;0
r_1051;-0.30164005610475;3.71248640755181e-56
r_1053u;-0.376141582965536;0.0125487674814054
r_1054;0.0495273130842667;0
r_1055;0.593297744505548;0
r_1056;NaN;NaN
r_1057;NaN;NaN
r_1058;NaN;NaN
r_1059u;NaN;NaN
r_106;1.67158658665719;1.10144005021014e-87
r_1063;-4.35090221137521;0
r_1065;NaN;NaN
r_1066;NaN;NaN
r_1067;NaN;NaN
r_1068;NaN;NaN
r_1069;-0.317164945157129;0
r_107;0.513266923982175;3.63453360447805e-05
r_1070;NaN;NaN
r_1071;-0.410923891190152;0.462523129074362
r_1072;-0.36767096209742;1.76553995253722e-27
r_1073;NaN;NaN
r_1074;0.287364952452448;0.345266506619031
r_1075;-1.29228892597479;0.00554830117943593
r_1076;1.3588620360861;2.492265194289e-16
r_1077;-1.90791177571759;0.102438802448474
r_1078;-1.5896028039918;0.296958425295798
r_1079;-0.034686369198169;0.944852634996027
r_108;NaN;NaN
r_1080;0.712717330194934;0.476342744863288
r_1081;NaN;NaN
r_1082;NaN;NaN
r_1083;NaN;NaN
r_1084;-0.306570640441661;0
r_1085;-4.24397504123126;8.78203874812283e-174
r_1086;NaN;NaN
r_1087;NaN;NaN
r_1088;-0.317164945157138;0
r_1089;NaN;NaN
r_109;-0.283244863400199;0
r_1090;NaN;NaN
r_1091;-0.237446348706176;0.667354063201943
r_1092;NaN;NaN
r_1093;NaN;NaN
r_1094;NaN;NaN
r_1095;NaN;0.976245996592643
r_1096;3.11425794116707;2.88940191170073e-07
r_1097;NaN;NaN
r_1099;-0.301874216256887;0
r_11;-3.31667642707398;0.00631560826805384
r_1100;NaN;NaN
r_1101;NaN;NaN
r_1102;NaN;NaN
r_1103;NaN;NaN
r_1104;NaN;NaN
r_1106;NaN;NaN
r_1108;NaN;NaN
r_1109;NaN;NaN
r_111;0.605319132925219;0.588178151482227
r_1110;0.607910659971409;0
r_1111;NaN;NaN
r_1112;0.273203635232877;0
r_1113;NaN;NaN
r_1114;NaN;NaN
r_1115;-0.311402346979993;0
r_1116;0.800281213586302;0.00423812290906338
r_1117;-6.08866298585072;0
r_1118;4.68459693798375;0
r_1119;NaN;NaN
r_112;-0.372218036981578;2.12006904970255e-16
r_1120;1.18838623725422;0.413428640071257
r_1121;NaN;NaN
r_1122;NaN;NaN
r_1123;NaN;NaN
r_1124;NaN;NaN
r_1125;NaN;NaN
r_1126;0.059124271819414;5.53005189351516e-56
r_1127;NaN;NaN
r_1128;-0.13555119171591;1.86818065273702e-09
r_1129;-0.306865825755828;0
r_113;NaN;NaN
r_1130;-0.385401139859844;3.1018671850771e-23
r_1131;1.48553005013049;0.176060331442273
r_1132;NaN;NaN
r_1133;NaN;NaN
r_1134;NaN;NaN
r_1135;NaN;NaN
r_1136;NaN;NaN
r_1137;6.38455866518471;0
r_1138;6.38455866518471;0
r_1139;NaN;NaN
r_114;NaN;NaN
