Entry;log2FC;adj_p_value
r_1;NaN;NaN
r_2;NaN;NaN
r_4;NaN;NaN
r_5;-0.0988450718342361;0
r_6;NaN;NaN
r_7;-0.0988450718342503;0
r_10;0.547483036557916;0.521880997477477
r_11;4.28309030466316;0.00175970959287528
r_12;7.34287997892201;3.03102186585389e-05
r_13;Inf;0
r_14;NaN;NaN
r_15;NaN;NaN
r_16;-0.0988450718342635;0
r_17;NaN;NaN
r_18;-0.0907509256015119;0
r_19;Inf;0
r_20;NaN;NaN
r_21;NaN;NaN
r_22;NaN;NaN
r_23;-0.103407629586966;0
r_24;NaN;NaN
r_25;-0.166116641094539;0
r_26;Inf;0
r_27;-0.116124516877274;0
r_28;NaN;NaN
r_29;NaN;NaN
r_30;-0.103407629586966;0
r_32;-0.0934118483715881;0
r_33;4.5098773318329;0.00544545203528731
r_34;NaN;NaN
r_35;NaN;NaN
r_36;2.0145655272132;0.104569964856739
r_37;NaN;NaN
r_38;NaN;NaN
r_39;-0.098845071834245;0
r_40;-0.098845071834245;0
r_41;NaN;NaN
r_42;-0.098845071834245;0
r_43;NaN;NaN
r_44;NaN;NaN
r_45;NaN;NaN
r_57;3.1792185922882;1.51630276903077e-45
r_58;NaN;NaN
r_60;-0.103407629586966;0
r_61;-0.103407629586966;0
r_63;Inf;0
r_65;-0.098845071834245;0
r_66;NaN;NaN
r_67;NaN;NaN
r_68;-4.70506223910706;0
r_69;NaN;NaN
r_70;NaN;NaN
r_73;5.03445504534214;0.00181227629938056
r_74;5.03445504534214;0.00181227629938056
r_75;Inf;0
r_76;3.83873096831574;5.91354036061907e-11
r_77;5.69802888074586;8.86240121411616e-12
r_78;1.23769090024451;7.46469706581706e-05
r_79;-0.0976392084237197;0
r_80;-0.0988450815543892;0
r_81;NaN;NaN
r_82;4.93221259115575;2.47876194602896e-07
r_83;6.10645812931597;1.3495146849501e-06
r_84;NaN;NaN
r_85;NaN;NaN
r_86;Inf;0
r_87;Inf;0
r_88;5.03445504534214;0.00181227629938056
r_89;5.18973992225989;0.0698448840854411
r_90;2.50232070471827;0.0168536105413102
r_91;-0.352360015265703;0
r_92;4.8757769417704;0.00523421444867044
r_93;4.8757769417704;0.00523421444867044
r_94;NaN;NaN
r_95;NaN;NaN
r_96;-0.134383951266552;0
r_97;-0.134383951266552;0
r_99;NaN;0.538092371897353
r_100;2.67727553641481;1.15952768735237e-29
r_101;3.33442100669537;6.2326035977776e-08
r_102;2.58601653722279;7.1001382102124e-43
r_103;-5.78763858450925;0
r_104;0.508016602592744;0
r_105;3.1792185922882;1.51630276903077e-45
r_106;1.92820521885419;9.1438962287874e-60
r_107;1.95980161998616;3.0422595381526e-48
r_108;NaN;NaN
r_109;0.00703212095054563;0.00775520400785837
r_111;3.58231579538006;0.0670414465016405
r_112;-0.11026048198417;0.0424633326113694
r_113;NaN;NaN
r_114;NaN;NaN
r_115;-0.299596729063512;0
r_116;NaN;NaN
r_117;NaN;NaN
r_118;-0.299596729063512;0
r_120;1.95980161998616;3.0422595381526e-48
r_121;3.20569820588826;1.02956309577864e-42
r_122;3.33442100669537;6.2326035977776e-08
r_123;2.58601653722279;7.1001382102124e-43
r_124;2.67727553641481;1.15952768735237e-29
r_125;3.1792185922882;1.51630276903077e-45
r_126;4.90384537098145;0.00239304061287755
r_127;2.12159207567168;2.24685367684744e-06
r_128;4.50871414677021;0.00391475587540239
r_129;4.06597848320548;0.0046867494116709
r_130;4.1098632042497;0.000133161922346359
r_131;5.255219375274;0.000639072845256567
r_132;5.02803088027323;2.30748231942623e-21
r_133;5.10444919779446;0.0127605805916569
r_134;3.79525869809164;0.00283143250452129
r_135;6.55987100027153;1.55219069438107e-19
r_137;NaN;NaN
r_139;2.36182589620712;9.04859501754906e-05
r_142;0.0393891156543712;0.381648227399073
r_143;2.40685059189766;0.0556513082831095
r_144;-0.0989401695725889;0
r_145;Inf;0
r_146;NaN;0.146655805483447
r_147;4.5098773318329;0.00544545203528731
r_148;0.115089926697977;2.51148895971862e-29
r_149;2.80478743150831;0.0134464423210617
r_150;2.80478743150831;0.0134464423210617
r_151;-0.0976392084237197;0
r_152;-0.0475444169062303;5.73699933791798e-08
r_153;-0.0475444169062303;5.73699933791798e-08
r_154;-0.0549690220784144;0.380889825789518
r_156;0.135568075258123;3.51801539995508e-40
r_157;NaN;NaN
r_163;3.90375101379273;1.82591072949855e-05
r_164;NaN;NaN
r_165;1.868924220976;5.3243381335944e-06
r_172;Inf;0
r_173;NaN;NaN
r_174;-0.370608069575372;0.021614182349412
r_175;NaN;NaN
r_188;NaN;NaN
r_189;-0.256052192798607;0.0779001907402716
r_190;-0.256052192798541;0.0779001907402716
r_191;4.77763202865407;1.48738349482504e-07
r_192;NaN;NaN
r_194;0.179791480354855;0.680319286435578
r_195;-0.089709516019651;8.63649733274798e-11
r_199;NaN;NaN
r_200;NaN;NaN
r_201;NaN;NaN
r_202;1.45157265646877;0
r_203;-0.0988450718342742;0
r_204;3.55430014867546;0.014093758904358
r_205;NaN;NaN
r_206;6.11391245667209;1.15328510263094e-16
r_207;-0.0276666284642068;0.00102646461333111
r_208;-0.0276666284642068;0.00102646461333111
r_209;NaN;NaN
r_210;NaN;NaN
r_211;0.964940859549138;0.466457291886351
r_212;NaN;NaN
r_213;NaN;NaN
r_214;-0.0988450718342493;0
r_215;-0.0893606444357729;1.81384611936967e-211
r_216;0.489197247127303;0
r_217;0.429838105140693;0
r_218;-2.52143943981505;2.29410904534981e-37
r_219;-0.0893606444357729;1.81384611936967e-211
r_220;NaN;NaN
r_221;NaN;NaN
r_222;3.55430014867546;0.014093758904358
r_223;NaN;NaN
r_224;NaN;NaN
r_225;-0.0988450718342503;0
r_226;0.206189784183095;0
r_227;-1.18409879112777;0.0844721171231463
r_228;NaN;NaN
r_229;NaN;NaN
r_230;NaN;NaN
r_231;-0.0988451327972084;0
r_233;-0.0988451327972084;0
r_234;-0.0988451327972084;0
r_235;-0.0988451327972084;0
r_236;-0.0988451327972084;0
r_237;-0.0988451327972084;0
r_238;-0.0988451327972084;0
r_239;-0.0988451327972084;0
r_240;-0.0988451327972084;0
r_241;-0.0988451327972084;0
r_242;-0.0988451327972084;0
r_243;-0.0988451327972084;0
r_244;-0.0988451327972084;0
r_249;NaN;NaN
r_250;-0.064402720834395;2.9777113377583e-58
r_252;5.12771240112543;2.01090902342377e-34
r_253;3.72596072197635;1.41187762574619e-105
r_254;1.87430415248472;0.00392427782849237
r_255;-2.92058741539342;2.39949668256906e-150
r_256;2.04763723444983;5.76408633844808e-73
r_257;-0.0988450823040136;0
r_258;1.26987831127802;4.53803072044288e-245
r_259;NaN;NaN
r_260;NaN;NaN
r_261;NaN;NaN
r_262;NaN;NaN
r_263;2.99001995276359;0.000180776356385986
r_264;2.00018138528133;0.0127795592185404
r_265;1.85849028074128;0.0140865216600875
r_266;2.14481233988684;0.00440404939050666
r_267;NaN;NaN
r_268;NaN;NaN
r_269;NaN;NaN
r_270;NaN;NaN
r_271;NaN;NaN
r_272;-0.0988450718342641;0
r_273;-1.99242922345436;1.97166029766029e-21
r_274;-1.99242922345436;1.97166029766029e-21
r_278;-0.0988450718342699;0
r_279;-0.098845071834245;0
r_280;0.0407182835717969;9.91103992424856e-270
r_281;NaN;NaN
r_282;NaN;NaN
r_283;NaN;NaN
r_284;NaN;NaN
r_285;NaN;NaN
r_286;NaN;NaN
r_287;NaN;NaN
r_288;NaN;NaN
r_289;NaN;NaN
r_290;NaN;NaN
r_291;NaN;NaN
r_292;NaN;NaN
r_293;NaN;NaN
r_294;NaN;0.0606588087896743
r_295;NaN;0.859877296646796
r_296;NaN;NaN
r_297;NaN;NaN
r_298;NaN;NaN
r_299;NaN;NaN
r_300;0.3734801259173;0
r_301;2.01211080736025;0.00632306634631167
r_302;0.0407182835717963;9.91103992424856e-270
r_303;NaN;NaN
r_304;NaN;NaN
r_306;1.31429327737391;0.0596730443902626
r_307;-0.0517545649871107;4.74186253026897e-06
r_308;1.36109857110479;0.0396775410534913
r_309;0.616236246167765;0.132000163520328
r_310;0.295120505402612;0.00743468039417005
r_311;1.18677008577039;4.21853911817359e-07
r_312;0.207818684673174;9.81629006797958e-07
r_313;NaN;NaN
r_314;3.32686406339969;0.000176410007001761
r_315;4.5398091274104;0.0384001122943204
r_317;-0.0988451327972084;0
r_318;2.33823430972061;1.9676892528303e-05
r_319;NaN;NaN
r_320;NaN;NaN
r_321;NaN;NaN
r_322;NaN;NaN
r_323;NaN;NaN
r_326;0.198908888865655;0.0101484140799753
r_327;2.02271613059474;0.00462416484246946
r_329;6.3085339600859;0.000193226925564725
r_330;1.19554198558462;0.0852651048877355
r_331;NaN;NaN
r_332;NaN;NaN
r_333;-0.346125133133492;0.0734969534060205
r_334;NaN;NaN
r_335;NaN;NaN
r_340;2.99001995276359;0.000180776356385986
r_341;2.00018138528133;0.0127795592185404
r_342;-0.39541596056262;0.491573635586406
r_343;-0.05837699234067;0.903677124444135
r_344;-0.0988450718342877;0
r_345;NaN;NaN
r_346;NaN;NaN
r_347;NaN;NaN
r_348;NaN;NaN
r_349;-0.0988450718342493;0
r_350;NaN;NaN
r_351;NaN;NaN
r_352;-0.134383951266552;0
r_353;-0.0988450718342635;0
r_354;NaN;NaN
r_355;-0.0988451327972084;0
r_356;NaN;NaN
r_357;8.00999205225574;8.06840351078404e-05
r_358;NaN;0.541386008364876
r_359;NaN;NaN
r_360;NaN;NaN
r_361;-0.098845071834238;0
r_362;-0.098845071834238;0
r_363;Inf;0.177086177412768
