"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"aldehyde dehydrogenase (NAD+) activity [GO:0004029]",8,0.43828,0.09539,0.46247,0.56172,0.90471,1,0.57956,0.67453,1,5,0.56489,0.47095,0.9994,3,0.604,0.71833,1
"oxidoreductase activity [GO:0016491]",217,0.53799,0.12289,0.54746,0.46201,0.87721,1,0.48821,0.0019998,0.064518,90,0.47461,0.00039996,0.046595,127,0.49785,0.23268,0.86099
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]",11,0.40984,0.032997,0.22987,0.59016,0.9671,1,0.50566,0.35066,0.96177,7,0.46992,0.14319,0.9994,4,0.56822,0.65993,1
"monooxygenase activity [GO:0004497]",13,0.59817,0.70723,1,0.40183,0.29287,0.64407,0.5085,0.33757,0.95295,5,0.61628,0.64684,0.9994,8,0.44113,0.21958,0.84095
"iron ion binding [GO:0005506]",20,0.61682,0.84522,1,0.38318,0.15488,0.43807,0.40769,0.010199,0.16541,7,0.48763,0.18838,0.9994,13,0.36465,0.017198,0.21737
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]",5,0.4183,0.11809,0.53013,0.5817,0.88201,1,0.62978,0.77462,1,2,0.33297,0.09819,0.89818,3,0.82765,0.9803,1
"heme binding [GO:0020037]",26,0.50608,0.14949,0.60849,0.49392,0.85061,1,0.45132,0.042396,0.36811,15,0.53502,0.28727,0.9994,11,0.33718,0.010899,0.19599
"triacylglycerol lipase activity [GO:0004806]",6,0.52601,0.38696,1,0.47399,0.61314,0.97977,0.24646,0.0012999,0.053817,3,0.29848,0.028897,0.5233,3,0.19444,0.010699,0.19599
"hydrolase activity [GO:0016787]",216,0.55983,0.54575,1,0.44017,0.45435,0.81878,0.55709,0.86381,1,86,0.59405,0.79242,0.9994,130,0.53264,0.79882,1
"lipid metabolic process [GO:0006629]",27,0.71672,0.9994,1,0.28328,0.00069993,0.010091,0.44852,0.036096,0.35684,4,0.6016,0.59554,0.9994,23,0.4219,0.049895,0.3934
