"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"aldehyde dehydrogenase (NAD+) activity [GO:0004029]",6,0.54919,0.92771,1,0.45081,0.072393,0.36737,0.88181,0.32957,0.85263,1,0.94061,0.70723,1,5,0.87006,0.27917,0.78319
"oxidoreductase activity [GO:0016491]",198,0.52695,0.9998,1,0.47305,0.00029997,0.021362,0.87238,0.00019998,0.10527,59,0.87631,0.0012999,0.26487,139,0.87071,0.0037996,0.19488
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]",9,0.51679,0.58774,1,0.48321,0.41236,0.76908,0.8892,0.42556,0.8699,4,0.91313,0.63874,1,5,0.87006,0.27917,0.78319
"monooxygenase activity [GO:0004497]",14,0.50137,0.25237,1,0.49863,0.74773,0.98453,0.88186,0.25647,0.79662,6,0.86538,0.079492,0.74001,8,0.89422,0.62934,0.96793
"iron ion binding [GO:0005506]",18,0.50908,0.41096,1,0.49092,0.58914,0.90121,0.92281,0.9811,0.99736,6,0.91146,0.64794,1,12,0.92848,0.9914,0.99883
"heme binding [GO:0020037]",23,0.50779,0.36516,1,0.49221,0.63494,0.9239,0.88944,0.40946,0.8699,10,0.89078,0.28337,1,13,0.88841,0.54195,0.9449
"triacylglycerol lipase activity [GO:0004806]",8,0.5306,0.79892,1,0.4694,0.20118,0.56161,0.92869,0.94621,0.99736,2,0.97976,0.9778,1,6,0.91167,0.83822,0.99883
"hydrolase activity [GO:0016787]",199,0.52265,0.995,1,0.47735,0.0050995,0.088769,0.88722,0.11859,0.57848,69,0.90268,0.56804,1,130,0.87901,0.11359,0.58737
"lipid metabolic process [GO:0006629]",24,0.50276,0.22168,0.97416,0.49724,0.77842,1,0.91116,0.92721,0.99736,12,0.91667,0.80562,1,12,0.90565,0.84642,0.99883
"oligopeptide transmembrane transporter activity [GO:0035673]",7,0.61057,0.9999,1,0.38943,0.00019998,0.018798,0.77885,0.00069993,0.10527,0,NA,NA,NA,7,0.77885,0.0013999,0.19488
"protein transport [GO:0015031]",174,0.52358,0.9943,1,0.47642,0.0057994,0.097289,0.88343,0.031297,0.34611,64,0.90565,0.71803,1,110,0.87051,0.0075992,0.21135
"peptide transport [GO:0015833]",8,0.60681,1,1,0.39319,9.999e-05,0.013427,0.78638,0.00069993,0.10527,0,NA,NA,NA,8,0.78638,0.0011999,0.19488
"oligopeptide transmembrane transport [GO:0035672]",7,0.61057,0.9999,1,0.38943,0.00019998,0.018798,0.77885,0.00069993,0.10527,0,NA,NA,NA,7,0.77885,0.0013999,0.19488
"transmembrane transport [GO:0055085]",100,0.52527,0.9864,1,0.47473,0.013699,0.16419,0.88135,0.045895,0.41498,30,0.88648,0.090991,0.77255,70,0.87915,0.19248,0.72142
"ATP-dependent protein folding chaperone [GO:0140662]",20,0.49026,0.060094,0.57931,0.50974,0.94001,1,0.87173,0.077492,0.50912,11,0.86569,0.028497,0.69897,9,0.87912,0.37246,0.866
"translation [GO:0006412]",172,0.5026,0.020198,0.32974,0.4974,0.9799,1,0.88775,0.17008,0.69496,80,0.88492,0.0094991,0.6452,92,0.8902,0.73513,0.98981
"protein folding [GO:0006457]",53,0.51273,0.53225,1,0.48727,0.46785,0.80694,0.88878,0.33407,0.85642,21,0.89179,0.24088,1,32,0.88681,0.52585,0.9449
"chromatin remodeling [GO:0006338]",121,0.52152,0.9529,1,0.47848,0.047195,0.30579,0.89873,0.86411,0.98769,41,0.91407,0.91161,1,80,0.89086,0.74633,0.98981
"nucleoplasm [GO:0005654]",35,0.50723,0.32637,1,0.49277,0.67373,0.9434,0.90087,0.77582,0.98769,16,0.90739,0.64774,1,19,0.89537,0.72833,0.98981
"transmembrane transporter activity [GO:0022857]",38,0.5208,0.80232,1,0.4792,0.19778,0.56161,0.90164,0.81152,0.98769,10,0.89215,0.30937,1,28,0.90503,0.94131,0.99883
"ATP hydrolysis activity [GO:0016887]",150,0.52402,0.993,1,0.47598,0.0070993,0.1094,0.883,0.037596,0.36062,52,0.90055,0.45335,1,98,0.87369,0.029897,0.37851
"chromosome segregation [GO:0007059]",15,0.5209,0.70963,1,0.4791,0.29047,0.65321,0.8888,0.39916,0.8699,4,0.8699,0.15378,0.93336,11,0.89568,0.68423,0.98822
"cell division [GO:0051301]",28,0.51116,0.46875,1,0.48884,0.53135,0.85491,0.90323,0.80912,0.98769,12,0.91313,0.74473,1,16,0.8958,0.71783,0.98915
"chromosome [GO:0005694]",40,0.50221,0.15568,0.85083,0.49779,0.84442,1,0.89256,0.48985,0.87974,17,0.87879,0.066593,0.74001,23,0.90274,0.89341,0.99883
"protein kinase activity [GO:0004672]",38,0.50869,0.36116,1,0.49131,0.63894,0.92588,0.90152,0.80782,0.98769,20,0.92296,0.94701,1,18,0.87771,0.28477,0.7848
"protein serine/threonine kinase activity [GO:0004674]",52,0.51843,0.76802,1,0.48157,0.23208,0.5761,0.89846,0.74393,0.98769,21,0.91991,0.91971,1,31,0.88393,0.41746,0.88497
