"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"aldehyde dehydrogenase (NAD+) activity [GO:0004029]",7,0.39159,0.094391,0.63597,0.60841,0.90571,1,0.30986,0.52875,1,4,0.20641,0.19668,1,3,0.4478,0.84692,1
"oxidoreductase activity [GO:0016491]",214,0.45003,9.999e-05,0.017132,0.54997,1,1,0.20384,9.999e-05,0.011421,121,0.20758,9.999e-05,0.047395,93,0.19897,0.00069993,0.047315
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]",10,0.28149,0.0055994,0.15148,0.71851,0.9945,1,0.23166,0.20548,0.84998,7,0.13903,0.018998,0.50028,3,0.4478,0.84692,1
"monooxygenase activity [GO:0004497]",13,0.49076,0.19808,0.85816,0.50924,0.80202,1,0.18298,0.040996,0.44221,7,0.22418,0.14549,1,6,0.1349,0.070293,0.52027
"iron ion binding [GO:0005506]",20,0.48738,0.13669,0.6851,0.51262,0.86341,1,0.17783,0.011599,0.24334,11,0.22964,0.09699,0.94791,9,0.11452,0.013899,0.23658
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen [GO:0016712]",5,0.10401,0.0013999,0.055348,0.89599,0.9987,1,0.20802,0.22858,0.88337,5,0.20802,0.16028,1,0,NA,NA,NA
"heme binding [GO:0020037]",25,0.48409,0.10839,0.66385,0.51591,0.89171,1,0.26774,0.24548,0.92775,13,0.26532,0.18478,1,12,0.27037,0.44546,1
"triacylglycerol lipase activity [GO:0004806]",5,0.28653,0.044596,0.4539,0.71347,0.9555,1,0.2213,0.26557,0.93136,4,0.24647,0.28797,1,1,0.12063,0.38246,1
"hydrolase activity [GO:0016787]",215,0.59398,0.76032,1,0.40602,0.23978,0.56242,0.32278,0.80222,1,81,0.35068,0.67423,1,134,0.30591,0.79882,1
"lipid metabolic process [GO:0006629]",26,0.6935,0.95,1,0.3065,0.050095,0.24291,0.18881,0.0082992,0.2008,8,0.31069,0.42166,1,18,0.13465,0.0025997,0.13036
"protein transport [GO:0015031]",175,0.67175,0.9999,1,0.32825,0.00019998,0.0073421,0.2852,0.13829,0.73657,55,0.40928,0.9722,1,120,0.22832,0.0039996,0.13211
"transmembrane transport [GO:0055085]",103,0.72492,1,1,0.27508,9.999e-05,0.0046723,0.28276,0.18288,0.81567,26,0.47035,0.9907,1,77,0.21941,0.0085991,0.18552
"ATP-dependent protein folding chaperone [GO:0140662]",20,0.64454,0.79332,1,0.35546,0.20678,0.51123,0.29698,0.44616,1,7,0.40866,0.74703,1,13,0.23684,0.26357,0.91216
"translation [GO:0006412]",195,0.6276,0.9786,1,0.3724,0.021498,0.14076,0.3677,0.9988,1,71,0.48215,1,1,124,0.30217,0.75022,1
"protein folding [GO:0006457]",58,0.51652,0.10409,0.65246,0.48348,0.89601,1,0.33892,0.81182,1,28,0.34953,0.59854,1,30,0.32902,0.81062,1
"chromatin remodeling [GO:0006338]",120,0.70071,0.9999,1,0.29929,0.00019998,0.0073421,0.37634,0.9959,1,31,0.56984,1,1,89,0.30894,0.79022,1
"nucleoplasm [GO:0005654]",37,0.64496,0.87411,1,0.35504,0.12599,0.38205,0.33418,0.73333,1,12,0.42048,0.84462,1,25,0.29276,0.56344,1
"transmembrane transporter activity [GO:0022857]",39,0.65156,0.90081,1,0.34844,0.09929,0.33025,0.31054,0.54815,1,14,0.46188,0.94291,1,25,0.22579,0.12479,0.72933
"ATP hydrolysis activity [GO:0016887]",163,0.72789,1,1,0.27211,9.999e-05,0.0046723,0.30489,0.46335,1,33,0.40889,0.93151,1,130,0.27848,0.36356,1
"chromosome segregation [GO:0007059]",16,0.65741,0.80522,1,0.34259,0.19488,0.49711,0.41732,0.93801,1,5,0.57143,0.9559,1,11,0.34728,0.77692,1
"chromosome organization [GO:0051276]",6,0.86497,0.9774,1,0.13503,0.022698,0.14583,0.27006,0.39126,1,0,NA,NA,NA,6,0.27006,0.47305,1
"cell division [GO:0051301]",39,0.69888,0.9824,1,0.30112,0.017698,0.12723,0.34948,0.84102,1,11,0.55194,0.9903,1,28,0.26995,0.37536,1
"chromosome [GO:0005694]",46,0.69,0.9846,1,0.31,0.015498,0.11545,0.46107,0.9998,1,9,0.59382,0.9939,1,37,0.42878,0.9992,1
"protein kinase activity [GO:0004672]",47,0.6937,0.9874,1,0.3063,0.012699,0.10279,0.32074,0.63874,1,10,0.31412,0.41626,1,37,0.32253,0.79802,1
"protein serine/threonine kinase activity [GO:0004674]",60,0.78264,1,1,0.21736,9.999e-05,0.0046723,0.26026,0.089291,0.6029,8,0.34573,0.55674,1,52,0.24711,0.13319,0.74204
"3-phosphoinositide-dependent protein kinase activity [GO:0004676]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"DNA-dependent protein kinase activity [GO:0004677]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"AMP-activated protein kinase activity [GO:0004679]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"ribosomal protein S6 kinase activity [GO:0004711]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H3S10 kinase activity [GO:0035175]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H3T11 kinase activity [GO:0035402]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H3T6 kinase activity [GO:0035403]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H2AXS139 kinase activity [GO:0035979]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H3S28 kinase activity [GO:0044022]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H4S1 kinase activity [GO:0044023]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H2AS1 kinase activity [GO:0044024]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H2BS14 kinase activity [GO:0044025]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H3T3 kinase activity [GO:0072354]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H2AS121 kinase activity [GO:0072371]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"Rho-dependent protein serine/threonine kinase activity [GO:0072518]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H2BS36 kinase activity [GO:0140823]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H3S57 kinase activity [GO:0140855]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H3T45 kinase activity [GO:0140857]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"histone H2AT120 kinase activity [GO:1990244]",17,0.8374,0.9992,1,0.1626,0.00089991,0.015418,0.21936,0.091491,0.6029,2,0.55022,0.85541,1,15,0.17525,0.042196,0.3709
"mitotic cell cycle [GO:0000278]",18,0.69434,0.91251,1,0.30566,0.087591,0.30627,0.45148,0.9833,1,5,0.7123,0.9963,1,13,0.35117,0.81232,1
"intracellular signal transduction [GO:0035556]",28,0.778,0.9989,1,0.222,0.0011999,0.018977,0.21463,0.029797,0.37355,5,0.35775,0.59404,1,23,0.18351,0.021398,0.31446
"plasma membrane [GO:0005886]",182,0.70809,1,1,0.29191,9.999e-05,0.0046723,0.22084,9.999e-05,0.011421,50,0.33939,0.53095,1,132,0.17594,9.999e-05,0.014484
"phosphoric diester hydrolase activity [GO:0008081]",8,0.61643,0.61324,1,0.38357,0.38686,0.75353,0.39523,0.82182,1,2,0.25619,0.40646,1,6,0.44158,0.91411,1
"monoatomic cation transmembrane transporter activity [GO:0008324]",6,0.88754,0.9861,1,0.11246,0.013999,0.10739,0.22491,0.24138,0.9179,0,NA,NA,NA,6,0.22491,0.31467,0.9848
"endomembrane system [GO:0012505]",62,0.68867,0.9947,1,0.31133,0.0053995,0.06079,0.23776,0.017898,0.29873,17,0.29812,0.30457,1,45,0.21496,0.028297,0.36754
"phosphoprotein phosphatase activity [GO:0004721]",22,0.61766,0.69983,1,0.38234,0.30027,0.63514,0.39287,0.92271,1,9,0.54557,0.981,1,13,0.28716,0.52425,1
"protein serine/threonine phosphatase activity [GO:0004722]",19,0.62389,0.71013,1,0.37611,0.28997,0.61973,0.38977,0.89961,1,7,0.5081,0.93451,1,12,0.32074,0.69103,1
"myosin phosphatase activity [GO:0017018]",14,0.67335,0.83642,1,0.32665,0.16368,0.43846,0.40553,0.90231,1,4,0.5664,0.93541,1,10,0.34118,0.75182,1
"calmodulin-dependent protein phosphatase activity [GO:0033192]",14,0.67335,0.83642,1,0.32665,0.16368,0.43846,0.40553,0.90231,1,4,0.5664,0.93541,1,10,0.34118,0.75182,1
"histone H2AXS140 phosphatase activity [GO:0140791]",14,0.67335,0.83642,1,0.32665,0.16368,0.43846,0.40553,0.90231,1,4,0.5664,0.93541,1,10,0.34118,0.75182,1
"RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]",14,0.67335,0.83642,1,0.32665,0.16368,0.43846,0.40553,0.90231,1,4,0.5664,0.93541,1,10,0.34118,0.75182,1
