"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"aldehyde dehydrogenase (NAD+) activity [GO:0004029]",6,0.66655,0.77182,1,0.33345,0.22828,0.60742,0.25855,0.11999,0.82213,2,0.38747,0.47345,0.9993,4,0.19408,0.075892,0.77939
"oxidoreductase activity [GO:0016491]",189,0.55834,0.41486,1,0.44166,0.58524,0.91838,0.37701,0.21438,0.93151,79,0.39435,0.27057,0.9993,110,0.36456,0.28317,0.92564
"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]",9,0.46971,0.19878,0.88513,0.53029,0.80132,1,0.22304,0.022398,0.48139,5,0.24621,0.09709,0.9993,4,0.19408,0.075892,0.77939
"monooxygenase activity [GO:0004497]",14,0.57333,0.53465,1,0.42667,0.46545,0.83946,0.46683,0.84792,0.9995,5,0.45888,0.65833,0.9993,9,0.47124,0.84492,0.9998
"iron ion binding [GO:0005506]",16,0.46126,0.10819,0.74648,0.53874,0.89191,1,0.46735,0.87011,0.9995,9,0.45766,0.68953,0.9993,7,0.47981,0.83942,0.9998
"heme binding [GO:0020037]",20,0.40569,0.017498,0.36508,0.59431,0.9826,1,0.32163,0.12259,0.82213,12,0.27751,0.042196,0.77942,8,0.38781,0.56494,0.99634
"triacylglycerol lipase activity [GO:0004806]",8,0.27145,0.0072993,0.24818,0.72855,0.9928,1,0.4386,0.69033,0.9995,6,0.32099,0.22538,0.9993,2,0.79141,0.9726,0.9998
"hydrolase activity [GO:0016787]",193,0.59784,0.93001,1,0.40216,0.070093,0.30495,0.39911,0.63914,0.9995,70,0.4414,0.80152,0.9993,123,0.37504,0.44886,0.9556
"lipid metabolic process [GO:0006629]",23,0.49317,0.15068,0.87811,0.50683,0.84942,1,0.48155,0.93911,0.9995,8,0.23509,0.032697,0.77942,15,0.613,0.9996,0.9998
"oligopeptide transmembrane transporter activity [GO:0035673]",5,0.9618,0.9999,1,0.038201,0.00019998,0.011973,0.076401,9.999e-05,0.030597,0,NA,NA,NA,5,0.076401,9.999e-05,0.030464
"protein transport [GO:0015031]",166,0.6472,0.9999,1,0.3528,0.00019998,0.011973,0.348,0.013799,0.43996,51,0.41804,0.55634,0.9993,115,0.31694,0.0045995,0.22391
"peptide transport [GO:0015833]",6,0.96379,1,1,0.03621,9.999e-05,0.011973,0.07242,9.999e-05,0.030597,0,NA,NA,NA,6,0.07242,9.999e-05,0.030464
"oligopeptide transmembrane transport [GO:0035672]",5,0.9618,0.9999,1,0.038201,0.00019998,0.011973,0.076401,9.999e-05,0.030597,0,NA,NA,NA,5,0.076401,9.999e-05,0.030464
"transmembrane transport [GO:0055085]",83,0.7429,1,1,0.2571,9.999e-05,0.011973,0.34573,0.056494,0.64827,18,0.61158,0.9969,0.9993,65,0.27211,0.00019998,0.045695
"ATP-dependent protein folding chaperone [GO:0140662]",20,0.67905,0.93971,1,0.32095,0.060394,0.2786,0.34747,0.23488,0.94584,6,0.50928,0.79062,0.9993,14,0.27813,0.070793,0.77939
"translation [GO:0006412]",171,0.59414,0.89311,1,0.40586,0.10699,0.38821,0.3659,0.09999,0.77135,63,0.39495,0.31667,0.9993,108,0.34895,0.11429,0.78857
"protein folding [GO:0006457]",52,0.57916,0.64214,1,0.42084,0.35796,0.75088,0.37719,0.34467,0.9995,18,0.32907,0.11039,0.9993,34,0.40266,0.71303,0.9998
"chromatin remodeling [GO:0006338]",118,0.6215,0.977,1,0.3785,0.023098,0.16186,0.41286,0.79502,0.9995,37,0.45124,0.79852,0.9993,81,0.39533,0.71613,0.9998
"nucleoplasm [GO:0005654]",33,0.48016,0.069493,0.65097,0.51984,0.93061,1,0.44231,0.85321,0.9995,19,0.48123,0.85281,0.9993,14,0.38948,0.56374,0.99634
"transmembrane transporter activity [GO:0022857]",30,0.72448,0.9973,1,0.27552,0.0027997,0.061194,0.4353,0.80572,0.9995,6,0.71063,0.9939,0.9993,24,0.36647,0.41076,0.94514
"ATP hydrolysis activity [GO:0016887]",142,0.65913,1,1,0.34087,9.999e-05,0.011973,0.37113,0.18398,0.92266,41,0.46213,0.87111,0.9993,101,0.3342,0.037596,0.67378
"chromosome segregation [GO:0007059]",15,0.39788,0.026197,0.42353,0.60212,0.9739,1,0.41313,0.62264,0.9995,9,0.34075,0.22898,0.9993,6,0.5217,0.89651,0.9998
"cell division [GO:0051301]",25,0.52465,0.27887,0.97623,0.47535,0.72123,1,0.47842,0.93551,0.9995,10,0.40964,0.50025,0.9993,15,0.52427,0.9796,0.9998
"chromosome [GO:0005694]",37,0.42837,0.0071993,0.24818,0.57163,0.9929,1,0.47998,0.9675,0.9995,22,0.44225,0.69113,0.9993,15,0.53531,0.9863,0.9998
"protein kinase activity [GO:0004672]",36,0.68031,0.9868,1,0.31969,0.013299,0.11853,0.42547,0.76452,0.9995,7,0.44996,0.64734,0.9993,29,0.41956,0.79952,0.9998
"protein serine/threonine kinase activity [GO:0004674]",49,0.73406,0.9998,1,0.26594,0.00029997,0.011973,0.37842,0.36976,0.9995,9,0.58226,0.9602,0.9993,40,0.33256,0.13389,0.78857
"3-phosphoinositide-dependent protein kinase activity [GO:0004676]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"DNA-dependent protein kinase activity [GO:0004677]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"AMP-activated protein kinase activity [GO:0004679]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"ribosomal protein S6 kinase activity [GO:0004711]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H3S10 kinase activity [GO:0035175]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H3T11 kinase activity [GO:0035402]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H3T6 kinase activity [GO:0035403]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H2AXS139 kinase activity [GO:0035979]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H3S28 kinase activity [GO:0044022]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H4S1 kinase activity [GO:0044023]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H2AS1 kinase activity [GO:0044024]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H2BS14 kinase activity [GO:0044025]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H3T3 kinase activity [GO:0072354]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H2AS121 kinase activity [GO:0072371]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"Rho-dependent protein serine/threonine kinase activity [GO:0072518]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H2BS36 kinase activity [GO:0140823]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H3S57 kinase activity [GO:0140855]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H3T45 kinase activity [GO:0140857]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"histone H2AT120 kinase activity [GO:1990244]",15,0.75707,0.992,1,0.24293,0.0080992,0.080816,0.39299,0.51095,0.9995,3,0.76785,0.9798,0.9993,12,0.29928,0.14909,0.78857
"mitotic cell cycle [GO:0000278]",12,0.58997,0.60424,1,0.41003,0.39586,0.7914,0.54264,0.9681,0.9995,4,0.58387,0.87451,0.9993,8,0.52202,0.93291,0.9998
"intracellular signal transduction [GO:0035556]",25,0.75521,0.9985,1,0.24479,0.0015998,0.040796,0.36253,0.28857,0.9995,4,0.60297,0.89961,0.9993,21,0.31673,0.14019,0.78857
"plasma membrane [GO:0005886]",163,0.63035,0.9973,1,0.36965,0.0027997,0.061194,0.37493,0.20698,0.93151,54,0.45006,0.83762,0.9993,109,0.33771,0.046095,0.73238
"phosphoric diester hydrolase activity [GO:0008081]",7,0.51064,0.32067,1,0.48936,0.67943,0.99421,0.43489,0.66333,0.9995,3,0.36553,0.40256,0.9993,4,0.4869,0.78432,0.9998
"endomembrane system [GO:0012505]",55,0.56157,0.47685,1,0.43843,0.52325,0.88839,0.34508,0.09949,0.77135,23,0.36418,0.20658,0.9993,32,0.33136,0.15098,0.78857
"phosphoprotein phosphatase activity [GO:0004721]",21,0.70647,0.9801,1,0.29353,0.019998,0.15275,0.4227,0.69743,0.9995,4,0.56857,0.85391,0.9993,17,0.38838,0.56684,0.99634
"protein serine/threonine phosphatase activity [GO:0004722]",18,0.73124,0.9862,1,0.26876,0.013899,0.12037,0.42933,0.72623,0.9995,3,0.67539,0.93751,0.9993,15,0.38011,0.52185,0.98142
"myosin phosphatase activity [GO:0017018]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"calmodulin-dependent protein phosphatase activity [GO:0033192]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"histone H2AXS140 phosphatase activity [GO:0140791]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"RNA polymerase II CTD heptapeptide repeat Y1 phosphatase activity [GO:0180004]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"RNA polymerase II CTD heptapeptide repeat T4 phosphatase activity [GO:0180005]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"RNA polymerase II CTD heptapeptide repeat S2 phosphatase activity [GO:0180006]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"RNA polymerase II CTD heptapeptide repeat S5 phosphatase activity [GO:0180007]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"RNA polymerase II CTD heptapeptide repeat S7 phosphatase activity [GO:0180008]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"MAP kinase serine/threonine phosphatase activity [GO:1990439]",14,0.77958,0.9954,1,0.22042,0.0046995,0.066372,0.40773,0.59614,0.9995,1,0.76819,0.83042,0.9993,13,0.38,0.51795,0.98142
"regulation of transcription by RNA polymerase II [GO:0006357]",116,0.56756,0.55374,1,0.43244,0.44636,0.8263,0.41643,0.82832,0.9995,48,0.45812,0.86781,0.9993,68,0.387,0.61044,0.9998
"P-type ion transporter activity [GO:0015662]",5,0.89911,0.9962,1,0.10089,0.0038996,0.066372,0.20178,0.054495,0.63324,0,NA,NA,NA,5,0.20178,0.058394,0.73238
"ATPase-coupled monoatomic cation transmembrane transporter activity [GO:0019829]",5,0.89911,0.9962,1,0.10089,0.0038996,0.066372,0.20178,0.054495,0.63324,0,NA,NA,NA,5,0.20178,0.058394,0.73238
