"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"phosphatidylinositol phosphate biosynthetic process [GO:0046854]",13,0.51951,0.041896,0.31946,0.48049,0.9582,1,0.29492,0.9581,0.9999,7,0.38152,0.88571,0.9993,6,0.19389,0.78102,1
"phosphorylation [GO:0016310]",70,0.64154,0.056994,0.3394,0.35846,0.94311,1,0.25237,0.998,0.9999,25,0.34962,0.9674,0.9993,45,0.19833,0.9753,1
"fatty acid beta-oxidation [GO:0006635]",71,0.72747,0.61434,1,0.27253,0.38576,0.88243,0.24561,0.9969,0.9999,20,0.46847,0.9993,0.9993,51,0.15822,0.84912,1
"phenylacetate catabolic process [GO:0010124]",18,0.75868,0.67323,1,0.24132,0.32687,0.78706,0.22514,0.86681,0.9999,4,0.42062,0.87351,0.9993,14,0.16929,0.76692,1
"carboxylic acid metabolic process [GO:0019752]",3,0.33333,0.046395,0.3394,0.66667,0.9537,1,1.1347e-10,0.12629,0.31231,2,1e-100,0.077692,0.4223,1,3.4041e-10,0.53985,0.9386
"phospholipid dephosphorylation [GO:0046839]",4,0.72975,0.47555,0.92873,0.27025,0.52455,1,0.11275,0.47265,0.87369,1,0.14452,0.60074,0.9993,3,0.10216,0.58504,0.9386
"ergosterol biosynthetic process [GO:0006696]",28,0.85714,0.9811,1,0.14286,0.018998,0.20451,3.5442e-06,9.999e-05,0.0045745,4,2.481e-05,0.032697,0.4223,24,1e-100,9.999e-05,0.0058328
"farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]",8,0.50001,0.066493,0.38026,0.49999,0.93361,1,1.2405e-05,0.0089991,0.060994,4,2.481e-05,0.032697,0.4223,4,1e-100,0.019198,0.12443
"cellular response to oxidative stress [GO:0034599]",14,0.66896,0.32127,0.79449,0.33104,0.67883,1,0.22189,0.83482,0.9999,4,0.22966,0.52665,0.9993,10,0.21878,0.88071,1
"tricarboxylic acid cycle [GO:0006099]",20,0.54879,0.030997,0.28362,0.45121,0.9691,1,0.0024287,0.00039996,0.0081325,9,1e-100,9.999e-05,0.0065493,11,0.0044158,0.017098,0.12443
