"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"phosphatidylinositol phosphate biosynthetic process [GO:0046854]",13,0.97948,0.92031,1,0.02052,0.079792,0.30777,0.041039,0.49345,0.89369,0,NA,NA,NA,13,0.041039,0.66853,1
"phosphorylation [GO:0016310]",75,0.86652,0.68673,1,0.13348,0.31337,0.73042,0.072608,0.90161,0.9999,8,0.088968,0.32817,0.92395,67,0.070655,0.9906,1
"fatty acid beta-oxidation [GO:0006635]",71,0.99843,1,1,0.0015663,9.999e-05,0.0023623,0.0031326,0.00019998,0.0037796,0,NA,NA,NA,71,0.0031326,9.999e-05,0.0018398
"phenylacetate catabolic process [GO:0010124]",18,1,1,1,3.4709e-08,9.999e-05,0.0023623,6.9418e-08,0.00019998,0.0037796,0,NA,NA,NA,18,6.9418e-08,9.999e-05,0.0018398
"pantothenate biosynthetic process [GO:0015940]",5,1e-100,9.999e-05,0.0062994,1,1,1,1e-100,0.0054995,0.037121,5,1e-100,0.023798,0.5057,0,NA,NA,NA
"carboxylic acid metabolic process [GO:0019752]",4,0.25,0.0041996,0.072156,0.75,0.9965,1,9.5584e-51,0.020798,0.11561,3,2.4963e-82,0.11249,0.92395,1,3.8234e-50,0.35656,0.86326
"phospholipid dephosphorylation [GO:0046839]",4,0.96791,0.56764,1,0.032087,0.43246,0.80132,0.064174,0.73163,0.9999,0,NA,NA,NA,4,0.064174,0.81392,1
"ergosterol biosynthetic process [GO:0006696]",28,0.89286,0.76832,1,0.10714,0.23178,0.60008,9.3201e-07,9.999e-05,0.0037796,3,5.3656e-09,0.19088,0.92395,25,1.0432e-06,9.999e-05,0.0018398
"farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]",8,0.625,0.053195,0.32432,0.375,0.94691,1,1.632e-06,0.023198,0.12527,3,5.3656e-09,0.19088,0.92395,5,2.608e-06,0.10439,0.36938
"cellular response to oxidative stress [GO:0034599]",15,0.64288,0.014999,0.1761,0.35712,0.9851,1,0.19716,0.9981,0.9999,6,0.35366,0.9659,1,9,0.092829,0.90031,1
"tricarboxylic acid cycle [GO:0006099]",20,0.84742,0.46625,1,0.15258,0.53385,0.88506,0.0051659,0.035596,0.15281,3,1e-100,0.10769,0.92395,17,0.0060775,0.10399,0.36938
"aerobic respiration [GO:0009060]",3,0.9999,0.80722,1,0.00010183,0.19358,0.55198,0.00020366,0.29817,0.72249,0,NA,NA,NA,3,0.00020366,0.30487,0.81432
"methionine biosynthetic process [GO:0009086]",7,0.99825,0.92111,1,0.0017464,0.078992,0.30777,0.0034928,0.19818,0.54284,0,NA,NA,NA,7,0.0034928,0.23828,0.68849
"sulfate assimilation [GO:0000103]",6,0.999,0.91491,1,0.00099755,0.085191,0.32202,0.0019951,0.18758,0.52137,0,NA,NA,NA,6,0.0019951,0.21898,0.65254
"glycine catabolic process [GO:0006546]",12,0.58692,0.0087991,0.11879,0.41308,0.9913,1,0.12047,0.92681,0.9999,5,0.15318,0.60664,0.9862,7,0.097102,0.89891,1
"one-carbon metabolic process [GO:0006730]",10,0.67449,0.052195,0.32432,0.32551,0.94791,1,0.06964,0.72613,0.9999,3,0.031029,0.37956,0.92395,7,0.086188,0.86991,1
"thiamine biosynthetic process [GO:0009228]",4,0.98067,0.61284,1,0.019333,0.38726,0.77045,0.038667,0.65513,0.95985,0,NA,NA,NA,4,0.038667,0.72963,1
"cell redox homeostasis [GO:0045454]",5,0.72801,0.17138,0.63091,0.27199,0.82872,1,0.18671,0.93971,0.9999,1,0.10681,0.75782,1,4,0.20668,0.9701,1
"threonine catabolic process [GO:0006567]",4,0.52732,0.072093,0.40075,0.47268,0.92801,1,0.054639,0.70623,0.98145,2,0.10928,0.62284,0.9862,2,1.314e-09,0.29957,0.81432
"threonine biosynthetic process [GO:0009088]",5,1,1,1,1e-100,0.009999,0.092026,1e-100,0.0054995,0.037121,0,NA,NA,NA,5,1e-100,0.0047995,0.038396
"nucleoside metabolic process [GO:0009116]",8,0.99075,0.87121,1,0.0092507,0.12889,0.42736,0.018501,0.38526,0.80473,0,NA,NA,NA,8,0.018501,0.48405,0.97411
"dTMP biosynthetic process [GO:0006231]",3,0.99297,0.61904,1,0.0070342,0.38206,0.76819,0.014068,0.56874,0.9033,0,NA,NA,NA,3,0.014068,0.62314,0.99397
"methylation [GO:0032259]",7,0.99848,0.92611,1,0.0015179,0.073993,0.29754,0.0030359,0.18578,0.52137,0,NA,NA,NA,7,0.0030359,0.21988,0.65254
"carbohydrate metabolic process [GO:0005975]",11,0.89846,0.62894,1,0.10154,0.37116,0.76373,0.021256,0.34207,0.77816,1,1e-100,0.48305,0.92395,10,0.023381,0.49235,0.97411
"pentose-phosphate shunt, non-oxidative branch [GO:0009052]",3,0.66667,0.27687,0.91805,0.33333,0.76712,1,1e-100,0.046895,0.15281,1,1e-100,0.48305,0.92395,2,1e-100,0.11549,0.39352
"lipid catabolic process [GO:0016042]",8,0.98871,0.85741,1,0.011289,0.14269,0.4574,0.022577,0.41936,0.81729,0,NA,NA,NA,8,0.022577,0.52245,0.97913
"triglyceride metabolic process [GO:0006641]",8,0.98868,0.85731,1,0.01132,0.14279,0.4574,0.022641,0.41946,0.81729,0,NA,NA,NA,8,0.022641,0.52295,0.97913
"canonical glycolysis [GO:0061621]",3,0.65447,0.11489,0.462,0.34553,0.88521,1,0.024401,0.62204,0.94052,1,1e-100,0.48305,0.92395,2,0.036602,0.77972,1
"gluconeogenesis [GO:0006094]",8,0.36473,0.00029997,0.0080992,0.63527,0.9998,1,0.020539,0.40516,0.81463,5,1e-100,0.023798,0.5057,3,0.054771,0.79832,1
"glycolytic process [GO:0006096]",10,0.29978,9.999e-05,0.0062994,0.70022,1,1,0.00044544,0.033797,0.15281,7,1e-100,0.0050995,0.43346,3,0.0014848,0.39426,0.86883
"tryptophan biosynthetic process [GO:0000162]",6,1,1,1,1e-100,0.0042996,0.050789,1e-100,0.0024998,0.024866,0,NA,NA,NA,6,1e-100,0.0017998,0.01743
"tryptophan metabolic process [GO:0006568]",4,1,1,1,1e-100,0.025997,0.17616,1e-100,0.016998,0.097354,0,NA,NA,NA,4,1e-100,0.014199,0.096761
"aromatic amino acid family catabolic process [GO:0009074]",5,0.6,0.089191,0.41668,0.4,0.91641,1,1e-100,0.0054995,0.037121,2,1e-100,0.23058,0.92395,3,1e-100,0.036996,0.13892
"lysine biosynthetic process via aminoadipic acid [GO:0019878]",11,0.81818,0.38236,1,0.18182,0.61804,0.93447,1e-100,9.999e-05,0.0037796,2,1e-100,0.23058,0.92395,9,1e-100,9.999e-05,0.0018398
"tyrosine biosynthetic process [GO:0006571]",7,0.71429,0.17358,0.63091,0.28571,0.82812,1,1e-100,0.00069993,0.0082679,2,1e-100,0.23058,0.92395,5,1e-100,0.0047995,0.038396
"aspartate catabolic process [GO:0006533]",3,0.32955,0.0075992,0.11048,0.67045,0.9926,1,0.0075578,0.50595,0.89369,2,1e-100,0.23058,0.92395,1,0.022673,0.83122,1
"biosynthetic process [GO:0009058]",6,0.66431,0.09709,0.43691,0.33569,0.90301,1,0.0047186,0.26237,0.66118,2,1e-100,0.23058,0.92395,4,0.0070779,0.47025,0.97411
"aspartate biosynthetic process [GO:0006532]",3,0.32955,0.0075992,0.11048,0.67045,0.9926,1,0.0075578,0.50595,0.89369,2,1e-100,0.23058,0.92395,1,0.022673,0.83122,1
"sterol metabolic process [GO:0016125]",13,0.98643,0.93951,1,0.013567,0.060594,0.2695,0.027134,0.36706,0.80473,0,NA,NA,NA,13,0.027134,0.50445,0.97913
"UDP-N-acetylglucosamine biosynthetic process [GO:0006048]",4,1,1,1,1e-100,0.025997,0.17616,1e-100,0.016998,0.097354,0,NA,NA,NA,4,1e-100,0.014199,0.096761
"'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]",11,0.81462,0.33477,1,0.18538,0.66533,0.97479,0.0071299,0.16688,0.49283,2,1.6295e-06,0.34037,0.92395,9,0.0087139,0.29337,0.81432
"CDP biosynthetic process [GO:0046705]",6,0.66013,0.082792,0.41668,0.33987,0.91731,1,0.013071,0.38746,0.80473,2,1.6295e-06,0.34037,0.92395,4,0.019606,0.61874,0.99397
"UDP biosynthetic process [GO:0006225]",6,0.66013,0.082792,0.41668,0.33987,0.91731,1,0.013071,0.38746,0.80473,2,1.6295e-06,0.34037,0.92395,4,0.019606,0.61874,0.99397
