"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"phosphatidylinositol phosphate biosynthetic process [GO:0046854]",13,0.48099,0.23438,0.63036,0.51901,0.76572,1,0.25439,0.93781,1,7,0.27234,0.83772,1,6,0.23344,0.88971,1
"phosphorylation [GO:0016310]",71,0.6559,0.9574,1,0.3441,0.042696,0.20561,0.18881,0.9553,1,24,0.26131,0.94621,1,47,0.15179,0.88651,1
"fatty acid beta-oxidation [GO:0006635]",71,0.24324,9.999e-05,0.0091491,0.75676,1,1,0.11794,0.26237,0.56509,57,0.13083,0.13009,0.51332,14,0.065455,0.25147,0.688
"phenylacetate catabolic process [GO:0010124]",18,0.22501,0.0009999,0.028754,0.77499,0.9991,1,0.11668,0.39736,0.74369,15,0.14001,0.35746,0.82841,3,2.3165e-25,0.15218,0.55369
"carboxylic acid metabolic process [GO:0019752]",3,2.6599e-84,0.0016998,0.032022,1,1,1,5.3198e-84,0.054295,0.19108,3,5.3198e-84,0.015598,0.16267,0,NA,NA,NA
"phospholipid dephosphorylation [GO:0046839]",4,0.47987,0.30857,0.74761,0.52013,0.69153,1,0.46268,0.9827,1,2,0.42242,0.86911,1,2,0.50293,0.9766,1
"ergosterol biosynthetic process [GO:0006696]",28,0.92857,1,1,0.071429,9.999e-05,0.0060994,2.6431e-07,9.999e-05,0.0045745,2,1e-100,0.042496,0.22158,26,2.8464e-07,9.999e-05,0.017098
"farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]",8,0.875,0.98,1,0.125,0.020098,0.16361,9.251e-07,0.0081992,0.07145,1,1e-100,0.19878,0.60462,7,1.0573e-06,0.041096,0.30982
"cellular response to oxidative stress [GO:0034599]",14,0.76438,0.9577,1,0.23562,0.042396,0.20561,0.089815,0.25957,0.56509,3,0.11003,0.45435,0.94739,11,0.084302,0.39106,0.88686
"tricarboxylic acid cycle [GO:0006099]",20,0.15621,9.999e-05,0.0091491,0.84379,1,1,0.013525,0.0029997,0.03921,17,0.015259,0.0020998,0.065693,3,0.0037016,0.34097,0.85743
"aerobic respiration [GO:0009060]",3,0.40469,0.30557,0.74761,0.59531,0.69463,1,0.1427,0.59434,0.95407,2,0.21406,0.63854,1,1,1e-100,0.47195,0.88686
"methionine biosynthetic process [GO:0009086]",7,0.65024,0.68453,1,0.34976,0.31557,0.81337,0.15762,0.62524,0.96965,3,0.36778,0.88221,1,4,1e-100,0.045295,0.30982
"sulfate assimilation [GO:0000103]",6,0.88415,0.9684,1,0.11585,0.031697,0.16573,0.10178,0.41086,0.75947,1,0.61027,0.87391,1,5,8.3415e-05,0.11239,0.44694
"glycine catabolic process [GO:0006546]",7,0.17742,0.0092991,0.084904,0.82258,0.9908,1,0.072298,0.28297,0.59522,6,0.082497,0.22878,0.66803,1,0.011105,0.69433,0.9796
"one-carbon metabolic process [GO:0006730]",6,0.54125,0.44436,0.86059,0.45875,0.55584,1,0.082497,0.34167,0.67231,3,0.16499,0.51425,0.96257,3,1e-100,0.10669,0.43438
"thiamine biosynthetic process [GO:0009228]",4,0.70243,0.67383,1,0.29757,0.32627,0.82918,0.59513,0.9973,1,0,NA,NA,NA,4,0.59513,0.9986,1
"cell redox homeostasis [GO:0045454]",5,0.6223,0.61654,1,0.3777,0.38356,0.92358,0.08744,0.39826,0.74369,2,0.16505,0.61354,1,3,0.035703,0.45485,0.88686
"threonine catabolic process [GO:0006567]",4,0.45124,0.27387,0.68656,0.54876,0.72623,1,0.098678,0.46555,0.82715,2,0.0011635,0.29957,0.80995,2,0.19619,0.75292,0.98082
"threonine biosynthetic process [GO:0009088]",5,1,1,1,1e-100,0.0032997,0.05032,1e-100,0.0056994,0.054895,0,NA,NA,NA,5,1e-100,0.025597,0.23038
"nucleoside metabolic process [GO:0009116]",8,0.29628,0.047995,0.23113,0.70372,0.9521,1,0.11697,0.46315,0.82715,6,0.13968,0.42146,0.93213,2,0.048818,0.58084,0.9796
"dTMP biosynthetic process [GO:0006231]",3,0.91637,0.87821,1,0.083632,0.12249,0.40755,0.16726,0.62354,0.96965,0,NA,NA,NA,3,0.16726,0.70633,0.9796
"methylation [GO:0032259]",7,0.91902,0.9871,1,0.080985,0.013099,0.11985,0.12374,0.48575,0.8466,1,0.86621,0.9656,1,6,1e-100,0.010299,0.11741
"carbohydrate metabolic process [GO:0005975]",11,0.70867,0.84952,1,0.29133,0.15058,0.47575,0.14462,0.57324,0.93547,4,0.3977,0.93061,1,7,1e-100,0.0041996,0.065284
"pentose-phosphate shunt, non-oxidative branch [GO:0009052]",3,1,1,1,1e-100,0.030397,0.16361,1e-100,0.042896,0.157,0,NA,NA,NA,3,1e-100,0.10669,0.43438
"lipid catabolic process [GO:0016042]",8,0.81961,0.94491,1,0.18039,0.055194,0.25046,0.12963,0.52425,0.88016,1,0.075427,0.67263,1,7,0.13738,0.66003,0.9796
"triglyceride metabolic process [GO:0006641]",8,0.8196,0.94491,1,0.1804,0.055194,0.25046,0.12966,0.52425,0.88016,1,0.075427,0.67263,1,7,0.1374,0.66003,0.9796
"canonical glycolysis [GO:0061621]",3,0.33233,0.14169,0.46837,0.66767,0.85841,1,0.20843,0.71253,1,2,0.15482,0.60514,1,1,0.31567,0.85731,1
"gluconeogenesis [GO:0006094]",8,0.37575,0.11289,0.45507,0.62425,0.88721,1,0.0015001,0.031997,0.157,5,0.0024001,0.065493,0.31873,3,1e-100,0.10669,0.43438
"glycolytic process [GO:0006096]",10,0.3,0.028797,0.1593,0.7,0.9713,1,3.9086e-10,0.0014999,0.021113,7,1e-100,9.999e-05,0.014599,3,1.3029e-09,0.21248,0.6309
"tryptophan biosynthetic process [GO:0000162]",6,0.33333,0.09959,0.42384,0.66667,0.90171,1,1e-100,0.0012999,0.019823,4,1e-100,0.0018998,0.065693,2,1e-100,0.21768,0.6309
"tryptophan metabolic process [GO:0006568]",4,0.25,0.066193,0.29545,0.75,0.93821,1,1e-100,0.014099,0.099232,3,1e-100,0.0090991,0.13285,1,1e-100,0.47195,0.88686
"aromatic amino acid family catabolic process [GO:0009074]",5,0.6,0.54725,0.98182,0.4,0.46095,1,1e-100,0.0056994,0.054895,2,1e-100,0.042496,0.22158,3,1e-100,0.10669,0.43438
"lysine biosynthetic process via aminoadipic acid [GO:0019878]",11,0.81818,0.973,1,0.18182,0.027197,0.16361,1e-100,9.999e-05,0.0045745,2,1e-100,0.042496,0.22158,9,1e-100,0.00069993,0.019948
"tyrosine biosynthetic process [GO:0006571]",7,0.71429,0.81152,1,0.28571,0.18988,0.58895,1e-100,0.0010999,0.019823,2,1e-100,0.042496,0.22158,5,1e-100,0.025597,0.23038
"aspartate catabolic process [GO:0006533]",3,9.8531e-70,0.0022998,0.032022,1,1,1,1.9706e-69,0.060694,0.19605,3,1.9706e-69,0.022498,0.19322,0,NA,NA,NA
"biosynthetic process [GO:0009058]",6,0.16667,0.011599,0.084904,0.83333,0.9885,1,4.7194e-15,0.009899,0.082342,5,5.6633e-15,0.0063994,0.10381,1,1e-100,0.47195,0.88686
"aspartate biosynthetic process [GO:0006532]",3,9.8531e-70,0.0022998,0.032022,1,1,1,1.9706e-69,0.060694,0.19605,3,1.9706e-69,0.022498,0.19322,0,NA,NA,NA
"sterol metabolic process [GO:0016125]",13,0.71381,0.88061,1,0.28619,0.11949,0.40755,0.43015,0.9999,1,3,0.69181,0.9969,1,10,0.35165,0.9968,1
"UDP-N-acetylglucosamine biosynthetic process [GO:0006048]",4,1,1,1,1e-100,0.010199,0.10369,1e-100,0.014099,0.099232,0,NA,NA,NA,4,1e-100,0.045295,0.30982
"'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]",11,0.82402,0.9765,1,0.17598,0.023598,0.16361,0.011675,0.031097,0.157,2,0.064211,0.48735,0.94739,9,3.31e-17,0.0060994,0.086916
"CDP biosynthetic process [GO:0046705]",6,0.67737,0.73083,1,0.32263,0.26927,0.72466,0.021404,0.15368,0.37006,2,0.064211,0.48735,0.94739,4,7.4474e-17,0.10009,0.43438
"UDP biosynthetic process [GO:0006225]",6,0.67737,0.73083,1,0.32263,0.26927,0.72466,0.021404,0.15368,0.37006,2,0.064211,0.48735,0.94739,4,7.4474e-17,0.10009,0.43438
"pyrimidine-containing compound salvage [GO:0008655]",15,0.61266,0.65283,1,0.38734,0.34727,0.84733,0.37611,0.9987,1,6,0.50178,0.9945,1,9,0.29233,0.9803,1
"small molecule metabolic process [GO:0044281]",4,0.42871,0.25397,0.65848,0.57129,0.74613,1,0.14259,0.54875,0.91291,2,2.5002e-47,0.11059,0.4485,2,0.28517,0.80802,0.99404
"allantoin catabolic process [GO:0000256]",3,1,1,1,1e-100,0.030397,0.16361,8.2439e-22,0.10239,0.27555,0,NA,NA,NA,3,8.2439e-22,0.17028,0.59425
