"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"phosphatidylinositol phosphate biosynthetic process [GO:0046854]",13,0.86922,0.9769,1,0.13078,0.023198,0.10529,0.25813,0.85521,1,1,0.97763,0.9947,0.9989,12,0.19817,0.71443,1
"phosphorylation [GO:0016310]",76,0.77384,0.9962,1,0.22616,0.0038996,0.039785,0.26122,0.995,1,14,0.48127,0.9984,0.9989,62,0.21153,0.9509,1
"fatty acid beta-oxidation [GO:0006635]",71,0.27711,9.999e-05,0.0047245,0.72289,1,1,0.075623,0.00059994,0.011339,52,0.064605,0.00019998,0.010889,19,0.10578,0.20638,0.67125
"phenylacetate catabolic process [GO:0010124]",18,0.23539,9.999e-05,0.0047245,0.76461,1,1,0.034051,0.0062994,0.067376,14,0.038816,0.0085991,0.069366,4,0.017375,0.15858,0.58808
"pantothenate biosynthetic process [GO:0015940]",5,1,0.9986,1,1.0497e-11,0.0014999,0.020248,2.0994e-11,0.012899,0.10129,0,NA,NA,NA,5,2.0994e-11,0.015398,0.176
"carboxylic acid metabolic process [GO:0019752]",4,1.6551e-21,0.00039996,0.012599,1,1,1,3.3101e-21,0.018798,0.12261,4,3.3101e-21,0.012399,0.08738,0,NA,NA,NA
"phospholipid dephosphorylation [GO:0046839]",4,0.91222,0.87911,1,0.087778,0.12099,0.38664,0.17556,0.54435,1,0,NA,NA,NA,4,0.17556,0.59684,1
"ergosterol biosynthetic process [GO:0006696]",28,0.94772,0.9999,1,0.052279,0.00019998,0.0075592,0.10456,0.086591,0.34095,0,NA,NA,NA,28,0.10456,0.14539,0.58808
"farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]",8,0.85589,0.92221,1,0.14411,0.077892,0.31323,0.28823,0.86721,1,0,NA,NA,NA,8,0.28823,0.91131,1
"cellular response to oxidative stress [GO:0034599]",15,0.60168,0.30147,0.93201,0.39832,0.69863,1,0.24284,0.83422,1,7,0.40664,0.94291,0.9989,8,0.09951,0.29897,0.80901
"tricarboxylic acid cycle [GO:0006099]",20,0.32733,0.00039996,0.012599,0.67267,0.9997,1,0.14534,0.33697,0.80616,12,3.8473e-42,9.999e-05,0.010889,8,0.36334,0.9751,1
"aerobic respiration [GO:0009060]",3,0.66643,0.49725,1,0.33357,0.50335,0.87278,0.00047337,0.14569,0.45891,1,1e-100,0.16308,0.4813,2,0.00071005,0.26697,0.75431
"methionine biosynthetic process [GO:0009086]",7,0.89416,0.94831,1,0.10584,0.051795,0.22248,0.20279,0.63104,1,1,0.9689,0.9915,0.9989,6,0.075101,0.26627,0.75431
"sulfate assimilation [GO:0000103]",6,0.96624,0.9804,1,0.033756,0.019698,0.09546,0.067513,0.20228,0.57926,0,NA,NA,NA,6,0.067513,0.24208,0.71816
