UniProt_Entry	PARe.1	PARe.2	PARe.3	PARn.1	PARn.2	PARn.3	CARe.2	CARe.3	CARe.1	CARn.1	CARn.2	CARn.3	OBEe.1	OBEe.2	OBEe.3	OBEn.1	OBEn.2	OBEn.3
Q6C0U9	110199	109369	134236	373351	399449	440233	112390	96558.6	121373	398354	449175	285745	112968	105829	136290	538749	516564	468335
Q6C0V2	8780000	8660000	10100000	18900000	1.5e+07	1.4e+07	11900000	11400000	10500000	18200000	15100000	12900000	8660000	10500000	9430000	19800000	17500000	15800000
F2Z694	3.1e+07	27700000	28600000	53700000	3.1e+07	37900000	17300000	15200000	18900000	29800000	33500000	22300000	33300000	30200000	28200000	21100000	35400000	38100000
F2Z5Z3	1.72e+08	1.57e+08	1.68e+08	1.02e+08	1.4e+08	1.17e+08	1.61e+08	1.53e+08	1.61e+08	1.05e+08	1.04e+08	1.38e+08	1.55e+08	1.38e+08	1.27e+08	61700000	76900000	77500000
Q6CC11	1310000	1320000	1510000	3290000	2800000	2880000	1390000	1420000	1470000	3030000	2710000	2e+06	1460000	1410000	1220000	2770000	2730000	2620000
Q6C3Z9	2.3e+07	2.5e+07	21600000	31800000	33600000	23100000	22300000	27700000	2.2e+07	27800000	26500000	24200000	14500000	16700000	16600000	28800000	25900000	24700000
F2Z630	3270000	2170000	2020000	4390000	5290000	3880000	4390000	1960000	2640000	5620000	4150000	3340000	3050000	3570000	3500000	NA	2860000	3490000
Q9UVF3	85900000	83200000	74200000	2.18e+08	2.63e+08	2.26e+08	70200000	67500000	76500000	2.05e+08	2.08e+08	1.35e+08	57700000	55200000	54100000	1.36e+08	1.41e+08	1.41e+08
Q99148	27900000	29900000	32100000	35900000	39700000	3.4e+07	33100000	35300000	33200000	33200000	34800000	3.5e+07	36900000	35900000	39400000	32200000	34700000	33400000
F2Z678	10900000	10500000	11100000	15700000	15400000	13400000	15400000	16500000	13900000	17300000	16600000	14900000	21300000	21700000	20600000	2e+07	21100000	21400000
Q6CH03	1520000	1140000	1260000	NA	1040000	NA	1320000	1640000	1610000	NA	NA	1530000	1430000	2240000	3170000	NA	NA	NA
Q6CG57	12400000	7710000	9990000	8450000	16500000	7510000	11900000	11100000	15300000	9690000	10300000	12600000	29100000	2.9e+07	70600000	15400000	13900000	9660000
Q6C0A1	7900000	7710000	7620000	9250000	6970000	6160000	6740000	7190000	6610000	8110000	6970000	6820000	8390000	8710000	8950000	8760000	7500000	8580000
Q6C0R5	1980000	2030000	2020000	1240000	1610000	1320000	2370000	2340000	1790000	951369	1050000	1610000	1580000	1500000	1410000	621597	818206	886517
Q6C188	819333	990472	711428	NA	NA	NA	525802	588647	437426	NA	NA	NA	453168	482351	452145	NA	NA	NA
Q6C749	3560000	3600000	3690000	7740000	6290000	6310000	3150000	3340000	3240000	6050000	5570000	4780000	2950000	3310000	3220000	6570000	4790000	5190000
Q6CFD4	9760000	1e+07	8400000	19800000	21800000	18400000	6680000	6660000	7460000	13600000	17500000	10900000	5390000	6010000	5580000	11500000	11800000	13600000
Q6C8T3	10300000	9150000	10300000	8790000	1.1e+07	9440000	11100000	11700000	1.2e+07	7630000	7300000	9950000	13600000	16400000	21800000	7840000	7400000	7200000
Q6C520	560082	566358	650151	633405	561064	581972	523891	498574	494492	632217	629889	512746	379579	395564	413840	454786	595293	688413
Q6CFS9	15800000	15500000	16700000	17900000	18200000	16900000	15700000	15300000	15500000	18100000	17700000	16500000	15100000	13900000	1.4e+07	15900000	14600000	15600000
Q6CEA5	1610000	1220000	1160000	2450000	2790000	2370000	968694	902452	888147	2810000	2240000	1300000	779788	570595	558996	776554	2660000	811711
Q6C9T3	1650000	1770000	1760000	3770000	4620000	2400000	1820000	1470000	1340000	3040000	2250000	1730000	1150000	1340000	1640000	1480000	2670000	2570000
Q6C3P1	218075	120785	118543	NA	NA	377332	305723	NA	288751	NA	459077	609818	265951	169425	220526	NA	NA	188089
Q6CF02	285867	248296	216292	1780000	NA	495548	255069	157134	174616	328718	522907	312613	213515	NA	176120	800215	485030	697602
Q6C3V7	2030000	1910000	2030000	5210000	2530000	3440000	1680000	1740000	1630000	3520000	3150000	2360000	1670000	1810000	1680000	3440000	3620000	3380000
Q6C4K6	967550	765973	1050000	NA	NA	1650000	1800000	1830000	1460000	1870000	933072	1260000	1140000	1150000	1040000	6700000	3280000	2300000
F2Z6J3	548694	389974	352968	2460000	910000	2460000	362911	352743	437202	1420000	1420000	1110000	805003	748366	467642	2870000	3540000	3820000
F2Z6H3	1500000	1530000	1250000	NA	NA	3630000	1160000	1640000	1170000	6510000	3360000	2390000	1960000	1440000	1720000	8050000	5920000	5750000
Q6CG88	1480000	1480000	1750000	1310000	1890000	1340000	1560000	1560000	1560000	1500000	1110000	1520000	1480000	1340000	1270000	NA	557620	390289
Q6CD41	4030000	4250000	4840000	6330000	5520000	4830000	4350000	4470000	4230000	5710000	5090000	4450000	3890000	4030000	4020000	3610000	4820000	3550000
Q6CA53	3270000	2670000	2660000	6240000	7570000	5060000	2730000	2410000	3700000	6490000	5320000	3640000	2900000	3170000	3780000	3730000	3990000	3510000
Q6CEE1	4940000	4930000	4340000	8440000	8220000	9090000	3850000	4060000	4e+06	7170000	8130000	5580000	3270000	3420000	3550000	6010000	5240000	6350000
Q6C846	11600000	12200000	12400000	17600000	16400000	13700000	12900000	14200000	12700000	14400000	14800000	13300000	1.2e+07	13300000	1.4e+07	15600000	13700000	15500000
Q6C1X5	9750000	9980000	10900000	11600000	11100000	10200000	10300000	10300000	9900000	10900000	1.1e+07	9840000	12700000	12500000	11700000	9690000	10800000	11100000
Q6C061	2390000	2700000	2750000	7680000	6860000	5350000	2720000	2890000	2630000	6610000	5800000	4180000	3110000	2970000	3210000	7770000	7440000	6760000
Q6C982	835430	686576	676960	2230000	2250000	1740000	628363	668538	773991	2220000	1720000	1150000	704107	623488	565893	574865	1700000	1280000
Q6CCY2	5420000	5410000	6220000	8230000	8940000	7780000	6520000	6390000	6520000	7410000	7360000	6880000	6010000	5870000	5770000	6700000	6660000	7090000
Q6CI62	840406	917374	994234	1570000	1940000	1470000	1140000	1260000	1190000	1490000	1270000	1040000	964184	1160000	1160000	749156	1510000	1150000
Q6C7U0	62054.2	59910.4	NA	NA	NA	NA	NA	18434.9	28766.4	NA	NA	NA	NA	NA	26025.5	NA	NA	NA
Q6CFR0	168751	138330	142205	629562	760800	677528	142515	139037	124111	589617	656932	414859	90848.8	80907.8	107745	460720	456573	483027
Q6C315	232741	263126	134936	1010000	1240000	573888	NA	NA	NA	981553	720052	464741	NA	NA	NA	707019	821589	602759
Q6C2N7	559724	574682	1430000	3910000	2370000	2560000	1410000	NA	NA	2940000	2540000	1240000	NA	NA	NA	3200000	2310000	2510000
Q6C0L6	NA	NA	NA	1190000	NA	566205	NA	NA	NA	732848	325154	322740	NA	NA	NA	1610000	582670	311770
Q6C044	1750000	524645	NA	3890000	3740000	3280000	NA	NA	NA	3970000	2980000	1700000	NA	2470000	3960000	4090000	2880000	2900000
Q6C6M0	349184	219735	224389	831470	1530000	1170000	209572	227578	153582	1620000	1110000	621513	212688	102828	88064.3	778860	962318	894120
Q6CD56	371279	206647	131808	1950000	2450000	1470000	108454	NA	98458.4	2210000	1830000	918791	NA	38276.4	63142.9	1260000	1420000	1340000
Q6C8M8	1990000	2e+06	2160000	10200000	9200000	9310000	1500000	1350000	1310000	7560000	7230000	4300000	2180000	2160000	2280000	7500000	7270000	7380000
Q6CBS9	550144	308455	296360	1690000	2370000	1180000	314954	324048	443231	1180000	1090000	855058	394349	464874	442273	1180000	940631	829708
Q6C4Q9	1260000	1430000	1330000	3280000	3080000	2290000	934537	921582	892887	3390000	2770000	1800000	875939	1140000	1280000	4640000	4010000	4400000
Q6CH28	572871	520693	424421	2810000	2820000	2060000	346648	440788	390945	2610000	2030000	1410000	321194	412227	470620	2080000	1880000	2300000
Q6C4Q6	102867	NA	NA	134361	334981	354067	NA	NA	NA	128836	247436	219514	NA	NA	NA	NA	NA	NA
Q6CBC3	502935	NA	NA	2380000	2320000	2480000	NA	NA	NA	2460000	1980000	901492	NA	NA	NA	1600000	1570000	2100000
Q6C794	1800000	1200000	976538	16700000	19300000	14400000	1210000	1120000	970461	14800000	15500000	7870000	629397	NA	274859	13100000	9110000	10300000
Q6C2F5	249243	NA	NA	558432	375835	819539	NA	115271	NA	368103	767387	334286	NA	NA	NA	NA	298845	541175
Q6C6N0	1520000	1390000	1640000	2290000	2490000	2080000	1410000	1390000	1410000	2100000	1810000	1790000	1510000	1210000	1310000	1380000	1200000	1310000
Q6C326	2.55e+08	2.54e+08	2.46e+08	3.23e+08	2.95e+08	3.3e+08	2.41e+08	2.37e+08	2.42e+08	2.9e+08	3.14e+08	2.73e+08	2.08e+08	2.05e+08	2.05e+08	2.13e+08	2.17e+08	2.19e+08
Q6C9E6	83300000	66900000	69700000	1.13e+08	1.07e+08	1.13e+08	72100000	67200000	1.19e+08	1.21e+08	1.11e+08	1.22e+08	1.06e+08	1.12e+08	1.17e+08	95700000	95300000	72900000
