"rxns","GO_terms"
"r_1","mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]"
"r_1","mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]"
"r_1","lactate catabolic process [GO:1903457]"
"r_10","phosphatidylinositol phosphate biosynthetic process [GO:0046854]"
"r_10","phosphorylation [GO:0016310]"
"r_100","fatty acid beta-oxidation [GO:0006635]"
"r_100","phenylacetate catabolic process [GO:0010124]"
"r_1001","spermidine biosynthetic process [GO:0008295]"
"r_1001","pantothenate biosynthetic process [GO:0015940]"
"r_1002","spermidine biosynthetic process [GO:0008295]"
"r_1002","pantothenate biosynthetic process [GO:0015940]"
"r_1003","calcium-mediated signaling [GO:0019722]"
"r_1003","carboxylic acid metabolic process [GO:0019752]"
"r_1003","cellular response to starvation [GO:0009267]"
"r_1003","sphingolipid catabolic process [GO:0030149]"
"r_1004","phospholipid dephosphorylation [GO:0046839]"
"r_1005","phospholipid dephosphorylation [GO:0046839]"
"r_1006","phosphorylation [GO:0016310]"
"r_1006","sphingosine biosynthetic process [GO:0046512]"
"r_1007","phosphorylation [GO:0016310]"
"r_1007","sphingosine biosynthetic process [GO:0046512]"
"r_101","fatty acid beta-oxidation [GO:0006635]"
"r_101","phenylacetate catabolic process [GO:0010124]"
"r_1010","ergosterol biosynthetic process [GO:0006696]"
"r_1011","ergosterol biosynthetic process [GO:0006696]"
"r_1012","ergosterol biosynthetic process [GO:0006696]"
"r_1012","farnesyl diphosphate biosynthetic process, mevalonate pathway [GO:0010142]"
"r_1012","farnesyl diphosphate metabolic process [GO:0045338]"
"r_102","fatty acid beta-oxidation [GO:0006635]"
"r_102","phenylacetate catabolic process [GO:0010124]"
"r_1021","apoptotic process [GO:0006915]"
"r_1021","cellular response to oxidative stress [GO:0034599]"
"r_1021","mitochondrial electron transport, succinate to ubiquinone [GO:0006121]"
"r_1021","protein insertion into mitochondrial inner membrane [GO:0045039]"
"r_1021","response to arsenic-containing substance [GO:0046685]"
"r_1021","response to osmotic stress [GO:0006970]"
"r_1021","tricarboxylic acid cycle [GO:0006099]"
"r_1021","aerobic respiration [GO:0009060]"
"r_1021","respiratory electron transport chain [GO:0022904]"
"r_1022","succinyl-CoA metabolic process [GO:0006104]"
"r_1022","tricarboxylic acid cycle [GO:0006099]"
"r_1023","cellular response to oxidative stress [GO:0034599]"
"r_1023","gamma-aminobutyrate shunt [GO:0006540]"
"r_1023","gamma-aminobutyric acid catabolic process [GO:0009450]"
"r_1024","inulin catabolic process [GO:1902927]"
"r_1024","raffinose catabolic process [GO:0034484]"
"r_1024","sucrose catabolic process [GO:0005987]"
"r_1025","cysteine biosynthetic process [GO:0019344]"
"r_1025","hydrogen sulfide biosynthetic process [GO:0070814]"
"r_1025","methionine biosynthetic process [GO:0009086]"
"r_1025","sulfate assimilation via adenylyl sulfate reduction [GO:0010134]"
"r_1025","sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]"
"r_1026","nucleoside catabolic process [GO:0009164]"
"r_1026","nucleotide biosynthetic process [GO:0009165]"
"r_1027","sulfate assimilation [GO:0000103]"
"r_1028","transmembrane transport [GO:0055085]"
"r_1029","sulfur compound catabolic process [GO:0044273]"
"r_103","ergosterol biosynthetic process [GO:0006696]"
"r_103","fatty acid beta-oxidation [GO:0006635]"
"r_1030","glycine catabolic process [GO:0006546]"
"r_1030","one-carbon metabolic process [GO:0006730]"
"r_1031","folic acid-containing compound biosynthetic process [GO:0009396]"
"r_1031","one-carbon metabolic process [GO:0006730]"
"r_1031","tetrahydrofolylpolyglutamate biosynthetic process [GO:0046901]"
"r_1034","phosphorylation [GO:0016310]"
"r_1034","thiamine diphosphate biosynthetic process [GO:0009229]"
"r_1034","thiamine metabolic process [GO:0006772]"
"r_1035","phosphorylation [GO:0016310]"
"r_1035","thiamine diphosphate biosynthetic process [GO:0009229]"
"r_1035","thiamine metabolic process [GO:0006772]"
"r_1036","thiamine biosynthetic process [GO:0009228]"
"r_1036","thiamine diphosphate biosynthetic process [GO:0009229]"
"r_1038","cell redox homeostasis [GO:0045454]"
"r_1038","removal of superoxide radicals [GO:0019430]"
"r_1038","cellular response to oxidative stress [GO:0034599]"
"r_1039","cell redox homeostasis [GO:0045454]"
"r_1039","removal of superoxide radicals [GO:0019430]"
"r_1039","cellular response to oxidative stress [GO:0034599]"
"r_1039","glutathione metabolic process [GO:0006749]"
"r_104","fatty acid beta-oxidation [GO:0006635]"
"r_1040","glycine biosynthetic process [GO:0006545]"
"r_1040","threonine catabolic process [GO:0006567]"
"r_1041","threonine biosynthetic process [GO:0009088]"
"r_1042","mitochondrial threonyl-tRNA aminoacylation [GO:0070159]"
"r_1042","threonyl-tRNA aminoacylation [GO:0006435]"
"r_1043","mitochondrial threonyl-tRNA aminoacylation [GO:0070159]"
"r_1043","threonyl-tRNA aminoacylation [GO:0006435]"
"r_1044","nucleoside metabolic process [GO:0009116]"
"r_1045","dTMP biosynthetic process [GO:0006231]"
"r_1045","dTTP biosynthetic process [GO:0006235]"
"r_1045","methylation [GO:0032259]"
"r_1047","isoprenoid biosynthetic process [GO:0008299]"
"r_1047","ubiquinone biosynthetic process [GO:0006744]"
"r_1048","carbohydrate metabolic process [GO:0005975]"
"r_1048","pentose-phosphate shunt, non-oxidative branch [GO:0009052]"
"r_1049","pentose-phosphate shunt [GO:0006098]"
"r_105","fatty acid beta-oxidation [GO:0006635]"
"r_105","phenylacetate catabolic process [GO:0010124]"
"r_1050","pentose-phosphate shunt [GO:0006098]"
"r_1051","cellular response to heat [GO:0034605]"
"r_1051","fungal-type cell wall organization [GO:0031505]"
"r_1051","trehalose biosynthetic process [GO:0005992]"
"r_1051","trehalose metabolism in response to stress [GO:0070413]"
"r_1053u","lipid catabolic process [GO:0016042]"
"r_1053u","triglyceride metabolic process [GO:0006641]"
"r_1054","canonical glycolysis [GO:0061621]"
"r_1054","gluconeogenesis [GO:0006094]"
"r_1054","glyceraldehyde-3-phosphate biosynthetic process [GO:0046166]"
"r_1054","glycerol catabolic process [GO:0019563]"
"r_1054","glycolytic process [GO:0006096]"
"r_1055","tryptophan biosynthetic process [GO:0000162]"
"r_1055","tryptophan metabolic process [GO:0006568]"
"r_1056","aromatic amino acid family catabolic process [GO:0009074]"
"r_1056","lysine biosynthetic process via aminoadipic acid [GO:0019878]"
"r_1056","tyrosine biosynthetic process [GO:0006571]"
"r_1057","tryptophanyl-tRNA aminoacylation [GO:0006436]"
"r_1058","mitochondrial tryptophanyl-tRNA aminoacylation [GO:0070183]"
"r_1059u","endosome organization [GO:0007032]"
"r_1059u","Golgi organization [GO:0007030]"
"r_1059u","phosphatidylinositol phosphate biosynthetic process [GO:0046854]"
"r_1059u","phosphorylation [GO:0016310]"
"r_106","fatty acid beta-oxidation [GO:0006635]"
"r_106","phenylacetate catabolic process [GO:0010124]"
"r_1063","aromatic amino acid family catabolic process [GO:0009074]"
"r_1063","lysine biosynthetic process via aminoadipic acid [GO:0019878]"
"r_1063","tyrosine biosynthetic process [GO:0006571]"
"r_1065","aspartate catabolic process [GO:0006533]"
"r_1065","biosynthetic process [GO:0009058]"
"r_1065","aspartate biosynthetic process [GO:0006532]"
"r_1066","tyrosyl-tRNA aminoacylation [GO:0006437]"
"r_1067","mitochondrial tyrosyl-tRNA aminoacylation [GO:0070184]"
"r_1067","tRNA aminoacylation [GO:0043039]"
"r_1068","carbohydrate metabolic process [GO:0005975]"
"r_1068","lipid glycosylation [GO:0030259]"
"r_1068","sterol biosynthetic process [GO:0016126]"
"r_1068","sterol metabolic process [GO:0016125]"
"r_1069","UDP-N-acetylglucosamine biosynthetic process [GO:0006048]"
"r_107","fatty acid beta-oxidation [GO:0006635]"
"r_107","phenylacetate catabolic process [GO:0010124]"
"r_1070","galactose catabolic process via UDP-galactose [GO:0033499]"
"r_1071","galactose catabolic process via UDP-galactose [GO:0033499]"
"r_1072","'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]"
"r_1072","CDP biosynthetic process [GO:0046705]"
"r_1072","phosphorylation [GO:0016310]"
"r_1072","UDP biosynthetic process [GO:0006225]"
"r_1073","'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]"
"r_1073","CDP biosynthetic process [GO:0046705]"
"r_1073","phosphorylation [GO:0016310]"
"r_1073","UDP biosynthetic process [GO:0006225]"
"r_1074","pyrimidine-containing compound salvage [GO:0008655]"
"r_1075","small molecule metabolic process [GO:0044281]"
"r_1076","allantoin catabolic process [GO:0000256]"
"r_1076","purine nucleobase metabolic process [GO:0006144]"
"r_1077","CTP salvage [GO:0044211]"
"r_1077","phosphorylation [GO:0016310]"
"r_1077","pyrimidine-containing compound salvage [GO:0008655]"
"r_1077","UMP salvage [GO:0044206]"
"r_1078","CTP salvage [GO:0044211]"
"r_1078","phosphorylation [GO:0016310]"
"r_1078","pyrimidine-containing compound salvage [GO:0008655]"
"r_1078","UMP salvage [GO:0044206]"
"r_1079","'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]"
"r_1079","CDP biosynthetic process [GO:0046705]"
"r_1079","phosphorylation [GO:0016310]"
"r_1079","UDP biosynthetic process [GO:0006225]"
"r_108","fatty acid biosynthetic process [GO:0006633]"
"r_108","malonyl-CoA biosynthetic process [GO:2001295]"
"r_1080","'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]"
"r_1080","CDP biosynthetic process [GO:0046705]"
"r_1080","phosphorylation [GO:0016310]"
"r_1080","UDP biosynthetic process [GO:0006225]"
"r_1081","heme biosynthetic process [GO:0006783]"
"r_1081","protoporphyrinogen IX biosynthetic process [GO:0006782]"
"r_1082","methylation [GO:0032259]"
"r_1082","siroheme biosynthetic process [GO:0019354]"
"r_1082","sulfate assimilation [GO:0000103]"
"r_1083","protoporphyrinogen IX biosynthetic process [GO:0006782]"
"r_1083","uroporphyrinogen III biosynthetic process [GO:0006780]"
"r_1084","glycogen metabolic process [GO:0005977]"
"r_1084","UDP-glucose metabolic process [GO:0006011]"
"r_1085","vacuolar acidification [GO:0007035]"
"r_1085","intracellular arginine homeostasis [GO:0090465]"
"r_1085","intracellular histidine homeostasis [GO:0090464]"
"r_1085","intracellular lysine homeostasis [GO:0090463]"
"r_1085","proton transmembrane transport [GO:1902600]"
"r_1085","endocytosis [GO:0006897]"
"r_1085","intracellular copper ion homeostasis [GO:0006878]"
"r_1085","intracellular iron ion homeostasis [GO:0006879]"
"r_1085","protein targeting to vacuole [GO:0006623]"
"r_1085","vacuole organization [GO:0007033]"
"r_1085","vacuolar transport [GO:0007034]"
"r_1085","ATP metabolic process [GO:0046034]"
"r_1085","cellular hyperosmotic response [GO:0071474]"
"r_1085","cellular response to alkaline pH [GO:0071469]"
"r_1085","polyphosphate metabolic process [GO:0006797]"
"r_1085","protein localization to vacuolar membrane [GO:1903778]"
"r_1085","protein-containing complex assembly [GO:0065003]"
"r_1086","vacuolar acidification [GO:0007035]"
"r_1086","intracellular arginine homeostasis [GO:0090465]"
"r_1086","intracellular histidine homeostasis [GO:0090464]"
"r_1086","intracellular lysine homeostasis [GO:0090463]"
"r_1086","proton transmembrane transport [GO:1902600]"
"r_1086","endocytosis [GO:0006897]"
"r_1086","intracellular copper ion homeostasis [GO:0006878]"
"r_1086","intracellular iron ion homeostasis [GO:0006879]"
"r_1086","protein targeting to vacuole [GO:0006623]"
"r_1086","vacuole organization [GO:0007033]"
"r_1086","vacuolar transport [GO:0007034]"
"r_1086","ATP metabolic process [GO:0046034]"
"r_1086","cellular hyperosmotic response [GO:0071474]"
"r_1086","cellular response to alkaline pH [GO:0071469]"
"r_1086","polyphosphate metabolic process [GO:0006797]"
"r_1086","protein localization to vacuolar membrane [GO:1903778]"
"r_1086","protein-containing complex assembly [GO:0065003]"
"r_1087","isoleucine biosynthetic process [GO:0009097]"
"r_1087","L-leucine biosynthetic process [GO:0009098]"
"r_1087","valine biosynthetic process [GO:0009099]"
"r_1088","isoleucine biosynthetic process [GO:0009097]"
"r_1088","L-leucine biosynthetic process [GO:0009098]"
"r_1088","valine biosynthetic process [GO:0009099]"
"r_1089","valyl-tRNA aminoacylation [GO:0006438]"
"r_109","fatty acid biosynthetic process [GO:0006633]"
"r_109","malonyl-CoA biosynthetic process [GO:2001295]"
"r_109","protein modification process [GO:0036211]"
"r_1090","valyl-tRNA aminoacylation [GO:0006438]"
"r_1091","GMP salvage [GO:0032263]"
"r_1091","hypoxanthine metabolic process [GO:0046100]"
"r_1091","IMP salvage [GO:0032264]"
"r_1091","XMP salvage [GO:0032265]"
"r_1092","sorbitol catabolic process [GO:0006062]"
"r_1094","D-xylose metabolic process [GO:0042732]"
"r_1094","xylulose metabolic process [GO:0005997]"
"r_1095","mRNA pseudouridine synthesis [GO:1990481]"
"r_1095","tRNA pseudouridine synthesis [GO:0031119]"
"r_1095","tRNA modification [GO:0006400]"
"r_1095","mRNA processing [GO:0006397]"
"r_1095","snRNA pseudouridine synthesis [GO:0031120]"
"r_1099","aspartate transmembrane transport [GO:0015810]"
"r_1099","L-glutamate transmembrane transport [GO:0015813]"
"r_1099","malate-aspartate shuttle [GO:0043490]"
"r_11","phosphatidylinositol phosphate biosynthetic process [GO:0046854]"
"r_11","phosphorylation [GO:0016310]"
"r_1101","amino acid transmembrane transport [GO:0003333]"
"r_1101","amino acid transport [GO:0006865]"
"r_1102","amino acid transport [GO:0006865]"
"r_1104","amino acid transport [GO:0006865]"
"r_1108","cytosine transport [GO:0015856]"
"r_111","acetate metabolic process [GO:0006083]"
"r_1110","mitochondrial ADP transmembrane transport [GO:0140021]"
"r_1110","mitochondrial ATP transmembrane transport [GO:1990544]"
"r_1111","ATP transport [GO:0015867]"
"r_1111","fatty acid beta-oxidation [GO:0006635]"
"r_1111","peroxisome organization [GO:0007031]"
"r_1112","alpha-ketoglutarate transport [GO:0015742]"
"r_1112","mitochondrial citrate transmembrane transport [GO:0006843]"
"r_1112","mitochondrial genome maintenance [GO:0000002]"
"r_1113","allantoate transport [GO:0015719]"
"r_1113","dipeptide transport [GO:0042938]"
"r_1113","tripeptide transport [GO:0042939]"
"r_1114","nucleobase transport [GO:0015851]"
"r_1115","ammonium transmembrane transport [GO:0072488]"
"r_1116","ATP transport [GO:0015867]"
"r_1116","fatty acid beta-oxidation [GO:0006635]"
"r_1116","peroxisome organization [GO:0007031]"
"r_1117","aspartate transmembrane transport [GO:0015810]"
"r_1117","L-glutamate transmembrane transport [GO:0015813]"
"r_1117","malate-aspartate shuttle [GO:0043490]"
"r_1118","aspartate transmembrane transport [GO:0015810]"
"r_1118","L-glutamate transmembrane transport [GO:0015813]"
"r_1118","malate-aspartate shuttle [GO:0043490]"
"r_112","acetyl-CoA biosynthetic process [GO:0006085]"
"r_112","acetyl-CoA biosynthetic process from acetate [GO:0019427]"
"r_1120","carnitine transmembrane transport [GO:1902603]"
"r_1120","mitochondrial transport [GO:0006839]"
"r_1125","glycine betaine transport [GO:0031460]"
"r_1126","mitochondrial citrate transmembrane transport [GO:0006843]"
"r_1127","mitochondrial citrate transmembrane transport [GO:0006843]"
"r_1128","mitochondrial citrate transmembrane transport [GO:0006843]"
"r_1129","mitochondrial coenzyme A transmembrane transport [GO:1990559]"
"r_113","acetyl-CoA biosynthetic process [GO:0006085]"
"r_113","acetyl-CoA biosynthetic process from acetate [GO:0019427]"
"r_1130","metal ion transport [GO:0030001]"
"r_1130","mitochondrial genome maintenance [GO:0000002]"
"r_1130","pyrimidine nucleotide import into mitochondrion [GO:1990519]"
"r_1130","regulation of mitochondrial membrane potential [GO:0051881]"
"r_1131","metal ion transport [GO:0030001]"
"r_1131","mitochondrial genome maintenance [GO:0000002]"
"r_1131","pyrimidine nucleotide import into mitochondrion [GO:1990519]"
"r_1131","regulation of mitochondrial membrane potential [GO:0051881]"
"r_1133","cytosine transport [GO:0015856]"
"r_1134","carbohydrate transport [GO:0008643]"
"r_1135","myo-inositol transport [GO:0015798]"
"r_1135","polyol transmembrane transport [GO:0015791]"
"r_1135","transmembrane transport [GO:0055085]"
"r_1135","carbohydrate transport [GO:0008643]"
"r_1135","maltose metabolic process [GO:0000023]"
"r_1135","myo-inositol import across plasma membrane [GO:1904679]"
"r_1135","monosaccharide transmembrane transport [GO:0015749]"
"r_1136","plasma membrane lactate transport [GO:0035879]"
"r_1139","carbohydrate transport [GO:0008643]"
"r_114","acetyl-CoA biosynthetic process [GO:0006085]"
"r_114","acetyl-CoA biosynthetic process from acetate [GO:0019427]"
"r_1146","transmembrane transport [GO:0055085]"
"r_1147","transmembrane transport [GO:0055085]"
"r_115","arginine biosynthetic process [GO:0006526]"
"r_115","phosphorylation [GO:0016310]"
"r_1151","folate import into mitochondrion [GO:1904947]"
"r_1165","GDP-mannose transmembrane transport [GO:1990570]"
"r_1166","carbohydrate transport [GO:0008643]"
"r_1166","myo-inositol transport [GO:0015798]"
"r_1166","polyol transmembrane transport [GO:0015791]"
"r_1166","transmembrane transport [GO:0055085]"
"r_1166","maltose metabolic process [GO:0000023]"
"r_1166","myo-inositol import across plasma membrane [GO:1904679]"
"r_1166","monosaccharide transmembrane transport [GO:0015749]"
"r_1167","peptide transport [GO:0015833]"
"r_1167","protein transport [GO:0015031]"
"r_1168","cell redox homeostasis [GO:0045454]"
"r_1168","glutathione metabolic process [GO:0006749]"
"r_1168","response to metal ion [GO:0010038]"
"r_1168","transmembrane transport [GO:0055085]"
"r_1168","vacuole fusion, non-autophagic [GO:0042144]"
"r_1169","glycerophosphodiester transmembrane transport [GO:0001407]"
"r_117","propionate metabolic process, methylcitrate cycle [GO:0019679]"
"r_1170","glycerophosphodiester transmembrane transport [GO:0001407]"
"r_1171","carbohydrate transport [GO:0008643]"
"r_1172","glycerol transmembrane transport [GO:0015793]"
"r_1172","water transport [GO:0006833]"
"r_1173","amino acid transmembrane transport [GO:0003333]"
"r_1175","intracellular iron ion homeostasis [GO:0006879]"
"r_1175","mitochondrial genome maintenance [GO:0000002]"
"r_1176","cytosine transport [GO:0015856]"
"r_1177","myo-inositol import across plasma membrane [GO:1904679]"
"r_118","arginine biosynthetic process via ornithine [GO:0042450]"
"r_118","ornithine biosynthetic process [GO:0006592]"
"r_1183","amino acid transmembrane transport [GO:0003333]"
"r_1184","amino acid transmembrane transport [GO:0003333]"
"r_1186","amino acid transmembrane transport [GO:0003333]"
"r_1187","L-histidine transmembrane import into vacuole [GO:0090513]"
"r_1187","proline transport [GO:0015824]"
"r_1187","vacuolar transport [GO:0007034]"
"r_1188","amino acid transmembrane transport [GO:0003333]"
"r_1188","L-arginine transmembrane export from vacuole [GO:1990818]"
"r_1188","L-histidine transmembrane export from vacuole [GO:0089708]"
"r_1188","L-lysine transmembrane export from vacuole [GO:0089707]"
"r_1189","amino acid transmembrane transport [GO:0003333]"
"r_1189","L-arginine transmembrane import into vacuole [GO:0090518]"
"r_1189","L-glutamate import involved in cellular response to nitrogen starvation [GO:1901481]"
"r_1189","L-glutamate transmembrane import into vacuole [GO:0090515]"
"r_1189","L-histidine transmembrane import into vacuole [GO:0090513]"
"r_1189","L-lysine import into vacuole involved in cellular response to nitrogen starvation [GO:1901482]"
"r_1189","L-serine transmembrane import into vacuole [GO:0090516]"
"r_1189","L-tyrosine transmembrane import into vacuole [GO:0090514]"
"r_1190","amino acid transmembrane transport [GO:0003333]"
"r_1191","amino acid transmembrane transport [GO:0003333]"
"r_1192","amino acid transmembrane transport [GO:0003333]"
"r_1194","aspartate transmembrane transport [GO:0015810]"
"r_1194","L-glutamate transmembrane transport [GO:0015813]"
"r_1194","malate-aspartate shuttle [GO:0043490]"
"r_1195","amino acid transmembrane transport [GO:0003333]"
"r_1195","L-arginine transmembrane import into vacuole [GO:0090518]"
"r_1195","L-glutamate import involved in cellular response to nitrogen starvation [GO:1901481]"
"r_1195","L-glutamate transmembrane import into vacuole [GO:0090515]"
"r_1195","L-histidine transmembrane import into vacuole [GO:0090513]"
"r_1195","L-lysine import into vacuole involved in cellular response to nitrogen starvation [GO:1901482]"
"r_1195","L-serine transmembrane import into vacuole [GO:0090516]"
"r_1195","L-tyrosine transmembrane import into vacuole [GO:0090514]"
"r_1196","amino acid transmembrane transport [GO:0003333]"
"r_1197","L-histidine transmembrane import into vacuole [GO:0090513]"
"r_1197","proline transport [GO:0015824]"
"r_1197","vacuolar transport [GO:0007034]"
