rxns;genes
r_1;(YALI0D09273g and YALI0E03212g) or YALI0C06446g
r_10;YALI0E29161g
r_100;YALI0E18568g
r_1001;YALI0E04763g or YALI0E33143g
r_1002;YALI0E04763g or YALI0E33143g
r_1003;YALI0E28237g
r_1004;YALI0E21197g
r_1005;YALI0E21197g
r_1006;YALI0B11154g
r_1007;YALI0B11154g
r_1008;
r_1009;
r_101;YALI0E18568g
r_1010;YALI0E15730g
r_1011;YALI0E15730g
r_1012;YALI0A10076g
r_102;YALI0E18568g
r_1021;YALI0A14784g and YALI0D11374g and YALI0E29667g and YALI0D23397g
r_1022;YALI0D04741g and YALI0E24013g
r_1023;YALI0F26191g
r_1024;YALI0E26719g
r_1025;YALI0B08184g
r_1026;YALI0F30349g
r_1027;YALI0D11176g and YALI0E16368g
r_1028;YALI0E14234g
r_1029;YALI0F22825g
r_103;YALI0B08536g
r_1030;YALI0F02849g
r_1031;YALI0A10032g or YALI0E24497g
r_1032;YALI0C06930g
r_1033;YALI0C06930g
r_1034;YALI0E21351g
r_1035;YALI0E21351g
r_1036;YALI0C15554g
r_1038;YALI0D27126g and YALI0F01496g
r_1039;(YALI0E23540g and YALI0D27126g) or (YALI0E18029g and YALI0F01496g)
r_104;YALI0E11099g
r_1040;YALI0A21417g
r_1041;YALI0F23221g
r_1042;YALI0A09427g or YALI0F11231g
r_1043;YALI0A09427g or YALI0F11231g
r_1044;YALI0F30129g
r_1045;YALI0C10901g
r_1047;YALI0C18755g
r_1048;YALI0F15587g
r_1049;YALI0E06479g
r_105;YALI0E18568g
r_1050;YALI0E06479g
r_1051;YALI0D14476g
r_1053u;YALI0D17534g or YALI0F10010g
r_1054;YALI0F05214g
r_1055;YALI0F24893g
r_1056;YALI0E20977g
r_1057;YALI0B08943g
r_1058;YALI0C18425g
r_1059u;YALI0A02453g
r_106;YALI0E18568g
r_1063;YALI0E20977g
r_1065;YALI0B02178g or YALI0F29337g
r_1066;YALI0C15224g
r_1067;YALI0E29139g
r_1068;YALI0D18403g
r_1069;YALI0E03146g
r_107;YALI0E18568g
r_1070;YALI0E26829g
r_1071;YALI0F23947g
r_1072;YALI0F09339g
r_1073;YALI0F09339g
r_1074;YALI0F31273g
r_1075;YALI0B14619g or YALI0E07271g or YALI0E35156g
r_1076;YALI0F06710g
r_1077;YALI0E31009g
r_1078;YALI0E31009g
r_1079;YALI0F09339g
r_108;YALI0C11407g
r_1080;YALI0F09339g
r_1081;YALI0C01716g
r_1082;YALI0A01133g
r_1083;YALI0F09449g
r_1084;YALI0A02310g
r_1085;(YALI0A11143g and YALI0E11355g and YALI0D00583g and YALI0E08617g and YALI0A09900g and YALI0F15631g and YALI0E16192g and YALI0F24475g and YALI0F16181g and YALI0E31471g and YALI0E27346g and YALI0E09933g) or (YALI0F31119g and YALI0F09405g)
r_1086;(YALI0A11143g and YALI0E11355g and YALI0D00583g and YALI0E08617g and YALI0A09900g and YALI0F15631g and YALI0E16192g and YALI0F24475g and YALI0F16181g and YALI0E31471g and YALI0E27346g and YALI0E09933g) or (YALI0F31119g and YALI0F09405g)
r_1087;YALI0D01265g
r_1088;YALI0D01265g
r_1089;YALI0F20218g
r_109;YALI0C11407g and YALI0E30591g
r_1090;YALI0F20218g
r_1091;YALI0E16753g
r_1092;YALI0E12463g
r_1093;YALI0D07634g
r_1094;YALI0F10923g
r_1095;YALI0F18216g or YALI0D25234g or YALI0C12749g
r_1096;
r_1097;
r_1099;YALI0D02629g
r_11;YALI0F23573g
r_1100;
r_1101;YALI0B09537g or YALI0D15422g or YALI0A03135g or YALI0A07579g or YALI0A19558g or YALI0D00495g or YALI0D17688g or YALI0E07205g or YALI0F01078g
