Entry;subSystem
"(R)-lactate:ferricytochrome-c 2-oxidoreductase";Pyruvate metabolism
"1-phosphatidylinositol-3-phosphate 5-kinase";Inositol phosphate metabolism
"acetyl-CoA C-acyltransferase (palmitoyl-CoA)";Fatty acid degradation
"spermidine synthase";Cysteine and methionine metabolism
"spermine synthase";Arginine and proline metabolism
"sphinganine phosphate lyase";Sphingolipid metabolism
"sphingoid base-phosphate phosphatase (phytosphingosine 1-phosphate)";Sphingolipid metabolism
"sphingoid base-phosphate phosphatase (sphinganine 1-phosphatase)";Sphingolipid metabolism
"sphingolipid long chain base kinase (phytosphingosine)";Sphingolipid metabolism
"sphingolipid long chain base kinase (sphinganine)";Sphingolipid metabolism
"spontaneous cis-aconitate(3-) to trans-aconitate";Citrate cycle (TCA cycle)
"spontaneous cis-aconitate(3-) to trans-aconitate";Citrate cycle (TCA cycle)
"acetyl-CoA C-acyltransferase (tetracosanoyl-CoA)";Fatty acid degradation
"squalene epoxidase (NAD)";Steroid biosynthesis
"squalene epoxidase (NADP)";Steroid biosynthesis
"squalene synthase";Steroid biosynthesis
"acetyl-CoA C-acyltransferase (myristoyl-CoA)";Fatty acid metabolism
"succinate dehydrogenase (ubiquinone-6)";Citrate cycle (TCA cycle)
"succinate-CoA ligase (ADP-forming)";Citrate cycle (TCA cycle)
"succinate-semialdehyde dehydrogenase (NADP)";Butanoate metabolism
"sucrose hydrolyzing enxyme";Galactose metabolism
"sulfate adenylyltransferase";Sulfur metabolism
"sulfate adenylyltransferase (ADP)";Sulfur metabolism
"sulfite reductase (NADPH2)";Sulfur metabolism
"taurcholate via ABC system";
"taurine dioxygenase";Taurine and hypotaurine metabolism
"acetyl-CoA C-acetyltransferase";Pyruvate metabolism
"tetrahydrofolate aminomethyltransferase";One carbon pool by folate
"tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)";Folate biosynthesis
"thiamin diphosphatase";
"thiamin phosphatase";Thiamine metabolism
"thiamine diphosphokinase";Thiamine metabolism
"thiamine-diphosphate kinase";Thiamine metabolism
"thiamine-phosphate diphosphorylase";Thiamine metabolism
"thioredoxin reductase (NADPH)";Pyrimidine metabolism
"thioredoxin reductase (NADPH)";Pyrimidine metabolism
"acetyl-CoA C-acetyltransferase";Pyruvate metabolism
"threonine aldolase";Glycine, serine and threonine metabolism
"threonine synthase";Glycine, serine and threonine metabolism
"threonyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"threonyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"thymidine phosphorylase";Pyrimidine metabolism
"thymidylate synthase";Pyrimidine metabolism
"trans-pentaprenyltranstransferase";Polyprenyl biosynthesis
"transaldolase";Pentose phosphate pathway
"transketolase 1";Pentose phosphate pathway
"acetyl-CoA C-acyltransferase (lauroyl-CoA)";Fatty acid metabolism
"transketolase 2";Pentose phosphate pathway
"trehalose-phosphatase";Starch and sucrose metabolism
"triacylglycerol lipase";Glycerolipid metabolism
"triose-phosphate isomerase";Glycolysis/Gluconeogenesis
"tryptophan synthase (indoleglycerol phosphate)";Phenylalanine, tyrosine and tryptophan biosynthesis
"tryptophan transaminase";Tryptophan metabolism
"tryptophanyl-tRNA synthetase";Tryptophan metabolism
"tryptophanyl-tRNA synthetase";Tryptophan metabolism
"phosphatidylinositol 4-kinase";Inositol phosphate metabolism
"acetyl-CoA C-acyltransferase (octanoyl-CoA)";Fatty acid metabolism
"tyrosine transaminase";Phenylalanine, tyrosine and tryptophan biosynthesis
"tyrosine transaminase";Phenylalanine, tyrosine and tryptophan biosynthesis
"tyrosyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"tyrosyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"UDP-glucose:ergosterol glucosyltransferase";
