Entry	Gene Names	Gene Ontology (biological process)
A0A1H6PWB9	ARO1 B0I71DRAFT117399 YALI1F16984g	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; phosphorylation [GO:0016310]
P09230	XPR2 YALI0F31889g	proteolysis [GO:0006508]
P34229	FAS1 YALI0B15059g	long-chain fatty acid biosynthetic process [GO:0042759]
Q6C093	UBC2 YALI0F26697g	cellular response to unfolded protein [GO:0034620]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA repair [GO:0006281]; DNA-templated transcription termination [GO:0006353]; double-strand break repair via homologous recombination [GO:0000724]; ERAD pathway [GO:0036503]; error-free postreplication DNA repair [GO:0042275]; error-free translesion synthesis [GO:0070987]; error-prone translesion synthesis [GO:0042276]; meiotic DNA double-strand break formation [GO:0042138]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of SREBP signaling pathway [GO:2000639]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of dipeptide transport [GO:0090089]; sno(s)RNA transcription [GO:0009302]; sporulation resulting in formation of a cellular spore [GO:0030435]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]; subtelomeric heterochromatin formation [GO:0031509]; telomere maintenance via recombination [GO:0000722]; transcription by RNA polymerase II [GO:0006366]; ubiquitin-dependent protein catabolic process via the N-end rule pathway [GO:0071596]
Q6C1X5	ARO1 YALI0F12639g	amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]; phosphorylation [GO:0016310]
Q6C2F5	ATG9 YALI0F08349g	autophagy of mitochondrion [GO:0000422]; cytoplasm to vacuole targeting by the Cvt pathway [GO:0032258]; mitophagy [GO:0000423]; piecemeal microautophagy of the nucleus [GO:0034727]; protein localization to phagophore assembly site [GO:0034497]; reticulophagy [GO:0061709]
Q6C354	PDH1 YALI0F02497g	propionate metabolic process, methylcitrate cycle [GO:0019679]
Q6C4M9	HOG1 YALI0E25135g	cellular response to oxidative stress [GO:0034599]; negative regulation of cytoplasmic translational initiation in response to stress [GO:1990625]; negative regulation of G2/M transition of mitotic cell cycle [GO:0010972]; negative regulation of induction of conjugation with cellular fusion [GO:0010515]; osmosensory signaling pathway [GO:0007231]; p38MAPK cascade [GO:0038066]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of aerobic respiration [GO:1903715]; regulation of meiotic cell cycle [GO:0051445]; regulation of reciprocal meiotic recombination [GO:0010520]; stress-activated MAPK cascade [GO:0051403]
Q6C6R8	PEX20 YALI0E06831g	protein import into peroxisome matrix [GO:0016558]; protein import into peroxisome matrix, docking [GO:0016560]
Q6C710	ESA1 YALI0E04675g	DNA repair [GO:0006281]; DNA repair-dependent chromatin remodeling [GO:0140861]; positive regulation of heterochromatin formation [GO:0031453]; regulation of transcription by RNA polymerase II [GO:0006357]
Q6C793	YALI0E02684g	carbohydrate metabolic process [GO:0005975]; citrate metabolic process [GO:0006101]; tricarboxylic acid cycle [GO:0006099]
Q6C7C0	MYO1 YALI0E02046g	actin cortical patch assembly [GO:0000147]; actin cortical patch localization [GO:0051666]; actin filament organization [GO:0007015]; endocytosis [GO:0006897]; mitotic cytokinesis [GO:0000281]
Q6C7R4	YALI0D26015g	exit from mitosis [GO:0010458]; G2/M transition of mitotic cell cycle [GO:0000086]; homologous chromosome orientation in meiotic metaphase I [GO:0031619]; intracellular signal transduction [GO:0035556]; meiotic centromere clustering [GO:1990571]; meiotic centromeric cohesion protection in anaphase I [GO:1990813]; meiotic spindle assembly [GO:0090306]; meiotic spindle pole body organization [GO:1990395]; mitotic spindle organization [GO:0007052]; negative regulation of protein localization to nucleolus [GO:1904750]; positive regulation of cell size [GO:0045793]; positive regulation of G2/M transition of mitotic cell cycle [GO:0010971]; positive regulation of mitotic division septum assembly [GO:0140281]; positive regulation of mitotic metaphase/anaphase transition [GO:0045842]; positive regulation of mitotic sister chromatid biorientation [GO:0140429]; positive regulation of mitotic spindle pole body separation [GO:0010696]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein localization to cell division site involved in mitotic actomyosin contractile ring assembly [GO:0110083]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of septation initiation signaling [GO:0031031]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of nucleus organization [GO:1903353]; regulation of protein localization to mitotic spindle pole body [GO:1902542]; resolution of meiotic recombination intermediates [GO:0000712]; spindle attachment to meiosis I kinetochore [GO:0051455]; synaptonemal complex disassembly [GO:0070194]
Q6C7U0	ATG1 YALI0D25388g	autophagosome assembly [GO:0000045]; autophagy of mitochondrion [GO:0000422]; piecemeal microautophagy of the nucleus [GO:0034727]; protein phosphorylation [GO:0006468]; protein transport [GO:0015031]; regulation of autophagy [GO:0010506]; response to starvation [GO:0042594]; reticulophagy [GO:0061709]
Q6C7U8	PHO85 YALI0D25190g	DNA damage response [GO:0006974]; G1/S transition of mitotic cell cycle [GO:0000082]; lipid homeostasis [GO:0055088]; negative regulation of calcium-mediated signaling [GO:0050849]; negative regulation of glycogen biosynthetic process [GO:0045719]; negative regulation of macroautophagy [GO:0016242]; negative regulation of phosphate metabolic process [GO:0045936]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of macroautophagy [GO:0016239]; positive regulation of phospholipid biosynthetic process [GO:0071073]; protein destabilization [GO:0031648]; protein phosphorylation [GO:0006468]; regulation of cell cycle phase transition [GO:1901987]; regulation of cell division [GO:0051302]; regulation of establishment or maintenance of cell polarity [GO:0032878]; regulation of nucleocytoplasmic transport [GO:0046822]; regulation of protein localization [GO:0032880]
Q6C910	YALI0D15246g	base-excision repair [GO:0006284]; chromosome organization involved in meiotic cell cycle [GO:0070192]; DNA double-strand break processing [GO:0000729]; DNA duplex unwinding [GO:0032508]; double-strand break repair [GO:0006302]; double-strand break repair involved in meiotic recombination [GO:1990918]; double-strand break repair via nonhomologous end joining [GO:0006303]; gene conversion at mating-type locus [GO:0007534]; homologous chromosome pairing at meiosis [GO:0007129]; maintenance of DNA trinucleotide repeats [GO:0035753]; meiotic DNA double-strand break formation [GO:0042138]; mitochondrial double-strand break repair via homologous recombination [GO:0097552]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; mitotic recombination-dependent replication fork processing [GO:1990426]; R-loop processing [GO:0062176]; regulation of reciprocal meiotic recombination [GO:0010520]; stalled replication fork localization to nuclear periphery [GO:0120290]; telomere maintenance via recombination [GO:0000722]; telomere maintenance via telomerase [GO:0007004]
