gene_IDs	gene_names	slope	action	essentiality	rxnNames	rxnIDs
YALI0A10659g	YALI0A10659g	13.0317090671536	KD		ADP/ATP transporter	1110
YALI0D08228g	YALI0D08228g	13.0317090671536	KD		ADP/ATP transporter	1110
YALI0F19712g	YALI0F19712g	13.0317090671536	KD		ADP/ATP transporter	1110
YALI0C05753g	YALI0C05753g	9.41982308306516	KD		phosphate transport	1245
YALI0F14223g	YALI0F14223g	9.41982308306516	KD		phosphate transport	1245
YALI0D02629g	YALI0D02629g	6.0349110092351	KD	essential	2-oxoadipate and 2-oxoglutarate transport; oxoglutarate/malate exchange	1099; 2132
YALI0F26323g	YALI0F26323g	5.89478941221389	OE		citrate transport	1126; 1127; 1128
YALI0B02178g	YALI0B02178g	5.15515193614263	KD		tyrosine transaminase; aspartate transaminase; L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	1065; 216; 217; 218; 681; 682; 683
YALI0F29337g	YALI0F29337g	5.15515193614263	KD		tyrosine transaminase; aspartate transaminase; L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase	1065; 216; 217; 218; 681; 682; 683
YALI0E00638g	YALI0E00638g	4.92301802346025	OE		2-methylcitrate synthase; citrate synthase; citrate synthase, peroxisomal	28; 300; 301
YALI0E02684g	YALI0E02684g	4.92301802346025	OE		2-methylcitrate synthase; citrate synthase; citrate synthase, peroxisomal	28; 300; 301
YALI0A02244g	YALI0A02244g	4.2530840502688	KD		ammonia transport	1115
YALI0A19228g	YALI0A19228g	4.2530840502688	KD		ammonia transport	1115
YALI0B13794g	YALI0B13794g	4.2530840502688	KD		ammonia transport	1115
YALI0C23617g	YALI0C23617g	4.2530840502688	KD		ammonia transport	1115
YALI0E27203g	YALI0E27203g	4.2530840502688	KD		ammonia transport	1115
YALI0F12925g	YALI0F12925g	4.2530840502688	KD		ammonia transport	1115
YALI0F16896g	YALI0F16896g	4.2530840502688	KD		ammonia transport	1115
YALI0B15598g	YALI0B15598g	3.3560317056688	OE	essential	phosphogluconate dehydrogenase	889
YALI0C19085g	YALI0C19085g	3.3560317056688	OE		6-phosphogluconolactonase	91
YALI0E11671g	YALI0E11671g	3.3560317056688	OE		6-phosphogluconolactonase	91
YALI0E22649g	YALI0E22649g	3.3560317056688	OE	essential	glucose 6-phosphate dehydrogenase	466
YALI0C11880g	YALI0C11880g	2.39701485908232	OE	essential	ribulose 5-phosphate 3-epimerase	984
YALI0F09185g	YALI0F09185g	2.29001572411529	OE		pyruvate kinase	962
YALI0B02728g	YALI0B02728g	2.13200536521727	OE		diphosphoglyceromutase; phosphoglycerate mutase	356; 893
YALI0F16819g	YALI0F16819g	2.13200536521727	OE		enolase	366
YALI0C11803g	YALI0C11803g	1.80567902908541	KD		inorganic diphosphatase	568; 569
YALI0F13541g	YALI0F13541g	1.80567902908541	KD		inorganic diphosphatase	568; 569
YALI0C06369g	YALI0C06369g	1.66471629392518	OE	essential	glyceraldehyde-3-phosphate dehydrogenase	486
YALI0D12400g	YALI0D12400g	1.66471629392518	OE	essential	phosphoglycerate kinase	892
YALI0C24101g	YALI0C24101g	1.55757021313822	KD		pyruvate carboxylase	958
YALI0E06479g	YALI0E06479g	1.19850742954116	OE	essential	transketolase 1; transketolase 2	1049; 1050
YALI0F15587g	YALI0F15587g	1.15900483981666	OE		transaldolase	1048
