gene_IDs	gene_names	slope	action	essentiality	rxnNames	rxnIDs
YALI0F17820g	YALI0F17820g	2.64307107919536	KD		glutamate dehydrogenase (NADP)	471
YALI0C11880g	YALI0C11880g	1.51257962919701	KD		ribulose 5-phosphate 3-epimerase	984
YALI0F00506g	YALI0F00506g	0.937907966391312	KD	essential	glutamine synthetase	476
YALI0E14949g	YALI0E14949g	0.792168905882824	KD		cis-aconitate(3-) to isocitrate; citrate to cis-aconitate(3-)	2305_EXP_2; 280_EXP_2; 302_EXP_2
YALI0F09229g	YALI0F09229g	0.604508382399696	KD	essential	nucleoside diphosphate kinase; nucleoside-diphosphate kinase (ATP:UDP)	795; 796; 797; 798; 799; 800; 801; 802; 803; 811
YALI0A02310g	YALI0A02310g	0.514954635755238	KD		UTP-glucose-1-phosphate uridylyltransferase	1084
YALI0E02090g	YALI0E02090g	0.514954635755238	KD	essential	phosphoglucomutase; phosphopentomutase	888; 907_EXP_2
YALI0C01411g	YALI0C01411g	0.511237138647835	KD		1,3-beta-glucan synthase	5_EXP_1
YALI0B21428g	YALI0B21428g	0.470572272330118	KD	essential	glutamine-fructose-6-phosphate transaminase	477
YALI0D03179g	YALI0D03179g	0.470572272330118	KD		chitin synthase	272_EXP_3
YALI0D20152g	YALI0D20152g	0.470572272330118	KD	essential	N-acetylglucosamine-6-phosphate synthase	760
YALI0E03146g	YALI0E03146g	0.470572272330118	KD	essential	UDP-N-acetylglucosamine diphosphorylase	1069
YALI0E29579g	YALI0E29579g	0.470572272330118	KD	essential	phosphoacetylglucosamine mutase; phosphoglucosamine mutase	882; 890
YALI0B20438g	YALI0B20438g	0.389695576622185	KD	essential	phosphoserine phosphatase (L-serine)	917
YALI0F06468g	YALI0F06468g	0.389695576622185	KD	essential	phosphoserine transaminase	918
YALI0F09966g	YALI0F09966g	0.389695576622185	KD	essential	phosphoglycerate dehydrogenase	891
YALI0E18634g	YALI0E18634g	0.316174754712236	KD		malic enzyme (NAD); malic enzyme (NADP)	718; 719
YALI0F04095g	YALI0F04095g	0.316174754712235	KD		isocitrate dehydrogenase; isocitrate dehydrogenase (NADP); isocitrate dehydrogenase (NADP+), peroxisomal	2131; 659; 661
YALI0E16346g	YALI0E16346g	0.203360261842758	KD		glycine hydroxymethyltransferase	502_EXP_2; 503_EXP_2
YALI0C00253g	YALI0C00253g	0.19905408709786	KD	essential	2-aceto-2-hydroxybutanoate synthase; phenylpyruvate decarboxylase; acetolactate synthase	16_EXP_1; 16_EXP_2; 854_EXP_2; 97_EXP_1; 97_EXP_2
YALI0C23408g	YALI0C23408g	0.19905408709786	KD	essential	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate); dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	352; 353
YALI0D03135g	YALI0D03135g	0.19905408709786	KD	essential	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate); acetohydroxy acid isomeroreductase	669; 96
YALI0D01089g	YALI0D01089g	0.187141839078191	KD	essential	homoserine dehydrogenase (NADP)	547
YALI0D11704g	YALI0D11704g	0.187141839078191	KD	essential	aspartate kinase	215
YALI0D13596g	YALI0D13596g	0.187141839078191	KD	essential	aspartate-semialdehyde dehydrogenase	219
YALI0F13453g	YALI0F13453g	0.170815811178878	KD	essential	homoserine kinase	548
YALI0F23221g	YALI0F23221g	0.170815811178878	KD	essential	threonine synthase; 4-hydroxy-L-threonine synthase	1041; 69
YALI0B15444g	YALI0B15444g	0.149025029815724	KD	essential	saccharopine dehydrogenase (NAD, L-lysine forming)	988
YALI0D10593g	YALI0D10593g	0.149025029815724	KD	essential	homoisocitrate dehydrogenase	545
YALI0D22891g	YALI0D22891g	0.149025029815724	KD	essential	saccharopine dehydrogenase (NADP, L-glutamate forming)	989
YALI0E02728g	YALI0E02728g	0.149025029815724	KD	essential	homoaconitase; homoacontinate hydratase	27; 542
YALI0E20977g	YALI0E20977g	0.149025029815724	KD		tryptophan transaminase; tyrosine transaminase; 2-aminoadipate transaminase; phenylalanine transaminase	1056; 1063; 18_EXP_2; 2117_EXP_2; 2119_EXP_2; 851
YALI0F31075g	YALI0F31075g	0.149025029815724	KD	essential	homocitrate synthase	1838; 543
