rxn_IDs	rxnNames	slope	grRules	rxn_formula
471	glutamate dehydrogenase (NADP)	2.64307107919536	YALI0F17820g	H+_p+1[c] + ammonium[c] + NADPH[c] + 2-oxoglutarate[c] + 0.00048387 prot_Q6C1A9[c] => H2O[c] + NADP(+)[c] + L-glutamate[c]
984	ribulose 5-phosphate 3-epimerase	1.51257962919701	YALI0C11880g	D-ribulose 5-phosphate[c] + 0.0058126 prot_Q6CC71[c] => D-xylulose 5-phosphate[c]
811	nucleoside-diphosphate kinase (ATP:UDP)	1.01652953337902	YALI0F09229g	UDP[c] + ATP[c] + 0.0022864 prot_Q6C2B5[c] => ADP[c] + UTP[c]
476	glutamine synthetase	0.937907966391312	YALI0F00506g	ATP[c] + ammonium[c] + L-glutamate[c] + 0.21461 prot_Q6C3E0[c] => H+_p+1[c] + L-glutamine[c] + ADP[c] + phosphate[c]
280_EXP_2	cis-aconitate(3-) to isocitrate	0.792168905882824	YALI0E14949g	H2O[m] + cis-aconitate[m] + 0.048851 prot_Q6C5V2[c] => isocitrate[m]
302_EXP_2	citrate to cis-aconitate(3-)	0.792168905882824	YALI0E14949g	citrate[m] + 0.68378 prot_Q6C5V2[c] => H2O[m] + cis-aconitate[m]
1084	UTP-glucose-1-phosphate uridylyltransferase	0.514954635755238	YALI0A02310g	H+_p+1[c] + UTP[c] + D-glucose 1-phosphate[c] + 0.16543 prot_Q6CI26[c] => UDP-D-glucose[c] + diphosphate[c]
888	phosphoglucomutase	0.514954635755238	YALI0E02090g	D-glucose 6-phosphate[c] + 2.0542 prot_Q6C7B8[c] => D-glucose 1-phosphate[c]
5_EXP_1	1,3-beta-glucan synthase	0.511237138647835	YALI0C01411g	UDP-D-glucose[c] + 1.1905 prot_Q6CDD3[c] => (1-3)-beta-D-glucan[en] + H+_p+1[c] + UDP[c]
1069	UDP-N-acetylglucosamine diphosphorylase	0.470572272330118	YALI0E03146g	H+_p+1[c] + UTP[c] + N-acetyl-alpha-D-glucosamine 1-phosphate[c] + 0.761 prot_Q6C776[c] => diphosphate[c] + UDP-N-acetyl-alpha-D-glucosamine[c]
272_EXP_3	chitin synthase	0.470572272330118	YALI0D03179g	UDP-N-acetyl-alpha-D-glucosamine[c] + 1.4878 prot_Q6CAF6[c] => H+_p+1[c] + UDP[c] + chitin_H2O(C8H13NO5)n[c]
