rxn_IDs	rxnNames	slope	grRules	rxn_formula
272_EXP_5	chitin synthase	0.0224833520966482	YALI0E10417g	UDP-N-acetyl-alpha-D-glucosamine[c] + 36.3523 prot_Q6C6D3[c] => H+_p+1[c] + UDP[c] + chitin_H2O(C8H13NO5)n[c]
714_REV	malate dehydrogenase, cytoplasmic (reversible)	0.00881114409308736	YALI0E14190g	H+_p+1[c] + NADH[c] + oxaloacetate[c] + 7.9158e-05 prot_Q6C5X9[c] => NAD[c] + (S)-malate[c]
449	fructose-bisphosphatase	0.00422601929240738	YALI0A15972g	H2O[c] + D-fructose 1,6-bisphosphate[c] + 2.0804 prot_Q6CGV1[c] => D-fructose 6-phosphate[c] + phosphate[c]
450_REV	fructose-bisphosphate aldolase (reversible)	0.00422601929240738	YALI0E26004g	dihydroxyacetone phosphate[c] + glyceraldehyde 3-phosphate[c] + 0.77654 prot_Q6C4K5[c] => D-fructose 1,6-bisphosphate[c]
739	mevalonate pyrophoshate decarboxylase	0.00375344865230426	YALI0F05632g	ATP[c] + (R)-5-diphosphomevalonic acid[c] + 0.21972 prot_Q6C2S1[c] => ADP[c] + phosphate[c] + isopentenyl diphosphate[c] + carbon dioxide[c]
904	phosphomevalonate kinase	0.00375344865230426	YALI0E06193g	ATP[c] + (R)-5-phosphomevalonic acid[c] + 0.18518 prot_Q6C6U3[c] => ADP[c] + (R)-5-diphosphomevalonic acid[c]
558	hydroxymethylglutaryl CoA reductase	0.00375344865230426	YALI0E04807g	2 H+_p+1[c] + 2 NADPH[c] + 3-hydroxy-3-methylglutaryl-CoA[c] + 2.1697 prot_Q6C704[c] => 2 NADP(+)[c] + (R)-mevalonate[c] + coenzyme A[c]
958	pyruvate carboxylase	0.00169219046654914	YALI0C24101g	pyruvate[c] + ATP[c] + bicarbonate[c] + 0.60369 prot_Q6CAV2[c] => H+_p+1[c] + ADP[c] + oxaloacetate[c] + phosphate[c]
811	nucleoside-diphosphate kinase (ATP:UDP)	0.00125219836304358	YALI0F09229g	UDP[c] + ATP[c] + 0.0022864 prot_Q6C2B5[c] => ADP[c] + UTP[c]
373	farnesyltranstransferase	0.00095997155171415	YALI0D17050g	isopentenyl diphosphate[c] + farnesyl diphosphate[c] + 9.4232 prot_Q6C8T9[c] => diphosphate[c] + geranylgeranyl diphosphate[c]
PSY	phytoene synthase	0.00095997155171415	CarRP	geranylgeranyl diphosphate[lp] + 248.7215 prot_Q9UUQ6[c] => 2 diphosphate[lp] + phytoene[lp]
CRTI	phytoene dehydrogenase (lumped)	0.00095997155171415	CarB	phytoene[lp] + 4 NAD[lp] + 41666.9841 prot_A0A168PH23[c] => lycopene[lp] + 4 NADH[lp]
LYCOPC	lycopene cyclase (lumped);	0.00095997155171415	CarRP	lycopene[lp] + 46.8153 prot_Q9UUQ6[c] => beta-carotene[lp]
355	dimethylallyltranstransferase	0.000931159033530038	YALI0E05753g	isopentenyl diphosphate[c] + prenyl diphosphate[c] + 0.33834 prot_Q6C6W3[c] => diphosphate[c] + geranyl diphosphate[c]
462	geranyltranstransferase	0.000931159033530038	YALI0E05753g	isopentenyl diphosphate[c] + geranyl diphosphate[c] + 0.40223 prot_Q6C6W3[c] => diphosphate[c] + farnesyl diphosphate[c]
667	isopentenyl-diphosphate D-isomerase	0.000931159033530038	YALI0F04015g	isopentenyl diphosphate[c] + 0.0002822 prot_Q6C2Y8[c] => prenyl diphosphate[c]
974_EXP_3	ribonucleotide reductase	0.000816513287892524	YALI0B03630g	ADP[c] + TRX1[c] + 3.0327 prot_Q6CFU6[c] => H2O[c] + dADP[c] + TRX1-disulphide[c]
1084	UTP-glucose-1-phosphate uridylyltransferase	0.000634340007605055	YALI0A02310g	H+_p+1[c] + UTP[c] + D-glucose 1-phosphate[c] + 0.16543 prot_Q6CI26[c] => UDP-D-glucose[c] + diphosphate[c]
888	phosphoglucomutase	0.000634340007605055	YALI0E02090g	D-glucose 6-phosphate[c] + 2.0542 prot_Q6C7B8[c] => D-glucose 1-phosphate[c]
1069	UDP-N-acetylglucosamine diphosphorylase	0.000579668184501011	YALI0E03146g	H+_p+1[c] + UTP[c] + N-acetyl-alpha-D-glucosamine 1-phosphate[c] + 0.761 prot_Q6C776[c] => diphosphate[c] + UDP-N-acetyl-alpha-D-glucosamine[c]
477	glutamine-fructose-6-phosphate transaminase	0.000579668184501011	YALI0B21428g	L-glutamine[c] + D-fructose 6-phosphate[c] + 0.60144 prot_Q6CDT1[c] => L-glutamate[c] + alpha-D-glucosamine 6-phosphate[c]
760	N-acetylglucosamine-6-phosphate synthase	0.000579668184501011	YALI0D20152g	alpha-D-glucosamine 6-phosphate[c] + acetyl-CoA[c] + 0.13893 prot_Q6C8F2[c] => H+_p+1[c] + coenzyme A[c] + N-acetyl-D-glucosamine 6-phosphate[c]
882	phosphoacetylglucosamine mutase	0.000579668184501011	YALI0E29579g	N-acetyl-D-glucosamine 6-phosphate[c] + 1.1545 prot_Q6C454[c] => N-acetyl-alpha-D-glucosamine 1-phosphate[c]
891	phosphoglycerate dehydrogenase	0.000496959474350422	YALI0F09966g	NAD[c] + 3-phosphoglycerate[c] + 1.2337 prot_Q6C284[c] => H+_p+1[c] + NADH[c] + 3-phospho-hydroxypyruvate[c]
917	phosphoserine phosphatase (L-serine)	0.000496959474350422	YALI0B20438g	H2O[c] + 3-phospho-serine[c] + 0.082307 prot_Q6CDX6[c] => phosphate[c] + L-serine[c]
918	phosphoserine transaminase	0.000496959474350422	YALI0F06468g	L-glutamate[c] + 3-phospho-hydroxypyruvate[c] + 0.96798 prot_Q6C2N1[c] => 2-oxoglutarate[c] + 3-phospho-serine[c]
2131	isocitrate dehydrogenase	0.000390193348882584	YALI0F04095g	NADP(+)[m] + isocitrate[m] + 0.17888 prot_Q6C2Y4[c] => NADPH[m] + 2-oxoglutarate[m] + carbon dioxide[m]
718	malic enzyme (NAD)	0.000389475659374475	YALI0E18634g	NAD[m] + (S)-malate[m] + 0.14314 prot_Q6C5F0[c] => pyruvate[m] + NADH[m] + carbon dioxide[m]
352	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)	0.000245919814814382	YALI0C23408g	(R)-2,3-dihydroxy-3-methylbutanoate[m] + 1.4783 prot_Q6CAY2[c] => H2O[m] + 3-methyl-2-oxobutanoate[m]
96	acetohydroxy acid isomeroreductase	0.000245919814814382	YALI0D03135g	2-acetyllactic acid[m] + NADPH[m] + H+_p+1[m] + 12.517 prot_Q6CAF8[c] => (R)-2,3-dihydroxy-3-methylbutanoate[m] + NADP(+)[m]
800	nucleoside diphosphate kinase	0.000237830521134932	YALI0F09229g	ATP[c] + GDP[c] + 0.0022864 prot_Q6C2B5[c] => ADP[c] + GTP[c]
