gene_IDs	gene_names	slope	action	essentiality	rxnNames	rxnIDs
YALI0E00638g	YALI0E00638g	5.13225145917531	OE		2-methylcitrate synthase; citrate synthase; citrate synthase, peroxisomal	28_EXP_1; 300_EXP_1; 301_EXP_1
YALI0B15598g	YALI0B15598g	3.27847926569589	OE	essential	phosphogluconate dehydrogenase	889
YALI0E11671g	YALI0E11671g	3.27847926569589	OE		6-phosphogluconolactonase	91_EXP_2
YALI0E22649g	YALI0E22649g	3.27847926569589	OE	essential	glucose 6-phosphate dehydrogenase	466
YALI0F07711g	YALI0F07711g	2.65843001171382	OE	essential	glucose-6-phosphate isomerase	467
YALI0F09185g	YALI0F09185g	2.42193685847299	OE	essential	pyruvate kinase	962
YALI0C11880g	YALI0C11880g	2.35000084836747	OE	essential	ribulose 5-phosphate 3-epimerase	984
YALI0B02728g	YALI0B02728g	2.25928687441131	OE	essential	diphosphoglyceromutase; phosphoglycerate mutase	356; 893
YALI0F16819g	YALI0F16819g	2.25928687441131	OE	essential	enolase	366
YALI0F13541g	YALI0F13541g	1.86276550968917	KD		inorganic diphosphatase	568_EXP_2; 569_EXP_2
YALI0C06369g	YALI0C06369g	1.77842322418312	OE	essential	glyceraldehyde-3-phosphate dehydrogenase	486
YALI0D12400g	YALI0D12400g	1.77842322418312	OE	essential	phosphoglycerate kinase	892
YALI0E06479g	YALI0E06479g	1.17500042418373	OE	essential	transketolase 1; transketolase 2	1049; 1050
YALI0B06941g	YALI0B06941g	0.928478417328425	OE	essential	ribose-5-phosphate isomerase	982
YALI0E14949g	YALI0E14949g	0.905326596177588	KD		cis-aconitate(3-) to isocitrate; citrate to cis-aconitate(3-)	2305_EXP_2; 280_EXP_2; 302_EXP_2
YALI0F09229g	YALI0F09229g	0.719954683551494	KD	essential	nucleoside diphosphate kinase; nucleoside-diphosphate kinase (ATP:UDP)	795; 796; 797; 798; 799; 800; 801; 802; 803; 811
YALI0A02310g	YALI0A02310g	0.613298363799031	KD		UTP-glucose-1-phosphate uridylyltransferase	1084
YALI0E02090g	YALI0E02090g	0.613298363799031	KD	essential	phosphoglucomutase; phosphopentomutase	888; 907_EXP_2
YALI0C01411g	YALI0C01411g	0.608870915757799	KD		1,3-beta-glucan synthase	5_EXP_1
YALI0B21428g	YALI0B21428g	0.560440055551666	KD	essential	glutamine-fructose-6-phosphate transaminase	477
YALI0D03179g	YALI0D03179g	0.560440055551666	KD		chitin synthase	272_EXP_3
YALI0D20152g	YALI0D20152g	0.560440055551666	KD	essential	N-acetylglucosamine-6-phosphate synthase	760
YALI0E03146g	YALI0E03146g	0.560440055551666	KD	essential	UDP-N-acetylglucosamine diphosphorylase	1069
YALI0E29579g	YALI0E29579g	0.560440055551666	KD	essential	phosphoacetylglucosamine mutase; phosphoglucosamine mutase	882; 890
YALI0B20438g	YALI0B20438g	0.480863650228195	KD	essential	phosphoserine phosphatase (L-serine)	917
YALI0F06468g	YALI0F06468g	0.480863650228195	KD	essential	phosphoserine transaminase	918
YALI0F09966g	YALI0F09966g	0.480863650228195	KD	essential	phosphoglycerate dehydrogenase	891
YALI0B00704g	YALI0B00704g	0.470240161163806	KD	essential	adenylate kinase	148
YALI0C05951g	YALI0C05951g	0.467208420945897	OE	essential	palmitoyl-CoA desaturase (n-C16:0CoA - n-C16:1CoA), ER membrane; stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane; oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane	2182; 2183; yli0009
YALI0C06776g	YALI0C06776g	0.404072740561569	KD	essential	fumarase; fumarase, cytoplasmic	451; 452
YALI0F04095g	YALI0F04095g	0.37655639210857	KD		isocitrate dehydrogenase; isocitrate dehydrogenase (NADP); isocitrate dehydrogenase (NADP+), peroxisomal	2131; 659; 661
YALI0E18634g	YALI0E18634g	0.376556392108569	KD		malic enzyme (NAD); malic enzyme (NADP)	718; 719
YALI0E16346g	YALI0E16346g	0.276404615777655	KD		glycine hydroxymethyltransferase	502_EXP_2; 503_EXP_2
YALI0D07986g	YALI0D07986g	0.267432696926651	OE		diacylglycerol acyltransferase	336u_1_EXP_2; 336u_EXP_2
YALI0D27016g	YALI0D27016g	0.267432696926651	OE		diacylglycerol pyrophosphate phosphatase	337u
YALI0C00209g	YALI0C00209g	0.24484948468012	OE	essential	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase	493; 494; 495; 496
YALI0F19514g	YALI0F19514g	0.24484948468012	OE		1-acyl-sn-gylcerol-3-phosphate acyltransferase	8u_EXP_2
YALI0C00253g	YALI0C00253g	0.237068544388547	KD	essential	2-aceto-2-hydroxybutanoate synthase; phenylpyruvate decarboxylase; acetolactate synthase	16_EXP_1; 16_EXP_2; 854_EXP_2; 97_EXP_1; 97_EXP_2
YALI0C23408g	YALI0C23408g	0.237068544388547	KD	essential	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate); dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	352; 353
YALI0D03135g	YALI0D03135g	0.237068544388547	KD	essential	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate); acetohydroxy acid isomeroreductase	669; 96
YALI0F30745g	YALI0F30745g	0.199675520198112	KD		formate-tetrahydrofolate ligase; methenyltetrahydrifikate cyclohydrolase; methenyltetrahydrofolate cyclohydrolase; methylenetetrahydrofolate dehydrogenase (NADP)	446_EXP_2; 447_EXP_2; 724_EXP_2; 725_EXP_2; 732_EXP_2; 733_EXP_2
