rxn_IDs	rxnNames	slope	grRules	rxn_formula
300_EXP_1	citrate synthase	5.13225145917531	YALI0E00638g	H2O[m] + acetyl-CoA[m] + oxaloacetate[m] + 0.084794 prot_Q6C7I2[c] => H+_p+1[m] + citrate[m] + coenzyme A[m]
466	glucose 6-phosphate dehydrogenase	3.27847926569589	YALI0E22649g	D-glucose 6-phosphate[c] + NADP(+)[c] + 0.19044 prot_Q6C4Y7[c] => H+_p+1[c] + 6-O-phosphono-D-glucono-1,5-lactone[c] + NADPH[c]
889	phosphogluconate dehydrogenase	3.27847926569589	YALI0B15598g	6-phospho-D-gluconate[c] + NADP(+)[c] + 0.20391 prot_Q6CEH4[c] => NADPH[c] + carbon dioxide[c] + D-ribulose 5-phosphate[c]
91_EXP_2	6-phosphogluconolactonase	3.27847926569589	YALI0E11671g	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] + 0.46735 prot_Q6C682[c] => H+_p+1[c] + 6-phospho-D-gluconate[c]
467_REV	glucose-6-phosphate isomerase (reversible)	2.65843001171382	YALI0F07711g	D-fructose 6-phosphate[c] + 0.026471 prot_Q6C2I1[c] => D-glucose 6-phosphate[c]
962	pyruvate kinase	2.42193685847299	YALI0F09185g	H+_p+1[c] + phosphoenolpyruvate[c] + ADP[c] + 0.06785 prot_P30614[c] => pyruvate[c] + ATP[c]
984	ribulose 5-phosphate 3-epimerase	2.35000084836747	YALI0C11880g	D-ribulose 5-phosphate[c] + 0.0058126 prot_Q6CC71[c] => D-xylulose 5-phosphate[c]
366	enolase	2.25928687441131	YALI0F16819g	2-phospho-D-glyceric acid[c] + 0.50396 prot_Q6C1F3[c] => phosphoenolpyruvate[c] + H2O[c]
893	phosphoglycerate mutase	2.25928687441131	YALI0B02728g	3-phosphoglycerate[c] + 0.014444 prot_Q6CFX7[c] => 2-phospho-D-glyceric acid[c]
569_EXP_2	inorganic diphosphatase	1.86276550968917	YALI0F13541g	diphosphate[m] + H2O[m] + 0.034338 prot_Q6C1T4[c] => H+_p+1[m] + 2 phosphate[m]
486	glyceraldehyde-3-phosphate dehydrogenase	1.77842322418312	YALI0C06369g	NAD[c] + phosphate[c] + glyceraldehyde 3-phosphate[c] + 0.071732 prot_Q6CCU7[c] => H+_p+1[c] + NADH[c] + 1,3-bisphospho-D-glycerate[c]
892	phosphoglycerate kinase	1.77842322418312	YALI0D12400g	ADP[c] + 1,3-bisphospho-D-glycerate[c] + 0.012913 prot_P29407[c] => ATP[c] + 3-phosphoglycerate[c]
1050	transketolase 2	1.21566223213646	YALI0E06479g	D-erythrose 4-phosphate[c] + D-xylulose 5-phosphate[c] + 1.4481 prot_Q6C6T4[c] => D-fructose 6-phosphate[c] + glyceraldehyde 3-phosphate[c]
811	nucleoside-diphosphate kinase (ATP:UDP)	1.21066178705316	YALI0F09229g	UDP[c] + ATP[c] + 0.0022864 prot_Q6C2B5[c] => ADP[c] + UTP[c]
1049	transketolase 1	1.134338616231	YALI0E06479g	ribose-5-phosphate[c] + D-xylulose 5-phosphate[c] + 0.37347 prot_Q6C6T4[c] => glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c]
982	ribose-5-phosphate isomerase	0.928478417328425	YALI0B06941g	D-ribulose 5-phosphate[c] + 0.00018238 prot_Q6CFH4[c] => ribose-5-phosphate[c]
280_EXP_2	cis-aconitate(3-) to isocitrate	0.905326596177588	YALI0E14949g	H2O[m] + cis-aconitate[m] + 0.048851 prot_Q6C5V2[c] => isocitrate[m]
302_EXP_2	citrate to cis-aconitate(3-)	0.905326596177588	YALI0E14949g	citrate[m] + 0.68378 prot_Q6C5V2[c] => H2O[m] + cis-aconitate[m]
1084	UTP-glucose-1-phosphate uridylyltransferase	0.613298363799031	YALI0A02310g	H+_p+1[c] + UTP[c] + D-glucose 1-phosphate[c] + 0.16543 prot_Q6CI26[c] => UDP-D-glucose[c] + diphosphate[c]
888	phosphoglucomutase	0.613298363799031	YALI0E02090g	D-glucose 6-phosphate[c] + 2.0542 prot_Q6C7B8[c] => D-glucose 1-phosphate[c]
5_EXP_1	1,3-beta-glucan synthase	0.608870915757799	YALI0C01411g	UDP-D-glucose[c] + 1.1905 prot_Q6CDD3[c] => (1-3)-beta-D-glucan[en] + H+_p+1[c] + UDP[c]
1069	UDP-N-acetylglucosamine diphosphorylase	0.560440055551666	YALI0E03146g	H+_p+1[c] + UTP[c] + N-acetyl-alpha-D-glucosamine 1-phosphate[c] + 0.761 prot_Q6C776[c] => diphosphate[c] + UDP-N-acetyl-alpha-D-glucosamine[c]
