gene_IDs	gene_names	slope	action	essentiality	rxnNames	rxnIDs
YALI0E00638g	YALI0E00638g	5.17666721043368	OE		2-methylcitrate synthase; citrate synthase; citrate synthase, peroxisomal	28_EXP_1; 300_EXP_1; 301_EXP_1
YALI0B15598g	YALI0B15598g	3.72368140258057	OE	essential	phosphogluconate dehydrogenase	889
YALI0E11671g	YALI0E11671g	3.72368140258057	OE		6-phosphogluconolactonase	91_EXP_2
YALI0E22649g	YALI0E22649g	3.72368140258057	OE	essential	glucose 6-phosphate dehydrogenase	466
YALI0F17820g	YALI0F17820g	3.48759135665335	KD		glutamate dehydrogenase (NADP)	471
YALI0F07711g	YALI0F07711g	3.03670771124763	OE	essential	glucose-6-phosphate isomerase	467
YALI0C11880g	YALI0C11880g	2.65805881083423	OE	essential	ribulose 5-phosphate 3-epimerase	984
YALI0F13541g	YALI0F13541g	2.15828620405556	KD		inorganic diphosphatase	568_EXP_2; 569_EXP_2
YALI0E06479g	YALI0E06479g	1.36805919789834	OE	essential	transketolase 1; transketolase 2	1049; 1050
YALI0F00506g	YALI0F00506g	1.28553089854578	KD	essential	glutamine synthetase	476
YALI0E14949g	YALI0E14949g	1.02387696633832	KD		cis-aconitate(3-) to isocitrate; citrate to cis-aconitate(3-)	2305_EXP_2; 280_EXP_2; 302_EXP_2
YALI0F09229g	YALI0F09229g	0.797662320198932	KD	essential	nucleoside diphosphate kinase; nucleoside-diphosphate kinase (ATP:UDP)	795; 796; 797; 798; 799; 800; 801; 802; 803; 811
YALI0A02310g	YALI0A02310g	0.679494150144182	KD		UTP-glucose-1-phosphate uridylyltransferase	1084
YALI0E02090g	YALI0E02090g	0.679494150144182	KD	essential	phosphoglucomutase; phosphopentomutase	888; 907_EXP_2
YALI0C01411g	YALI0C01411g	0.674588829631913	KD		1,3-beta-glucan synthase	5_EXP_1
YALI0B21428g	YALI0B21428g	0.620930629742598	KD	essential	glutamine-fructose-6-phosphate transaminase	477
YALI0D03179g	YALI0D03179g	0.620930629742598	KD		chitin synthase	272_EXP_3
YALI0D20152g	YALI0D20152g	0.620930629742598	KD	essential	N-acetylglucosamine-6-phosphate synthase	760
YALI0E03146g	YALI0E03146g	0.620930629742598	KD	essential	UDP-N-acetylglucosamine diphosphorylase	1069
YALI0E29579g	YALI0E29579g	0.620930629742598	KD	essential	phosphoacetylglucosamine mutase; phosphoglucosamine mutase	882; 890
YALI0C05951g	YALI0C05951g	0.594943433498148	OE	essential	palmitoyl-CoA desaturase (n-C16:0CoA - n-C16:1CoA), ER membrane; stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane; oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane	2182; 2183; yli0009
YALI0B20438g	YALI0B20438g	0.514212022314349	KD	essential	phosphoserine phosphatase (L-serine)	917
YALI0F06468g	YALI0F06468g	0.514212022314349	KD	essential	phosphoserine transaminase	918
YALI0F09966g	YALI0F09966g	0.514212022314349	KD	essential	phosphoglycerate dehydrogenase	891
YALI0C06776g	YALI0C06776g	0.506117044881762	KD	essential	fumarase; fumarase, cytoplasmic	451; 452
YALI0E18634g	YALI0E18634g	0.417199654752408	KD		malic enzyme (NAD); malic enzyme (NADP)	718; 719
YALI0F04095g	YALI0F04095g	0.417199654752408	KD		isocitrate dehydrogenase; isocitrate dehydrogenase (NADP); isocitrate dehydrogenase (NADP+), peroxisomal	2131; 659; 661
YALI0D27016g	YALI0D27016g	0.293617359998747	OE		diacylglycerol pyrophosphate phosphatase	337u
YALI0D07986g	YALI0D07986g	0.286564501080216	OE		diacylglycerol acyltransferase	336u_1_EXP_2; 336u_EXP_2
YALI0C00253g	YALI0C00253g	0.262656316409153	KD	essential	2-aceto-2-hydroxybutanoate synthase; phenylpyruvate decarboxylase; acetolactate synthase	16_EXP_1; 16_EXP_2; 854_EXP_2; 97_EXP_1; 97_EXP_2
YALI0C23408g	YALI0C23408g	0.262656316409153	KD	essential	dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate); dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)	352; 353
YALI0D03135g	YALI0D03135g	0.262656316409153	KD	essential	ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate); acetohydroxy acid isomeroreductase	669; 96
YALI0C00209g	YALI0C00209g	0.261543790808477	OE	essential	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase	493; 494; 495; 496
YALI0D17534g	YALI0D17534g	0.261543790808477	OE		triacylglycerol lipase; 1-acyl-sn-gylcerol-3-phosphate acyltransferase	1053u_EXP_1; 9u_EXP_3
YALI0D01089g	YALI0D01089g	0.246937838930915	KD	essential	homoserine dehydrogenase (NADP)	547
YALI0D11704g	YALI0D11704g	0.246937838930915	KD	essential	aspartate kinase	215
YALI0D13596g	YALI0D13596g	0.246937838930915	KD	essential	aspartate-semialdehyde dehydrogenase	219
YALI0C16885g	YALI0C16885g	0.241099362142795	KD		isocitrate lyase; methylisocitrate lyase	662_EXP_1; 734_EXP_1
YALI0E16643g	YALI0E16643g	0.241099362142795	KD		alanine glyoxylate aminotransferase; L-Serine:pyruvate aminotransferase; L-Serine:glyoxylate aminotransferase	156; R00585; R00588
YALI0F13453g	YALI0F13453g	0.228385338688851	KD	essential	homoserine kinase	548
YALI0F23221g	YALI0F23221g	0.228385338688851	KD	essential	threonine synthase; 4-hydroxy-L-threonine synthase	1041; 69
