rxn_IDs	rxnNames	slope	grRules	rxn_formula
300_EXP_2	citrate synthase	0.209050071027622	YALI0E02684g	H2O[m] + acetyl-CoA[m] + oxaloacetate[m] + 0.48039 prot_Q6C793[c] => H+_p+1[m] + citrate[m] + coenzyme A[m]
466	glucose 6-phosphate dehydrogenase	0.147165706037237	YALI0E22649g	D-glucose 6-phosphate[c] + NADP(+)[c] + 0.19044 prot_Q6C4Y7[c] => H+_p+1[c] + 6-O-phosphono-D-glucono-1,5-lactone[c] + NADPH[c]
889	phosphogluconate dehydrogenase	0.147165706037237	YALI0B15598g	6-phospho-D-gluconate[c] + NADP(+)[c] + 0.20391 prot_Q6CEH4[c] => NADPH[c] + carbon dioxide[c] + D-ribulose 5-phosphate[c]
91_EXP_1	6-phosphogluconolactonase	0.147165706037237	YALI0C19085g	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] + 0.52739 prot_Q6CBG4[c] => H+_p+1[c] + 6-phospho-D-gluconate[c]
467_REV	glucose-6-phosphate isomerase (reversible)	0.121469196679731	YALI0F07711g	D-fructose 6-phosphate[c] + 0.026471 prot_Q6C2I1[c] => D-glucose 6-phosphate[c]
984	ribulose 5-phosphate 3-epimerase	0.104901356938978	YALI0C11880g	D-ribulose 5-phosphate[c] + 0.0058126 prot_Q6CC71[c] => D-xylulose 5-phosphate[c]
962	pyruvate kinase	0.096818045246305	YALI0F09185g	H+_p+1[c] + phosphoenolpyruvate[c] + ADP[c] + 0.06785 prot_P30614[c] => pyruvate[c] + ATP[c]
366	enolase	0.0900773922898038	YALI0F16819g	2-phospho-D-glyceric acid[c] + 0.50396 prot_Q6C1F3[c] => phosphoenolpyruvate[c] + H2O[c]
893	phosphoglycerate mutase	0.0900773922898038	YALI0B02728g	3-phosphoglycerate[c] + 0.014444 prot_Q6CFX7[c] => 2-phospho-D-glyceric acid[c]
569_EXP_1	inorganic diphosphatase	0.0770362211727875	YALI0C11803g	diphosphate[m] + H2O[m] + 0.035078 prot_Q6CC75[c] => H+_p+1[m] + 2 phosphate[m]
486	glyceraldehyde-3-phosphate dehydrogenase	0.0702370456443777	YALI0C06369g	NAD[c] + phosphate[c] + glyceraldehyde 3-phosphate[c] + 0.071732 prot_Q6CCU7[c] => H+_p+1[c] + NADH[c] + 1,3-bisphospho-D-glycerate[c]
892	phosphoglycerate kinase	0.0702370456443777	YALI0D12400g	ADP[c] + 1,3-bisphospho-D-glycerate[c] + 0.012913 prot_P29407[c] => ATP[c] + 3-phosphoglycerate[c]
1050	transketolase 2	0.0541358417086141	YALI0E06479g	D-erythrose 4-phosphate[c] + D-xylulose 5-phosphate[c] + 1.4481 prot_Q6C6T4[c] => D-fructose 6-phosphate[c] + glyceraldehyde 3-phosphate[c]
1048	transaldolase	0.0507655152303635	YALI0F15587g	glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c] + 0.76323 prot_Q6C1K2[c] => D-erythrose 4-phosphate[c] + D-fructose 6-phosphate[c]
1049	transketolase 1	0.0507655152303635	YALI0E06479g	ribose-5-phosphate[c] + D-xylulose 5-phosphate[c] + 0.37347 prot_Q6C6T4[c] => glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c]
811	nucleoside-diphosphate kinase (ATP:UDP)	0.0501730817946374	YALI0F09229g	UDP[c] + ATP[c] + 0.0022864 prot_Q6C2B5[c] => ADP[c] + UTP[c]
982	ribose-5-phosphate isomerase	0.0422643490982598	YALI0B06941g	D-ribulose 5-phosphate[c] + 0.00018238 prot_Q6CFH4[c] => ribose-5-phosphate[c]
280_EXP_1	cis-aconitate(3-) to isocitrate	0.0360908514700782	YALI0D09361g	H2O[m] + cis-aconitate[m] + 0.076375 prot_Q6C9P6[c] => isocitrate[m]
302_EXP_1	citrate to cis-aconitate(3-)	0.0360908514700782	YALI0D09361g	citrate[m] + 1.0354 prot_Q6C9P6[c] => H2O[m] + cis-aconitate[m]
1084	UTP-glucose-1-phosphate uridylyltransferase	0.0254167343022406	YALI0A02310g	H+_p+1[c] + UTP[c] + D-glucose 1-phosphate[c] + 0.16543 prot_Q6CI26[c] => UDP-D-glucose[c] + diphosphate[c]
888	phosphoglucomutase	0.0254167343022406	YALI0E02090g	D-glucose 6-phosphate[c] + 2.0542 prot_Q6C7B8[c] => D-glucose 1-phosphate[c]
5_EXP_2	1,3-beta-glucan synthase	0.0252332489431669	YALI0E21021g	UDP-D-glucose[c] + 22.6894 prot_Q6C549[c] => (1-3)-beta-D-glucan[en] + H+_p+1[c] + UDP[c]
2183	stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane	0.0240043166755785	YALI0C05951g	stearoyl-CoA[em] + oxygen[em] + NADH[em] + H+_p+1[em] + 7.2744 prot_Q6CCW6[c] => 2 H2O[em] + NAD[em] + oleoyl-CoA[em]
1069	UDP-N-acetylglucosamine diphosphorylase	0.0232261437908506	YALI0E03146g	H+_p+1[c] + UTP[c] + N-acetyl-alpha-D-glucosamine 1-phosphate[c] + 0.761 prot_Q6C776[c] => diphosphate[c] + UDP-N-acetyl-alpha-D-glucosamine[c]
272_EXP_5	chitin synthase	0.0232261437908506	YALI0E10417g	UDP-N-acetyl-alpha-D-glucosamine[c] + 36.3523 prot_Q6C6D3[c] => H+_p+1[c] + UDP[c] + chitin_H2O(C8H13NO5)n[c]
477	glutamine-fructose-6-phosphate transaminase	0.0232261437908506	YALI0B21428g	L-glutamine[c] + D-fructose 6-phosphate[c] + 0.60144 prot_Q6CDT1[c] => L-glutamate[c] + alpha-D-glucosamine 6-phosphate[c]
760	N-acetylglucosamine-6-phosphate synthase	0.0232261437908506	YALI0D20152g	alpha-D-glucosamine 6-phosphate[c] + acetyl-CoA[c] + 0.13893 prot_Q6C8F2[c] => H+_p+1[c] + coenzyme A[c] + N-acetyl-D-glucosamine 6-phosphate[c]
882	phosphoacetylglucosamine mutase	0.0232261437908506	YALI0E29579g	N-acetyl-D-glucosamine 6-phosphate[c] + 1.1545 prot_Q6C454[c] => N-acetyl-alpha-D-glucosamine 1-phosphate[c]
1063	tyrosine transaminase	0.0231057049464074	YALI0E20977g	L-glutamate[c] + 3-(4-hydroxyphenyl)pyruvate[c] + 0.073979 prot_Q6C551[c] => 2-oxoglutarate[c] + L-tyrosine[c]
2119_REV_EXP_2	tyrosine transaminase (reversible)	0.0220015296412645	YALI0E20977g	pyruvate[c] + L-tyrosine[c] + 0.026971 prot_Q6C551[c] => L-alanine[c] + 3-(4-hydroxyphenyl)pyruvate[c]
891	phosphoglycerate dehydrogenase	0.019840346645426	YALI0F09966g	NAD[c] + 3-phosphoglycerate[c] + 1.2337 prot_Q6C284[c] => H+_p+1[c] + NADH[c] + 3-phospho-hydroxypyruvate[c]
917	phosphoserine phosphatase (L-serine)	0.019840346645426	YALI0B20438g	H2O[c] + 3-phospho-serine[c] + 0.082307 prot_Q6CDX6[c] => phosphate[c] + L-serine[c]
918	phosphoserine transaminase	0.019840346645426	YALI0F06468g	L-glutamate[c] + 3-phospho-hydroxypyruvate[c] + 0.96798 prot_Q6C2N1[c] => 2-oxoglutarate[c] + 3-phospho-serine[c]
148	adenylate kinase	0.0193353963321463	YALI0B00704g	ATP[c] + AMP[c] + 0.0087231 prot_Q6CG57[c] => 2 ADP[c]
452	fumarase, cytoplasmic	0.0166595712179245	YALI0C06776g	fumarate[c] + H2O[c] + 0.012784 prot_Q6CCT2[c] => (S)-malate[c]
718	malic enzyme (NAD)	0.0156055100306285	YALI0E18634g	NAD[m] + (S)-malate[m] + 0.14314 prot_Q6C5F0[c] => pyruvate[m] + NADH[m] + carbon dioxide[m]
502_EXP_1	glycine hydroxymethyltransferase	0.0113954666877214	YALI0D22484g	L-serine[c] + THF[c] + 0.023004 prot_Q6C859[c] => 5,10-methylenetetrahydrofolate[c] + L-glycine[c] + H2O[c]
337u	diacylglycerol pyrophosphate phosphatase	0.0107420176014572	YALI0D27016g	H2O[em] + phosphatidate_ActiveX VT_ERROR:[em] + 0.062262 prot_Q6C7L9[c] => phosphate[em] + diglyceride_ActiveX VT_ERROR:[em]
336u_1_EXP_1	diacylglycerol acyltransferase	0.010723673330655	YALI0E32769g	diglyceride_ActiveX VT_ERROR:[em] + acyl-CoA[em] + 17.4484 prot_Q6C3R2[c] => triglyceride_ActiveX VT_ERROR:[em] + coenzyme A[em]
495	glycerol-3-phosphate/dihydroxyacetone phosphate acyltransferase	0.00980610852780933	YALI0C00209g	acyl-CoA[em] + glycerol 3-phosphate[em] + 10.9063 prot_Q6CDI7[c] => coenzyme A[em] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[em]
8u_EXP_1	1-acyl-sn-gylcerol-3-phosphate acyltransferase	0.00980610852780933	YALI0E18964g	acyl-CoA[em] + 1-acyl-sn-glycerol 3-phosphate_ActiveX VT_ERROR:[em] + 0.61254 prot_Q6C5D5[c] => coenzyme A[em] + phosphatidate_ActiveX VT_ERROR:[em]
490	glycerol-3-phosphate dehydrogenase (fad)	0.00977441530314977	YALI0B13970g	FAD[m] + glycerol 3-phosphate[m] + 0.0069561 prot_Q6CEQ0[c] => dihydroxyacetone phosphate[m] + FADH2[m]
800	nucleoside diphosphate kinase	0.00947040213163042	YALI0F09229g	ATP[c] + GDP[c] + 0.0022864 prot_Q6C2B5[c] => ADP[c] + GTP[c]
732_EXP_1	methylenetetrahydrofolate dehydrogenase (NADP)	0.00821560654293625	YALI0E01056g	5,10-methylenetetrahydrofolate[c] + NADP(+)[c] + 4.9779 prot_F2Z650[c] => 5,10-methenyl-THF[c] + NADPH[c]
