protID,geneID,absUsage,capUsage,kcat,source,rxnID,rxnNames,grRules
Q6CGV2,YALI0A15950g,0.807297273004473,0.953945280965094,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CGV2,YALI0A15950g,0.0156464647214683,0.0184886926835295,35,brenda,536,"histidinol dehydrogenase",YALI0A15950g
Q6CGV2,YALI0A15950g,0.0156464647214683,0.0184886926835295,35,brenda,909,"phosphoribosyl-AMP cyclohydrolase",YALI0A15950g
Q6CGV2,YALI0A15950g,0.776004343561555,0.916967895598035,0.7057,DLKcat,910,"phosphoribosyl-ATP pyrophosphatase",YALI0A15950g
Q6CGV1,YALI0A15972g,1.97908750467105,0.975979728927995,4.9,brenda,449,"fructose-bisphosphatase",YALI0A15972g
Q6CGM4,YALI0A18062g,0.0996662174100685,0.953945280965134,1.38,custom,233,"C-22 sterol desaturase (NADP)",YALI0A18062g
Q6CG63,YALI0B00572g,0.228235941501297,0.953790472999597,3.4713,DLKcat,80_EXP_2,"5,10-methylenetetrahydrofolate reductase (NADPH)",YALI0B00572g
Q6CG29,YALI0B01364g,0.267048868316154,0.954670272429951,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CG29,YALI0B01364g,1.21258834606113e-06,4.33486969624263e-06,73.7764,DLKcat,23,"2-isopropylmalate hydratase",YALI0B01364g
Q6CG29,YALI0B01364g,0.242689420653782,0.867587931723141,7.3975,DLKcat,23_REV,"2-isopropylmalate hydratase (reversible)",YALI0B01364g
Q6CG29,YALI0B01364g,2.0657038599952e-05,7.38466363559558e-05,16.138,DLKcat,60,"3-isopropylmalate dehydratase",YALI0B01364g
Q6CG29,YALI0B01364g,0.0243375780354208,0.0870041592007576,73.7764,DLKcat,60_REV,"3-isopropylmalate dehydratase (reversible)",YALI0B01364g
Q6CFF6,YALI0B07447g,0.101485806537885,0.968297005566475,13.79,brenda,25,"2-isopropylmalate synthase",YALI0B07447g
P34229,YALI0B15059g,0.285635997313172,0.957897820625441,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
