UniProt_Entry	PARe.1	PARe.2	PARe.3	PARn.1	PARn.2	PARn.3	CARe.1	CARe.2	CARe.3	CARn.1	CARn.2	CARn.3	OBEe.1	OBEe.2	OBEe.3	OBEn.1	OBEn.2	OBEn.3
Q6C0U9	0.000553835	0.000552012	0.000682046	0.000602112	0.000643589	0.000798062	0.000594761	0.000577467	0.000492442	0.000679619	0.000782491	0.000600924	0.000592588	0.000542854	0.000688765	0.0008942	0.00091122	0.000861664
Q6C0V2	0.061602025	0.061019665	0.071641403	0.04255198	0.033739351	0.035430731	0.071830229	0.085357958	0.081164563	0.043347644	0.036723024	0.037872886	0.063418126	0.07519099	0.066529858	0.045878708	0.043095833	0.040582261
F2Z694	0.183804123	0.164939541	0.171435923	0.102170458	0.058925089	0.081055852	0.10926293	0.104866372	0.091453068	0.059979585	0.068849276	0.055326939	0.206078569	0.182758057	0.168130729	0.04131631	0.073670493	0.08269842
F2Z5Z3	1.070829128	0.981618732	1.057409606	0.203774294	0.279424681	0.262741817	0.977316176	1.024741186	0.966594444	0.221908872	0.224432675	0.359508399	1.007206381	0.876893496	0.79505996	0.12685933	0.168040834	0.176633109
Q6CC11	0.007553015	0.007643186	0.008801734	0.006086988	0.005175497	0.005989535	0.008263877	0.00819333	0.008308039	0.005930418	0.005416009	0.004825222	0.008786116	0.008297441	0.007073157	0.005274415	0.005524697	0.005530049
Q6C3Z9	0.150102046	0.163851432	0.142513094	0.066595271	0.070298013	0.054377892	0.139990621	0.148785369	0.183442381	0.061588157	0.059946753	0.066086441	0.098769264	0.111237516	0.108935968	0.062072149	0.059327398	0.059011195
F2Z630	0.017674491	0.011779052	0.01103806	0.007614146	0.009166422	0.007564539	0.013912993	0.024258295	0.010750196	0.010311673	0.007775141	0.00755412	0.017206559	0.01969443	0.019022677	NA	0.005425777	0.006905629
Q9UVF3	0.454120428	0.441725689	0.396573802	0.369821253	0.445736935	0.430960952	0.394327252	0.379412446	0.362111888	0.367896261	0.381155531	0.298641301	0.318382163	0.297846832	0.287593835	0.237444603	0.261633738	0.27288249
Q99148	0.16888817	0.181768102	0.196445598	0.069734385	0.07704253	0.074237879	0.195952403	0.204842283	0.216835741	0.068222362	0.0730189	0.088654605	0.233139808	0.221802027	0.239825679	0.064371914	0.0737261	0.074015074
F2Z678	0.061729503	0.059718246	0.063552334	0.028531423	0.027959668	0.027373019	0.076753567	0.089162778	0.094822492	0.033258758	0.032586325	0.035309436	0.125904406	0.125430182	0.117310784	0.037406046	0.041941649	0.044366865
Q6CH03	0.009391801	0.007073943	0.007870785	NA	0.002060078	NA	0.009699484	0.008338267	0.010282773	NA	NA	0.003955806	0.009222239	0.014126329	0.019695589	NA	NA	NA
Q6CG57	0.049502049	0.030910592	0.04031895	0.010824696	0.021116913	0.010814166	0.059553927	0.04856742	0.04496614	0.013131638	0.014252785	0.021047972	0.12125217	0.118161371	0.283407033	0.020303351	0.019476596	0.014117484
Q6C0A1	0.035955128	0.035240299	0.035061538	0.013509304	0.010169779	0.010112675	0.029332744	0.031361024	0.033206551	0.012529918	0.010995818	0.012988421	0.039855728	0.040460192	0.04096012	0.013166895	0.011980964	0.014295512
Q6C0R5	0.020928193	0.021548351	0.021585403	0.004205772	0.005455536	0.005032596	0.01844748	0.025610112	0.025098256	0.003413573	0.003846953	0.00712083	0.017430854	0.016182061	0.014986151	0.002169806	0.00303547	0.003430302
Q6C188	0.006627817	0.008046439	0.005818128	NA	NA	NA	0.003450103	0.004348394	0.004831991	NA	NA	NA	0.003826171	0.00398244	0.003677835	NA	NA	NA
Q6C749	0.021774619	0.022113349	0.022817558	0.015191443	0.01233378	0.013921356	0.019322488	0.019697346	0.020730423	0.012561734	0.011809099	0.01223395	0.018832918	0.020663534	0.019804363	0.013271238	0.010283308	0.011621083
Q6CFD4	0.054243911	0.055815219	0.047197903	0.035312126	0.038842097	0.036886769	0.040425694	0.037955457	0.037560948	0.025658645	0.033713221	0.025349296	0.031266912	0.034091938	0.031184574	0.021107876	0.023018655	0.027670612
Q6C8T3	0.061019827	0.054438519	0.061689779	0.016710141	0.020891587	0.02017239	0.069315838	0.067228484	0.070336499	0.015344471	0.014990552	0.024665792	0.084094521	0.099163908	0.129865764	0.015338939	0.015387293	0.015615106
Q6C520	0.004113616	0.004177482	0.00482757	0.001492833	0.001321081	0.001541792	0.003541187	0.003933776	0.00371589	0.001576275	0.001603604	0.001575842	0.002909842	0.002965275	0.003056392	0.001103125	0.001534616	0.001850972
Q6CFS9	0.083636461	0.082398958	0.089371135	0.030405286	0.030885522	0.032268359	0.079999587	0.084963971	0.082184729	0.032524511	0.032476771	0.036547757	0.083427754	0.075098177	0.074519689	0.02779593	0.027126151	0.030230257
Q6CEA5	0.018126342	0.013794171	0.013203362	0.008851317	0.010070094	0.009624635	0.009749596	0.011149811	0.010310258	0.010739505	0.008741648	0.006124433	0.009163384	0.006556745	0.006328451	0.002887364	0.010511452	0.003345526
Q6C9T3	0.017019648	0.018335441	0.018353612	0.012478589	0.015277546	0.008929548	0.013476866	0.019192635	0.015386687	0.010644711	0.008044706	0.007467083	0.012381108	0.014107416	0.017010415	0.005041664	0.00966662	0.009704618
Q6C3P1	0.00182621	0.001015803	0.001003605	NA	NA	0.001139778	0.002357685	0.002617397	NA	NA	0.001332574	0.002136896	0.002324564	0.001448099	0.001856988	NA	NA	0.000576616
Q6CF02	0.001394591	0.001216477	0.001066757	0.002786508	NA	0.000872007	0.000830585	0.001272146	0.000777883	0.000544377	0.000884236	0.000638158	0.001087192	NA	0.000863964	0.001289244	0.000830516	0.00124586
Q6C3V7	0.010696505	0.010107196	0.010813945	0.008809294	0.004273772	0.006538166	0.008374347	0.009050066	0.009303712	0.006296253	0.005753306	0.005203507	0.00918454	0.009734205	0.008901426	0.005986181	0.00669501	0.006519905
Q6C4K6	0.005702001	0.004533345	0.006255836	NA	NA	0.003507433	0.00838927	0.010844835	0.010943747	0.003741012	0.001906031	0.003107153	0.007012191	0.006917158	0.006162992	0.013039897	0.006784603	0.004962041
F2Z6J3	0.003050932	0.002177657	0.001984175	0.004389297	0.001622142	0.004933886	0.002370293	0.002062999	0.001990315	0.002680306	0.002736855	0.002582638	0.004671915	0.0042471	0.002614691	0.005270233	0.006908797	0.007775788
F2Z6H3	0.007944299	0.008137804	0.006692935	NA	NA	0.006934619	0.006041819	0.006280857	0.008813925	0.011704126	0.006168288	0.00529664	0.010834664	0.007784001	0.009160037	0.0140801	0.011004817	0.011148357
Q6CG88	0.011504348	0.011553497	0.013752466	0.003267601	0.00470985	0.003757134	0.0118234	0.012397139	0.012305125	0.003958086	0.002990779	0.004944041	0.012007623	0.010631172	0.009926781	NA	0.001521372	0.001110619
Q6CD41	0.024862708	0.026331996	0.030187767	0.012531544	0.010917607	0.010748358	0.025444929	0.027436533	0.027984145	0.011958402	0.010884843	0.011487926	0.025048864	0.025376076	0.024938704	0.007355228	0.010437276	0.008017711
Q6CA53	0.019880159	0.016301772	0.01634918	0.012173464	0.014754109	0.011096199	0.02193266	0.016968027	0.014867922	0.013394004	0.01121101	0.009260015	0.018402005	0.019670138	0.023108318	0.007489045	0.008514159	0.007811922
Q6CEE1	0.025800999	0.025858775	0.022916144	0.014145214	0.013763421	0.017124783	0.020369814	0.020557339	0.021517745	0.012712248	0.014718418	0.012195006	0.017825937	0.018231052	0.01864414	0.010366438	0.00960589	0.01214121
Q6C846	0.055875115	0.059016266	0.060384346	0.027203865	0.02532499	0.02380305	0.059646044	0.063525302	0.069408062	0.023545969	0.024710593	0.026807129	0.060330473	0.065386504	0.067809869	0.02481593	0.023162091	0.027331963
Q6C1X5	0.059712247	0.061381966	0.067488152	0.022796821	0.02179349	0.022532562	0.059116876	0.064490034	0.064011375	0.022660993	0.023351377	0.025216925	0.081181591	0.078134861	0.072052506	0.019598737	0.023215568	0.024886307
Q6C061	0.014838087	0.016834306	0.017260562	0.015300257	0.013653661	0.011980788	0.015920373	0.017264162	0.018207025	0.013930769	0.012481564	0.010859117	0.020152802	0.018819691	0.02003962	0.015931129	0.016212489	0.015364038
