Rxn name	Formula	Gene-reaction association	LB	UB	Objective
10	1-phosphatidyl-1D-myo-inositol 3-phosphate_ActiveX VT_ERROR:[vm] + ATP[vm] + 0.038022 prot_Q6C473[c] => 1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate_ActiveX VT_ERROR:[vm] + ADP[vm] + H+_p+1[vm] 	YALI0E29161g	  0.00	1000.00	  0.00
100	3-oxooctadecanoyl-CoA[pe] + coenzyme A[pe] + 0.80816 prot_Q05493[c] => acetyl-CoA[pe] + palmitoyl-CoA[pe] 	YALI0E18568g	  0.00	1000.00	  0.00
1001_EXP_1	S-adenosylmethioninamine[c] + putrescine[c] + 0.56663 prot_Q6C706[c] => H+_p+1[c] + 5'-S-methyl-5'-thioadenosine[c] + spermidine[c] 	YALI0E04763g	  0.00	1000.00	  0.00
1001_EXP_2	S-adenosylmethioninamine[c] + putrescine[c] + 0.40202 prot_Q6C3P7[c] => H+_p+1[c] + 5'-S-methyl-5'-thioadenosine[c] + spermidine[c] 	YALI0E33143g	  0.00	1000.00	  0.00
1002_EXP_1	S-adenosylmethioninamine[c] + spermidine[c] + 0.60277 prot_Q6C706[c] => H+_p+1[c] + 5'-S-methyl-5'-thioadenosine[c] + spermine[c] 	YALI0E04763g	  0.00	1000.00	  0.00
1002_EXP_2	S-adenosylmethioninamine[c] + spermidine[c] + 0.40202 prot_Q6C3P7[c] => H+_p+1[c] + 5'-S-methyl-5'-thioadenosine[c] + spermine[c] 	YALI0E33143g	  0.00	1000.00	  0.00
1003	sphinganine 1-phosphate[er] + 3.2268 prot_Q6C4B5[c] => O-phosphoethanolamine[er] + hexadecanal[er] 	YALI0E28237g	  0.00	1000.00	  0.00
1004	H2O[er] + phytosphingosine 1-phosphate[er] + 7.242 prot_Q6C541[c] => phytosphingosine[er] + phosphate[er] 	YALI0E21197g	  0.00	1000.00	  0.00
1005	H2O[er] + sphinganine 1-phosphate[er] + 6.7132 prot_Q6C541[c] => sphinganine[er] + phosphate[er] 	YALI0E21197g	  0.00	1000.00	  0.00
1006	phytosphingosine[er] + ATP[er] + 4.3344 prot_W0TYP2[c] => H+_p+1[er] + phytosphingosine 1-phosphate[er] + ADP[er] 	YALI0B11154g	  0.00	1000.00	  0.00
1007	sphinganine[er] + ATP[er] + 4.8346 prot_W0TYP2[c] => H+_p+1[er] + sphinganine 1-phosphate[er] + ADP[er] 	YALI0B11154g	  0.00	1000.00	  0.00
1008	cis-aconitate[m] => trans-aconitate_ActiveX VT_ERROR:[m] 		  0.00	1000.00	  0.00
1008_REV	trans-aconitate_ActiveX VT_ERROR:[m] => cis-aconitate[m] 		  0.00	1000.00	  0.00
1009	cis-aconitate[c] => trans-aconitate_ActiveX VT_ERROR:[c] 		  0.00	1000.00	  0.00
1009_REV	trans-aconitate_ActiveX VT_ERROR:[c] => cis-aconitate[c] 		  0.00	1000.00	  0.00
101	coenzyme A[pe] + 3-oxohexacosanoyl-CoA[pe] + 1.8626 prot_Q05493[c] => acetyl-CoA[pe] + tetracosanoyl-CoA[pe] 	YALI0E18568g	  0.00	1000.00	  0.00
1010	H+_p+1[er] + oxygen[er] + NADH[er] + squalene[er] + 10.714 prot_Q6C5R8[c] => H2O[er] + (S)-2,3-epoxysqualene[er] + NAD[er] 	YALI0E15730g	  0.00	  0.00	  0.00
1011	H+_p+1[er] + NADPH[er] + oxygen[er] + squalene[er] + 10.714 prot_Q6C5R8[c] => NADP(+)[er] + H2O[er] + (S)-2,3-epoxysqualene[er] 	YALI0E15730g	  0.00	1000.00	  0.00
1012	H+_p+1[c] + NADPH[c] + 2 farnesyl diphosphate[c] + 4.3051 prot_Q9Y753[c] => 2 diphosphate[c] + NADP(+)[c] + squalene[c] 	YALI0A10076g	  0.00	1000.00	  0.00
102	coenzyme A[pe] + 3-oxopalmitoyl-CoA[pe] + 1.8626 prot_Q05493[c] => acetyl-CoA[pe] + myristoyl-CoA[pe] 	YALI0E18568g	  0.00	1000.00	  0.00
1021	ubiquinone-6[m] + succinate[m] + 0.0059295 prot_Q6C450[c] + 0.0097741 prot_Q6C823[c] + 0.022232 prot_Q6C9G6[c] + 0.0057054 prot_Q6CGZ0[c] => ubiquinol-6[m] + fumarate[m] 	YALI0A14784g and YALI0D11374g and YALI0E29667g and YALI0D23397g	  0.00	1000.00	  0.00
1021_REV	ubiquinol-6[m] + fumarate[m] + 0.0015207 prot_Q6C450[c] + 0.0025067 prot_Q6C823[c] + 0.0057017 prot_Q6C9G6[c] + 0.0014632 prot_Q6CGZ0[c] => ubiquinone-6[m] + succinate[m] 	YALI0A14784g and YALI0D11374g and YALI0E29667g and YALI0D23397g	  0.00	1000.00	  0.00
1022	succinyl-CoA[m] + ADP[m] + phosphate[m] + 0.047485 prot_Q6C4S9[c] + 0.064988 prot_Q6CA97[c] => ATP[m] + coenzyme A[m] + succinate[m] 	YALI0D04741g and YALI0E24013g	  0.00	1000.00	  0.00
1022_REV	ATP[m] + coenzyme A[m] + succinate[m] + 0.13462 prot_Q6C4S9[c] + 0.18424 prot_Q6CA97[c] => succinyl-CoA[m] + ADP[m] + phosphate[m] 	YALI0D04741g and YALI0E24013g	  0.00	1000.00	  0.00
1023	succinic semialdehyde[c] + H2O[c] + NADP(+)[c] + 0.67478 prot_Q6C0B4[c] => 2 H+_p+1[c] + NADPH[c] + succinate[c] 	YALI0F26191g	  0.00	1000.00	  0.00
1024	H2O[e] + sucrose[e] + 0.0050551 prot_Q6C4H7[c] => D-glucose[e] + D-fructose[e] 	YALI0E26719g	  0.00	1000.00	  0.00
1025	H+_p+1[c] + ATP[c] + sulphate[c] + 0.72898 prot_Q6CFD2[c] => diphosphate[c] + 5'-adenylyl sulfate[c] 	YALI0B08184g	  0.00	1000.00	  0.00
1026	H+_p+1[c] + ADP[c] + sulphate[c] + 0.10671 prot_Q6BZW6[c] => 5'-adenylyl sulfate[c] + phosphate[c] 	YALI0F30349g	  0.00	1000.00	  0.00
1027	5 H+_p+1[c] + 3 NADPH[c] + sulphite[c] + 0.06687 prot_Q6C5P4[c] + 0.093213 prot_Q6C9H5[c] => 3 H2O[c] + 3 NADP(+)[c] + hydrogen sulfide[c] 	YALI0D11176g and YALI0E16368g	  0.00	1000.00	  0.00
1028	ATP[c] + H2O[c] + taurocholic acid[c] => H+_p+1[c] + ADP[c] + phosphate[c] + taurocholic acid[va] 		  0.00	  0.00	  0.00
1029	oxygen[c] + 2-oxoglutarate[c] + taurine[c] + 0.16602 prot_Q6C0P5[c] => H+_p+1[c] + succinate[c] + carbon dioxide[c] + sulphite[c] + aminoacetaldehyde[c] 	YALI0F22825g	  0.00	1000.00	  0.00
103	2 acetyl-CoA[c] + 0.90757 prot_Q6CFB6[c] => acetoacetyl-CoA[c] + coenzyme A[c] 	YALI0B08536g	  0.00	1000.00	  0.00
1030	H2O[m] + 5,10-methenyl-THF[m] + 30.0972 prot_Q6C340[c] => H+_p+1[m] + 5-formyltetrahydrofolic acid[m] 	YALI0F02849g	  0.00	1000.00	  0.00
1031_EXP_1	ATP[c] + THF[c] + L-glutamate[c] + 92.7342 prot_Q6CHD4[c] => H+_p+1[c] + ADP[c] + phosphate[c] + 5,6,7,8-tetrahydrofolyl-L-glutamic acid[c] 	YALI0A10032g	  0.00	1000.00	  0.00
1031_EXP_2	ATP[c] + THF[c] + L-glutamate[c] + 6.5514 prot_Q6C4Q7[c] => H+_p+1[c] + ADP[c] + phosphate[c] + 5,6,7,8-tetrahydrofolyl-L-glutamic acid[c] 	YALI0E24497g	  0.00	1000.00	  0.00
1031_REV_EXP_1	H+_p+1[c] + ADP[c] + phosphate[c] + 5,6,7,8-tetrahydrofolyl-L-glutamic acid[c] + 24.7618 prot_Q6CHD4[c] => ATP[c] + THF[c] + L-glutamate[c] 	YALI0A10032g	  0.00	1000.00	  0.00
1031_REV_EXP_2	H+_p+1[c] + ADP[c] + phosphate[c] + 5,6,7,8-tetrahydrofolyl-L-glutamic acid[c] + 4.7777 prot_Q6C4Q7[c] => ATP[c] + THF[c] + L-glutamate[c] 	YALI0E24497g	  0.00	1000.00	  0.00
1032	2 H2O[e] + TDP[e] + 1.2089 prot_Q6CCS5[c] => 2 phosphate[e] + H+_p+1[e] + thiamine[e] 	YALI0C06930g	  0.00	1000.00	  0.00
1033	H2O[e] + TMP[e] + 1.2089 prot_Q6CCS5[c] => phosphate[e] + thiamine[e] 	YALI0C06930g	  0.00	1000.00	  0.00
1034	ATP[c] + thiamine[c] + 60.6614 prot_Q6C536[c] => H+_p+1[c] + AMP[c] + TDP[c] 	YALI0E21351g	  0.00	1000.00	  0.00
1035	ATP[c] + TDP[c] + 113.4984 prot_Q6C536[c] => ADP[c] + TTP[c] 	YALI0E21351g	  0.00	1000.00	  0.00
1036	H+_p+1[c] + 4-methyl-5-(2-phosphonooxyethyl)thiazole[c] + 4-amino-2-methyl-5-diphosphomethylpyrimidine[c] + 6.4813 prot_Q6CBT9[c] => diphosphate[c] + TMP[c] 	YALI0C15554g	  0.00	1000.00	  0.00
1038	H+_p+1[c] + NADPH[c] + TRX1-disulphide[c] + 0.094561 prot_Q6C399[c] + 0.28565 prot_Q6C7L4[c] => NADP(+)[c] + TRX1[c] 	YALI0D27126g and YALI0F01496g	  0.00	1000.00	  0.00
1039_EXP_1	NADPH[m] + H+_p+1[m] + TRX1-disulphide[m] + 0.17968 prot_Q6C4U8[c] + 0.28565 prot_Q6C7L4[c] => NADP(+)[m] + TRX1[m] 	YALI0E23540g and YALI0D27126g	  0.00	1000.00	  0.00
1039_EXP_2	NADPH[m] + H+_p+1[m] + TRX1-disulphide[m] + 0.0034988 prot_Q6C399[c] + 0.015834 prot_Q6C5H4[c] => NADP(+)[m] + TRX1[m] 	YALI0E18029g and YALI0F01496g	  0.00	1000.00	  0.00
103_REV	acetoacetyl-CoA[c] + coenzyme A[c] + 2.2476e-06 prot_Q6CFB6[c] => 2 acetyl-CoA[c] 	YALI0B08536g	  0.00	1000.00	  0.00
104	2 acetyl-CoA[m] + 4.098 prot_Q6L8K7[c] => acetoacetyl-CoA[m] + coenzyme A[m] 	YALI0E11099g	  0.00	1000.00	  0.00
1040	L-threonine[c] + 0.25092 prot_Q6CG81[c] => acetaldehyde[c] + L-glycine[c] 	YALI0A21417g	  0.00	1000.00	  0.00
1041	H2O[c] + O-phospho-L-homoserine[c] + 0.003794 prot_Q6C0N3[c] => phosphate[c] + L-threonine[c] 	YALI0F23221g	  0.00	1000.00	  0.00
1042_EXP_1	ATP[c] + L-threonine[c] + tRNA(Thr)_ActiveX VT_ERROR:[c] + 4.411 prot_Q6CHF9[c] => diphosphate[c] + AMP[c] + Thr-tRNA(Thr)_C14H24NO12PR2(C5H8O6PR)n[c] 	YALI0A09427g	  0.00	1000.00	  0.00
1042_EXP_2	ATP[c] + L-threonine[c] + tRNA(Thr)_ActiveX VT_ERROR:[c] + 5.0562 prot_Q6C234[c] => diphosphate[c] + AMP[c] + Thr-tRNA(Thr)_C14H24NO12PR2(C5H8O6PR)n[c] 	YALI0F11231g	  0.00	1000.00	  0.00
1043_EXP_1	ATP[m] + L-threonine[m] + tRNA(Thr), mitchondrial[m] + 4.411 prot_Q6CHF9[c] => diphosphate[m] + AMP[m] + Thr-tRNA(Thr)_C14H24NO12PR2(C5H8O6PR)n[m] 	YALI0A09427g	  0.00	1000.00	  0.00
1043_EXP_2	ATP[m] + L-threonine[m] + tRNA(Thr), mitchondrial[m] + 5.0562 prot_Q6C234[c] => diphosphate[m] + AMP[m] + Thr-tRNA(Thr)_C14H24NO12PR2(C5H8O6PR)n[m] 	YALI0F11231g	  0.00	1000.00	  0.00
1044	phosphate[c] + thymidine[c] + 0.077986 prot_Q6BZX6[c] => 2-deoxy-D-ribofuranose 1-phosphate[c] + thymine[c] 	YALI0F30129g	  0.00	1000.00	  0.00
1044_REV	2-deoxy-D-ribofuranose 1-phosphate[c] + thymine[c] + 2.3161 prot_Q6BZX6[c] => phosphate[c] + thymidine[c] 	YALI0F30129g	  0.00	1000.00	  0.00
1045	5,10-methylenetetrahydrofolate[c] + dUMP[c] + 0.19508 prot_Q6CCB3[c] => dihydrofolic acid[c] + dTMP[c] 	YALI0C10901g	  0.00	1000.00	  0.00
1047	isopentenyl diphosphate[m] + pentaprenyl diphosphate[m] + 26.8281 prot_Q6CBH3[c] => diphosphate[m] + hexaprenyl diphosphate[m] 	YALI0C18755g	  0.00	1000.00	  0.00
1048	glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c] + 0.76323 prot_Q6C1K2[c] => D-erythrose 4-phosphate[c] + D-fructose 6-phosphate[c] 	YALI0F15587g	  0.00	1000.00	  0.00
1048_REV	D-erythrose 4-phosphate[c] + D-fructose 6-phosphate[c] + 0.43327 prot_Q6C1K2[c] => glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c] 	YALI0F15587g	  0.00	1000.00	  0.00
1049	ribose-5-phosphate[c] + D-xylulose 5-phosphate[c] + 0.37347 prot_Q6C6T4[c] => glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c] 	YALI0E06479g	  0.00	1000.00	  0.00
1049_REV	glyceraldehyde 3-phosphate[c] + sedoheptulose 7-phosphate[c] + 0.87048 prot_Q6C6T4[c] => ribose-5-phosphate[c] + D-xylulose 5-phosphate[c] 	YALI0E06479g	  0.00	1000.00	  0.00
104_REV	acetoacetyl-CoA[m] + coenzyme A[m] + 2.2976e-06 prot_Q6L8K7[c] => 2 acetyl-CoA[m] 	YALI0E11099g	  0.00	1000.00	  0.00
105	3-oxotetradecanoyl-CoA[pe] + coenzyme A[pe] + 1.8626 prot_Q05493[c] => acetyl-CoA[pe] + lauroyl-CoA[pe] 	YALI0E18568g	  0.00	1000.00	  0.00
1050	D-erythrose 4-phosphate[c] + D-xylulose 5-phosphate[c] + 1.4481 prot_Q6C6T4[c] => D-fructose 6-phosphate[c] + glyceraldehyde 3-phosphate[c] 	YALI0E06479g	  0.00	1000.00	  0.00
1050_REV	D-fructose 6-phosphate[c] + glyceraldehyde 3-phosphate[c] + 0.87048 prot_Q6C6T4[c] => D-erythrose 4-phosphate[c] + D-xylulose 5-phosphate[c] 	YALI0E06479g	  0.00	1000.00	  0.00
1051	alpha,alpha-trehalose 6-phosphate[c] + H2O[c] + 2.6201 prot_Q6C939[c] => trehalose[c] + phosphate[c] 	YALI0D14476g	  0.00	1000.00	  0.00
1053u_EXP_1	H2O[lp] + triglyceride_ActiveX VT_ERROR:[lp] + 0.001346 prot_Q6C8R8[c] => H+_p+1[lp] + fatty acid[lp] + diglyceride_ActiveX VT_ERROR:[lp] 	YALI0D17534g	  0.00	1000.00	  0.00
1053u_EXP_2	H2O[lp] + triglyceride_ActiveX VT_ERROR:[lp] + 0.0016171 prot_Q6C282[c] => H+_p+1[lp] + fatty acid[lp] + diglyceride_ActiveX VT_ERROR:[lp] 	YALI0F10010g	  0.00	1000.00	  0.00
1054	dihydroxyacetone phosphate[c] + 0.014894 prot_Q6C2T9[c] => glyceraldehyde 3-phosphate[c] 	YALI0F05214g	  0.00	1000.00	  0.00
1054_REV	glyceraldehyde 3-phosphate[c] + 0.18285 prot_Q6C2T9[c] => dihydroxyacetone phosphate[c] 	YALI0F05214g	  0.00	1000.00	  0.00
1055	L-serine[c] + 1-C-(indol-3-yl)glycerol 3-phosphate[c] + 0.42693 prot_Q6C0G7[c] => H2O[c] + glyceraldehyde 3-phosphate[c] + L-tryptophan[c] 	YALI0F24893g	  0.00	1000.00	  0.00
1056	2-oxoglutarate[c] + L-tryptophan[c] + 0.027448 prot_Q6C551[c] => L-glutamate[c] + indole-3-pyruvate[c] 	YALI0E20977g	  0.00	1000.00	  0.00
1057	ATP[c] + L-tryptophan[c] + tRNA(Trp)_ActiveX VT_ERROR:[c] + 0.56171 prot_Q6CFA0[c] => diphosphate[c] + AMP[c] + Trp-tRNA(Trp)_C26H31N7O11PR(C5H8O6PR)n[c] 	YALI0B08943g	  0.00	1000.00	  0.00
1058	ATP[m] + L-tryptophan[m] + tRNA(Trp), mitchondrial[m] + 0.46272 prot_Q6CBI6[c] => diphosphate[m] + AMP[m] + Trp-tRNA(Trp)_C26H31N7O11PR(C5H8O6PR)n[m] 	YALI0C18425g	  0.00	1000.00	  0.00
1059u	ATP[vm] + 1-phosphatidyl-1D-myo-inositol_ActiveX VT_ERROR:[vm] + 8.6569 prot_Q6CI19[c] => 1-phosphatidyl-1D-myo-inositol 4-phosphate_ActiveX VT_ERROR:[vm] + ADP[vm] + H+_p+1[vm] 	YALI0A02453g	  0.00	1000.00	  0.00
106	coenzyme A[pe] + 3-oxodecanoyl-CoA[pe] + 1.8626 prot_Q05493[c] => acetyl-CoA[pe] + octanoyl-CoA[pe] 	YALI0E18568g	  0.00	1000.00	  0.00
1063	L-glutamate[c] + 3-(4-hydroxyphenyl)pyruvate[c] + 0.073979 prot_Q6C551[c] => 2-oxoglutarate[c] + L-tyrosine[c] 	YALI0E20977g	  0.00	1000.00	  0.00
1063_REV	2-oxoglutarate[c] + L-tyrosine[c] + 0.026971 prot_Q6C551[c] => L-glutamate[c] + 3-(4-hydroxyphenyl)pyruvate[c] 	YALI0E20977g	  0.00	1000.00	  0.00
1065_EXP_1	L-glutamate[pe] + 3-(4-hydroxyphenyl)pyruvate[pe] + 0.01973 prot_Q6CFZ7[c] => 2-oxoglutarate[pe] + L-tyrosine[pe] 	YALI0B02178g	  0.00	1000.00	  0.00
1065_EXP_2	L-glutamate[pe] + 3-(4-hydroxyphenyl)pyruvate[pe] + 0.019576 prot_Q6BZZ9[c] => 2-oxoglutarate[pe] + L-tyrosine[pe] 	YALI0F29337g	  0.00	1000.00	  0.00
1066	ATP[c] + L-tyrosine[c] + tRNA(Tyr)_ActiveX VT_ERROR:[c] + 2.6267 prot_Q6CBV3[c] => diphosphate[c] + AMP[c] + Tyr-tRNA(Tyr)[c] 	YALI0C15224g	  0.00	1000.00	  0.00
1067	ATP[m] + L-tyrosine[m] + tRNA(Tyr), mitchondrial_ActiveX VT_ERROR:[m] + 0.26345 prot_Q6C474[c] => diphosphate[m] + AMP[m] + Tyr-tRNA(Tyr)[m] 	YALI0E29139g	  0.00	1000.00	  0.00
1068	UDP-D-glucose[c] + ergosterol[c] + 6.6532 prot_Q6C8M8[c] => H+_p+1[c] + ergosterol 3-beta-D-glucoside[c] + UDP[c] 	YALI0D18403g	  0.00	1000.00	  0.00
1069	H+_p+1[c] + UTP[c] + N-acetyl-alpha-D-glucosamine 1-phosphate[c] + 0.761 prot_Q6C776[c] => diphosphate[c] + UDP-N-acetyl-alpha-D-glucosamine[c] 	YALI0E03146g	  0.00	1000.00	  0.00
1069_REV	diphosphate[c] + UDP-N-acetyl-alpha-D-glucosamine[c] + 0.95587 prot_Q6C776[c] => H+_p+1[c] + UTP[c] + N-acetyl-alpha-D-glucosamine 1-phosphate[c] 	YALI0E03146g	  0.00	1000.00	  0.00
107	coenzyme A[pe] + 3-oxolauroyl-CoA[pe] + 1.8626 prot_Q05493[c] => acetyl-CoA[pe] + decanoyl-CoA[pe] 	YALI0E18568g	  0.00	1000.00	  0.00
1070	UDP-D-glucose[c] + 1.8214 prot_Q6C4H2[c] => UDP-D-galactose[c] 	YALI0E26829g	  0.00	1000.00	  0.00
1070_REV	UDP-D-galactose[c] + 1.8214 prot_Q6C4H2[c] => UDP-D-glucose[c] 	YALI0E26829g	  0.00	1000.00	  0.00
1071	UDP-D-glucose[c] + alpha-D-galactose 1-phosphate[c] + 0.011529 prot_Q6C0K3[c] => UDP-D-galactose[c] + D-glucose 1-phosphate[c] 	YALI0F23947g	  0.00	1000.00	  0.00
1071_REV	UDP-D-galactose[c] + D-glucose 1-phosphate[c] + 0.32752 prot_Q6C0K3[c] => UDP-D-glucose[c] + alpha-D-galactose 1-phosphate[c] 	YALI0F23947g	  0.00	1000.00	  0.00
1072	ATP[c] + UMP[c] + 0.03046 prot_Q6C2B0[c] => UDP[c] + ADP[c] 	YALI0F09339g	  0.00	1000.00	  0.00
1072_REV	UDP[c] + ADP[c] + 3.7102 prot_Q6C2B0[c] => ATP[c] + UMP[c] 	YALI0F09339g	  0.00	1000.00	  0.00
1073	UMP[nu] + ATP[nu] + 0.03046 prot_Q6C2B0[c] => UDP[nu] + ADP[nu] 	YALI0F09339g	  0.00	1000.00	  0.00
1073_REV	UDP[nu] + ADP[nu] + 3.7102 prot_Q6C2B0[c] => UMP[nu] + ATP[nu] 	YALI0F09339g	  0.00	1000.00	  0.00
1074	PRPP[c] + uracil[c] + 1.0959 prot_Q6BZS4[c] => UMP[c] + diphosphate[c] 	YALI0F31273g	  0.00	1000.00	  0.00
