protID,geneID,absUsage,percUsage,kcat,source,rxnID,rxnNames,grRules
Q6C7R6,YALI0D25938g,4.17218743844428,8.94983293590715,2.3775,DLKcat,272_EXP_2,"chitin synthase",YALI0D25938g
Q6C1F3,YALI0F16819g,3.5126101063348,7.53496195568764,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C1F3,YALI0F16819g,3.51258236785564,7.53490245338625,26.0746,DLKcat,366,"enolase",YALI0F16819g
Q6C1F3,YALI0F16819g,2.77384790694961e-05,5.9502301186333e-05,34.07,brenda,366_REV,"enolase (reversible)",YALI0F16819g
Q6CAF8,YALI0D03135g,2.29974580587174,4.93322533114187,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6CAF8,YALI0D03135g,0.451977550703247,0.969545023864725,0.98,brenda,669,"ketol-acid reductoisomerase (2-aceto-2-hydroxybutanoate)",YALI0D03135g
Q6CAF8,YALI0D03135g,1.84776825516846,3.96368030727707,0.98,brenda,96,"acetohydroxy acid isomeroreductase",YALI0D03135g
Q6CGV1,YALI0A15972g,1.98225566805602,4.25217163109326,4.9,brenda,449,"fructose-bisphosphatase",YALI0A15972g
P41555,YALI0C16885g,1.77232820913584,3.80185253260718,11.6464,DLKcat,662_EXP_1,"isocitrate lyase",YALI0C16885g
A0A1D8ND08,YALI1D03865g,1.71889168245804,3.68722489578659,0.1081,DLKcat,iYL0459,"phosphoribosylglycinamide formyltransferase 1",YALI1D03865g
Q6CDZ4,YALI0B19998g,1.29576231843017,2.77956262648591,70,brenda,472,"glutamate synthase (NADH2)",YALI0B19998g
Q6C9P6,YALI0D09361g,1.26444066093586,2.71237398599801,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C9P6,YALI0D09361g,0.00444303445498786,0.00953083165301122,308.65,DLKcat,280_EXP_1,"cis-aconitate(3-) to isocitrate",YALI0D09361g
Q6C9P6,YALI0D09361g,1.25998934629896,2.70282539238059,22.7673,DLKcat,302_EXP_1,"citrate to cis-aconitate(3-)",YALI0D09361g
Q6C9P6,YALI0D09361g,8.28018189081312e-06,1.77619643640301e-05,308.65,DLKcat,302_REV_EXP_1,"citrate to cis-aconitate(3-) (reversible)",YALI0D09361g
Q6C791,YALI0E02728g,1.13972996570842,2.44485487184656,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C791,YALI0E02728g,0.926916241927726,1.98834439565001,2.5,custom,27,"homoaconitase",YALI0E02728g
Q6C791,YALI0E02728g,2.81200926420933e-05,6.03209071984574e-05,10.8906,DLKcat,27_REV,"homoaconitase (reversible)",YALI0E02728g
Q6C791,YALI0E02728g,0.21275248337353,0.456379108317926,10.8906,DLKcat,542,"homoacontinate hydratase",YALI0E02728g
Q6C791,YALI0E02728g,3.31203145366523e-05,7.1046971465468e-05,0.5385,DLKcat,542_REV,"homoacontinate hydratase (reversible)",YALI0E02728g
Q6C8V3,YALI0D16753g,1.07192081643651,2.29939626854472,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C8V3,YALI0D16753g,1.07148069153853,2.29845214885548,83.2,custom,713_EXP_1,"malate dehydrogenase",YALI0D16753g
Q6C8V3,YALI0D16753g,1.95243753230678e-07,4.188208221646e-07,121600,brenda,713_REV_EXP_1,"malate dehydrogenase (reversible)",YALI0D16753g
Q6C8V3,YALI0D16753g,0.000435784128055754,0.00093480822704199,1141,brenda,715_EXP_1,"malate dehydrogenase, peroxisomal",YALI0D16753g
Q6C8V3,YALI0D16753g,4.14552617039214e-06,8.89264137909275e-06,121600,brenda,715_REV_EXP_1,"malate dehydrogenase, peroxisomal (reversible)",YALI0D16753g
