Entry	Gene Names
P09230	XPR2 YALI0F31889g
P34229	FAS1 YALI0B15059g
Q6C093	UBC2 YALI0F26697g
Q6C1X5	ARO1 YALI0F12639g
Q6C354	PDH1 YALI0F02497g
Q6C4M9	HOG1 YALI0E25135g
Q6C6R8	PEX20 YALI0_E06831g
Q6C710	ESA1 YALI0E04675g
Q6C793	YALI0E02684g
Q6C7C0	MYO1 YALI0E02046g
Q6C7R4	YALI0_D26015g
Q6C7U8	PHO85 YALI0D25190g
Q6CCB0	SSN3 CDK8 YALI0C10967g
Q6CF29	YALI0_B10758g
Q6CFS5	CBK1 YALI0B04268g
Q6CFT7	ATP2 YALI0_B03982g
Q6CHJ9	YALI0_A08077g
B5FVG3	TIM11 ATP21 YALI0_E32164g
F2Z699	NDH2 YALI0F25135g
F2Z6C9	NCP1 YALI0_D04422g
O43108	PMR1 SCA1 YALI0E09471g
O74932	TPS1 YITPS1 YALI0E14685g
O74934	POX1 ACO1 YALI0E32835g
O74935	POX2 ACO2 YALI0F10857g
O74936	POX3 ACO3 YALI0D24750g
P18120	LEU2 YALI0C00407g
P41555	ICL1 YALI0C16885g
P59680	PFK1 YALI0D16357g
P80547	SCP2 YALI0E01298g
Q05493	POT1 YALI0E18568g
Q36257	ATP8
Q36258	ATP6
Q37695	OLI1 ATP9
Q6BZP5	YALI0F31999g
Q6C079	YALI0_F27093g
Q6C0B5	PIM1 YALI0F26169g
Q6C0T3	YALI0_F21945g
Q6C0Z6	CCP1 YALI0F20504g
Q6C105	ATP4 YALI0_F20306g
Q6C116	FEN1 YALI0F20042g
Q6C195	SSU72 YALI0F18194g
Q6C1K4	YALI0_F15477g
Q6C292	YALI0_F09746g
Q6C2A3	BUD32 YALI0F09471g
Q6C2F5	ATG9 YALI0F08349g
Q6C2N4	YALI0_F06402g
Q6C2N7	ATG15 YALI0F06358g
Q6C2V4	YALI0_F04818g
Q6C2X0	PKAR YALI0F04422g
Q6C326	ATP1 YALI0_F03179g
Q6C338	ATP3 YALI0_F02893g
Q6C3B2	YALI0_F01122g
Q6C3E5	YALI0F00396g
Q6C3J2	IPL1 YALI0E34375g
Q6C3X7	DBP5 YALI0E31427g
Q6C462	PAN2 YALI0E29403g
Q6C4A3	RAI1 YALI0E28490g
Q6C4D4	DBP2 YALI0E27715g
Q6C4I6	HTA1 YALI0E26477g
Q6C4I7	HTB1 YALI0E26455g
Q6C4J0	POL2 YALI0E26367g
Q6C4K3	DUS3 YALI0E26048g
Q6C4P0	YALI0_E24893g
Q6C4Y5	DOT1 YALI0E22715g
Q6C5G5	set-2 YALI0E18260g
Q6C5Q7	YALI0_E16038g
Q6C619	NPL4 YALI0E13233g
Q6C627	YALI0E13057g
Q6C649	YALI0_E12441g
Q6C6H5	YALI0_E09493g
Q6C7D2	HAS1 YALI0E01782g
Q6C7R2	YALI0_D26103g
Q6C7U0	ATG1 YALI0D25388g
Q6C7Z9	YALI0_D23969g
Q6C855	NIP1 YALI0D22572g
Q6C877	ATP16 YALI0_D22022g
